,date,U2,Alphabet
0,2015-01-04,0,48
1,2015-01-11,16,59
2,2015-01-18,22,64
3,2015-01-25,10,39
4,2015-02-01,23,42
5,2015-02-08,15,55
6,2015-02-15,17,49
7,2015-02-22,23,84
8,2015-03-01,25,44
9,2015-03-08,0,46
10,2015-03-15,34,32
11,2015-03-22,18,50
12,2015-03-29,13,37
13,2015-04-05,20,20
14,2015-04-12,24,47
15,2015-04-19,0,34
16,2015-04-26,0,22
17,2015-05-03,0,49
18,2015-05-10,27,52
19,2015-05-17,20,8
20,2015-05-24,43,45
21,2015-05-31,35,49
22,2015-06-07,23,12
23,2015-06-14,0,30
24,2015-06-21,21,10
25,2015-06-28,36,42
26,2015-07-05,64,0
27,2015-07-12,96,35
28,2015-07-19,45,0
29,2015-07-26,24,17
30,2015-08-02,0,80
31,2015-08-09,29,67
32,2015-08-16,12,56
33,2015-08-23,22,28
34,2015-08-30,0,48
35,2015-09-06,0,43
36,2015-09-13,29,77
37,2015-09-20,18,32
38,2015-09-27,17,41
39,2015-10-04,20,65
40,2015-10-11,16,40
41,2015-10-18,7,75
42,2015-10-25,14,77
43,2015-11-01,6,71
44,2015-11-08,0,47
45,2015-11-15,19,48
46,2015-11-22,8,50
47,2015-11-29,9,56
48,2015-12-06,23,32
49,2015-12-13,10,50
50,2015-12-20,30,20
51,2015-12-27,0,47
52,2016-01-03,14,22
53,2016-01-10,0,53
54,2016-01-17,17,22
55,2016-01-24,10,43
56,2016-01-31,9,72
57,2016-02-07,30,37
58,2016-02-14,10,84
59,2016-02-21,22,27
60,2016-02-28,9,44
61,2016-03-06,26,77
62,2016-03-13,7,42
63,2016-03-20,13,36
64,2016-03-27,14,49
65,2016-04-03,21,33
66,2016-04-10,9,40
67,2016-04-17,0,43
68,2016-04-24,27,48
69,2016-05-01,0,54
70,2016-05-08,0,22
71,2016-05-15,0,61
72,2016-05-22,16,39
73,2016-05-29,0,65
74,2016-06-05,0,51
75,2016-06-12,0,34
76,2016-06-19,7,15
77,2016-06-26,7,42
78,2016-07-03,0,25
79,2016-07-10,17,42
80,2016-07-17,12,26
81,2016-07-24,0,45
82,2016-07-31,14,32
83,2016-08-07,0,45
84,2016-08-14,0,33
85,2016-08-21,37,57
86,2016-08-28,11,42
87,2016-09-04,11,61
88,2016-09-11,14,33
89,2016-09-18,10,61
90,2016-09-25,11,60
91,2016-10-02,0,42
92,2016-10-09,0,41
93,2016-10-16,0,57
94,2016-10-23,12,68
95,2016-10-30,7,49
96,2016-11-06,6,40
97,2016-11-13,0,55
98,2016-11-20,0,45
99,2016-11-27,11,29
100,2016-12-04,0,43
101,2016-12-11,0,40
102,2016-12-18,0,36
103,2016-12-25,9,33
104,2017-01-01,9,65
105,2017-01-08,82,36
106,2017-01-15,52,44
107,2017-01-22,22,55
108,2017-01-29,22,48
109,2017-02-05,10,44
110,2017-02-12,0,63
111,2017-02-19,14,38
112,2017-02-26,15,45
113,2017-03-05,15,51
114,2017-03-12,16,46
