,date,Bruno Mars,Alphabet
0,2015-01-04,28,23
1,2015-01-11,29,25
2,2015-01-18,32,30
3,2015-01-25,22,34
4,2015-02-01,31,28
5,2015-02-08,27,30
6,2015-02-15,22,27
7,2015-02-22,27,23
8,2015-03-01,23,40
9,2015-03-08,19,26
10,2015-03-15,18,24
11,2015-03-22,21,24
12,2015-03-29,18,24
13,2015-04-05,11,28
14,2015-04-12,14,29
15,2015-04-19,15,22
16,2015-04-26,14,18
17,2015-05-03,17,25
18,2015-05-10,15,25
19,2015-05-17,7,28
20,2015-05-24,9,20
21,2015-05-31,14,21
22,2015-06-07,15,20
23,2015-06-14,14,24
24,2015-06-21,15,17
25,2015-06-28,7,19
26,2015-07-05,12,16
27,2015-07-12,13,23
28,2015-07-19,10,20
29,2015-07-26,10,19
30,2015-08-02,11,20
31,2015-08-09,7,26
32,2015-08-16,9,33
33,2015-08-23,12,31
34,2015-08-30,11,31
35,2015-09-06,14,27
36,2015-09-13,7,35
37,2015-09-20,10,27
38,2015-09-27,6,27
39,2015-10-04,8,21
40,2015-10-11,8,28
41,2015-10-18,13,31
42,2015-10-25,2,37
43,2015-11-01,7,29
44,2015-11-08,5,24
45,2015-11-15,8,21
46,2015-11-22,9,26
47,2015-11-29,12,31
48,2015-12-06,5,29
49,2015-12-13,9,27
50,2015-12-20,0,19
51,2015-12-27,10,11
52,2016-01-03,5,24
53,2016-01-10,6,25
54,2016-01-17,4,27
55,2016-01-24,7,23
56,2016-01-31,13,30
57,2016-02-07,73,25
58,2016-02-14,19,22
59,2016-02-21,12,23
60,2016-02-28,9,28
61,2016-03-06,8,24
62,2016-03-13,6,24
63,2016-03-20,7,17
64,2016-03-27,7,19
65,2016-04-03,3,26
66,2016-04-10,8,28
67,2016-04-17,10,26
68,2016-04-24,7,21
69,2016-05-01,3,22
70,2016-05-08,7,25
71,2016-05-15,10,28
72,2016-05-22,7,27
73,2016-05-29,5,18
74,2016-06-05,7,20
75,2016-06-12,5,18
76,2016-06-19,5,17
77,2016-06-26,8,21
78,2016-07-03,9,15
79,2016-07-10,5,23
80,2016-07-17,7,19
81,2016-07-24,5,20
82,2016-07-31,0,22
83,2016-08-07,6,20
84,2016-08-14,7,28
85,2016-08-21,3,35
86,2016-08-28,4,31
87,2016-09-04,5,28
88,2016-09-11,5,32
89,2016-09-18,4,36
90,2016-09-25,5,35
91,2016-10-02,14,20
92,2016-10-09,19,25
93,2016-10-16,23,29
94,2016-10-23,11,25
95,2016-10-30,10,24
96,2016-11-06,11,23
97,2016-11-13,27,23
98,2016-11-20,54,20
99,2016-11-27,19,22
100,2016-12-04,23,28
101,2016-12-11,47,24
102,2016-12-18,35,18
103,2016-12-25,22,23
104,2017-01-01,19,20
105,2017-01-08,20,28
106,2017-01-15,16,24
107,2017-01-22,18,30
108,2017-01-29,16,25
109,2017-02-05,23,23
110,2017-02-12,100,26
111,2017-02-19,33,24
112,2017-02-26,36,23
113,2017-03-05,41,25
114,2017-03-12,37,30
115,2017-03-19,31,23
116,2017-03-26,23,21
117,2017-04-02,26,23
118,2017-04-09,30,18
119,2017-04-16,31,27
120,2017-04-23,29,23
121,2017-04-30,33,21
122,2017-05-07,35,22
123,2017-05-14,37,28
124,2017-05-21,43,23
125,2017-05-28,37,24
126,2017-06-04,27,19
127,2017-06-11,29,15
128,2017-06-18,28,19
129,2017-06-25,62,20
130,2017-07-02,34,19
131,2017-07-09,29,18
132,2017-07-16,31,17
133,2017-07-23,22,18
134,2017-07-30,19,16
135,2017-08-06,29,22
136,2017-08-13,31,22
137,2017-08-20,16,24
138,2017-08-27,21,34
139,2017-09-03,17,30
140,2017-09-10,30,22
141,2017-09-17,22,33
142,2017-09-24,14,33
143,2017-10-01,14,32
144,2017-10-08,23,29
145,2017-10-15,16,30
146,2017-10-22,14,29
147,2017-10-29,10,26
148,2017-11-05,11,25
149,2017-11-12,15,28
150,2017-11-19,16,24
151,2017-11-26,29,20
152,2017-12-03,13,31
153,2017-12-10,15,26
154,2017-12-17,13,23
155,2017-12-24,18,21
156,2017-12-31,30,18
157,2018-01-07,19,30
158,2018-01-14,18,23
159,2018-01-21,33,27
160,2018-01-28,81,25
161,2018-02-04,30,27
162,2018-02-11,21,25
163,2018-02-18,16,30
164,2018-02-25,17,30
165,2018-03-04,18,27
166,2018-03-11,24,26
167,2018-03-18,26,21
168,2018-03-25,24,25
169,2018-04-01,15,18
170,2018-04-08,16,28
171,2018-04-15,13,23
172,2018-04-22,14,23
173,2018-04-29,16,25
174,2018-05-06,15,25
175,2018-05-13,10,22
176,2018-05-20,13,29
177,2018-05-27,19,23
178,2018-06-03,8,16
179,2018-06-10,10,15
180,2018-06-17,14,21
181,2018-06-24,12,19
182,2018-07-01,11,19
183,2018-07-08,10,15
184,2018-07-15,7,16
185,2018-07-22,11,22
186,2018-07-29,11,16
187,2018-08-05,12,14
188,2018-08-12,16,21
189,2018-08-19,9,28
190,2018-08-26,13,40
191,2018-09-02,10,26
192,2018-09-09,7,28
193,2018-09-16,13,37
194,2018-09-23,11,30
195,2018-09-30,12,30
196,2018-10-07,13,30
197,2018-10-14,7,31
198,2018-10-21,8,26
199,2018-10-28,9,27
200,2018-11-04,10,24
201,2018-11-11,11,28
202,2018-11-18,10,21
203,2018-11-25,7,26
204,2018-12-02,7,24
