,date,Coldplay,Alphabet
0,2015-01-04,6,19
1,2015-01-11,6,20
2,2015-01-18,4,24
3,2015-01-25,7,27
4,2015-02-01,6,23
5,2015-02-08,7,24
6,2015-02-15,4,22
7,2015-02-22,5,18
8,2015-03-01,5,32
9,2015-03-08,4,21
10,2015-03-15,5,19
11,2015-03-22,3,19
12,2015-03-29,6,20
13,2015-04-05,3,23
14,2015-04-12,4,23
15,2015-04-19,5,18
16,2015-04-26,8,14
17,2015-05-03,6,20
18,2015-05-10,5,20
19,2015-05-17,6,22
20,2015-05-24,7,16
21,2015-05-31,3,16
22,2015-06-07,8,16
23,2015-06-14,7,19
24,2015-06-21,4,14
25,2015-06-28,2,15
26,2015-07-05,1,13
27,2015-07-12,5,18
28,2015-07-19,3,16
29,2015-07-26,4,15
30,2015-08-02,4,16
31,2015-08-09,3,21
32,2015-08-16,2,27
33,2015-08-23,3,25
34,2015-08-30,6,25
35,2015-09-06,5,22
36,2015-09-13,5,28
37,2015-09-20,3,22
38,2015-09-27,3,21
39,2015-10-04,2,17
40,2015-10-11,2,23
41,2015-10-18,10,25
42,2015-10-25,3,30
43,2015-11-01,8,23
44,2015-11-08,6,20
45,2015-11-15,4,17
46,2015-11-22,11,21
47,2015-11-29,17,25
48,2015-12-06,14,23
49,2015-12-13,13,22
50,2015-12-20,3,15
51,2015-12-27,11,9
52,2016-01-03,9,20
53,2016-01-10,5,20
54,2016-01-17,8,22
55,2016-01-24,11,18
56,2016-01-31,14,24
57,2016-02-07,100,20
58,2016-02-14,11,18
59,2016-02-21,9,18
60,2016-02-28,7,22
61,2016-03-06,7,19
62,2016-03-13,6,20
63,2016-03-20,6,14
64,2016-03-27,5,16
65,2016-04-03,7,21
66,2016-04-10,8,22
67,2016-04-17,4,21
68,2016-04-24,9,17
69,2016-05-01,9,17
70,2016-05-08,4,20
71,2016-05-15,6,22
72,2016-05-22,5,22
73,2016-05-29,3,14
74,2016-06-05,4,16
75,2016-06-12,5,15
76,2016-06-19,9,14
77,2016-06-26,4,17
78,2016-07-03,4,12
79,2016-07-10,4,18
80,2016-07-17,7,15
81,2016-07-24,7,16
82,2016-07-31,7,18
83,2016-08-07,7,16
84,2016-08-14,4,22
85,2016-08-21,5,28
86,2016-08-28,5,25
87,2016-09-04,4,23
88,2016-09-11,3,26
89,2016-09-18,6,29
90,2016-09-25,3,28
91,2016-10-02,2,16
92,2016-10-09,5,20
93,2016-10-16,5,23
94,2016-10-23,5,20
95,2016-10-30,7,19
96,2016-11-06,4,19
97,2016-11-13,4,19
98,2016-11-20,4,16
99,2016-11-27,2,17
100,2016-12-04,4,22
101,2016-12-11,4,19
102,2016-12-18,3,14
103,2016-12-25,4,19
104,2017-01-01,0,16
105,2017-01-08,1,22
106,2017-01-15,5,20
107,2017-01-22,5,24
108,2017-01-29,3,20
109,2017-02-05,5,18
110,2017-02-12,5,21
111,2017-02-19,5,19
112,2017-02-26,2,19
113,2017-03-05,8,20
114,2017-03-12,5,24
115,2017-03-19,6,18
116,2017-03-26,2,17
117,2017-04-02,5,19
118,2017-04-09,4,15
119,2017-04-16,5,22
120,2017-04-23,6,18
121,2017-04-30,4,17
122,2017-05-07,4,18
123,2017-05-14,3,22
124,2017-05-21,7,18
125,2017-05-28,4,19
126,2017-06-04,9,15
127,2017-06-11,4,12
128,2017-06-18,5,15
129,2017-06-25,4,16
130,2017-07-02,4,16
131,2017-07-09,4,14
132,2017-07-16,6,14
133,2017-07-23,5,15
134,2017-07-30,4,13
135,2017-08-06,6,17
136,2017-08-13,6,18
137,2017-08-20,6,20
138,2017-08-27,4,27
139,2017-09-03,2,24
140,2017-09-10,2,17
141,2017-09-17,4,26
142,2017-09-24,4,27
143,2017-10-01,4,26
144,2017-10-08,4,24
145,2017-10-15,3,24
146,2017-10-22,4,23
147,2017-10-29,2,21
148,2017-11-05,4,20
149,2017-11-12,5,22
150,2017-11-19,4,19
151,2017-11-26,3,16
152,2017-12-03,4,25
153,2017-12-10,4,21
154,2017-12-17,2,19
155,2017-12-24,3,17
156,2017-12-31,4,15
157,2018-01-07,3,24
158,2018-01-14,4,18
159,2018-01-21,3,22
160,2018-01-28,3,20
161,2018-02-04,3,22
162,2018-02-11,5,20
163,2018-02-18,2,24
164,2018-02-25,2,24
165,2018-03-04,6,21
166,2018-03-11,1,21
167,2018-03-18,3,17
168,2018-03-25,2,20
169,2018-04-01,5,15
170,2018-04-08,3,23
171,2018-04-15,3,19
172,2018-04-22,3,18
173,2018-04-29,4,20
174,2018-05-06,5,20
175,2018-05-13,2,18
176,2018-05-20,4,24
177,2018-05-27,2,18
178,2018-06-03,5,13
179,2018-06-10,1,12
180,2018-06-17,3,17
181,2018-06-24,2,15
182,2018-07-01,2,15
183,2018-07-08,3,12
184,2018-07-15,3,13
185,2018-07-22,3,17
186,2018-07-29,3,13
187,2018-08-05,1,11
188,2018-08-12,3,17
189,2018-08-19,4,22
190,2018-08-26,3,32
191,2018-09-02,3,21
192,2018-09-09,0,22
193,2018-09-16,3,30
194,2018-09-23,3,24
195,2018-09-30,4,24
196,2018-10-07,3,24
197,2018-10-14,2,25
198,2018-10-21,2,21
199,2018-10-28,3,22
200,2018-11-04,3,19
201,2018-11-11,2,23
202,2018-11-18,3,17
203,2018-11-25,4,21
204,2018-12-02,2,19
205,2018-12-09,3,18
206,2018-12-16,4,18
207,2018-12-23,0,15
208,2018-12-30,4,16
209,2019-01-06,3,25
210,2019-01-13,1,24
211,2019-01-20,5,19
212,2019-01-27,0,24
213,2019-02-03,3,21
214,2019-02-10,2,21
215,2019-02-17,2,20
216,2019-02-24,2,20
217,2019-03-03,1,20
218,2019-03-10,1,24
219,2019-03-17,2,21
220,2019-03-24,2,17
221,2019-03-31,3,22
222,2019-04-07,2,20
223,2019-04-14,2,16
224,2019-04-21,2,21
225,2019-04-28,2,21
226,2019-05-05,3,18
227,2019-05-12,1,19
228,2019-05-19,1,21
229,2019-05-26,2,17
230,2019-06-02,2,19
231,2019-06-09,3,13
232,2019-06-16,1,16
233,2019-06-23,2,19
234,2019-06-30,3,17
235,2019-07-07,4,13
236,2019-07-14,4,16
237,2019-07-21,1,15
238,2019-07-28,3,15
239,2019-08-04,3,17
240,2019-08-11,2,17
241,2019-08-18,3,21
242,2019-08-25,3,25
243,2019-09-01,1,19
244,2019-09-08,3,22
245,2019-09-15,3,26
246,2019-09-22,0,26
247,2019-09-29,2,22
248,2019-10-06,2,23
249,2019-10-13,3,22
250,2019-10-20,2,26
251,2019-10-27,3,26
252,2019-11-03,3,24
253,2019-11-10,2,22
254,2019-11-17,6,23
255,2019-11-24,5,15
256,2019-12-01,3,25
257,2019-12-08,1,20
258,2019-12-15,0,20
259,2019-12-22,1,12
260,2019-12-29,1,15
