,date,Guns N' Roses,Alphabet
0,2015-01-04,8,58
1,2015-01-11,22,62
2,2015-01-18,10,74
3,2015-01-25,14,85
4,2015-02-01,0,70
5,2015-02-08,10,74
6,2015-02-15,9,68
7,2015-02-22,12,56
8,2015-03-01,18,100
9,2015-03-08,9,65
10,2015-03-15,19,59
11,2015-03-22,17,60
12,2015-03-29,8,61
13,2015-04-05,0,71
14,2015-04-12,27,72
15,2015-04-19,11,55
16,2015-04-26,3,44
17,2015-05-03,16,64
18,2015-05-10,4,62
19,2015-05-17,16,69
20,2015-05-24,0,50
21,2015-05-31,10,51
22,2015-06-07,0,51
23,2015-06-14,0,59
24,2015-06-21,9,42
25,2015-06-28,19,46
26,2015-07-05,19,39
27,2015-07-12,18,57
28,2015-07-19,20,51
29,2015-07-26,16,47
30,2015-08-02,16,51
31,2015-08-09,20,66
32,2015-08-16,13,83
33,2015-08-23,15,77
34,2015-08-30,11,79
35,2015-09-06,8,67
36,2015-09-13,14,88
37,2015-09-20,11,68
38,2015-09-27,17,66
39,2015-10-04,4,53
40,2015-10-11,8,71
41,2015-10-18,15,78
42,2015-10-25,15,92
43,2015-11-01,14,71
44,2015-11-08,33,61
45,2015-11-15,24,53
46,2015-11-22,15,65
47,2015-11-29,18,76
48,2015-12-06,0,71
49,2015-12-13,5,68
50,2015-12-20,13,48
51,2015-12-27,42,28
52,2016-01-03,39,61
53,2016-01-10,29,61
54,2016-01-17,18,68
55,2016-01-24,16,57
56,2016-01-31,9,76
57,2016-02-07,10,62
58,2016-02-14,16,55
59,2016-02-21,10,57
60,2016-02-28,12,70
61,2016-03-06,12,60
62,2016-03-13,18,61
63,2016-03-20,31,43
64,2016-03-27,51,48
65,2016-04-03,81,64
66,2016-04-10,39,69
67,2016-04-17,55,64
68,2016-04-24,32,52
69,2016-05-01,20,54
70,2016-05-08,22,62
71,2016-05-15,16,70
72,2016-05-22,13,68
73,2016-05-29,19,44
74,2016-06-05,14,49
75,2016-06-12,15,45
76,2016-06-19,44,42
77,2016-06-26,32,53
78,2016-07-03,35,38
79,2016-07-10,37,57
80,2016-07-17,29,47
81,2016-07-24,56,51
82,2016-07-31,30,55
83,2016-08-07,21,49
84,2016-08-14,18,70
85,2016-08-21,11,87
86,2016-08-28,21,76
87,2016-09-04,11,70
88,2016-09-11,12,80
89,2016-09-18,13,89
90,2016-09-25,10,86
91,2016-10-02,16,49
92,2016-10-09,0,63
93,2016-10-16,12,73
94,2016-10-23,6,63
95,2016-10-30,11,60
96,2016-11-06,17,58
97,2016-11-13,8,59
98,2016-11-20,20,49
99,2016-11-27,8,54
100,2016-12-04,34,70
101,2016-12-11,12,60
102,2016-12-18,13,45
103,2016-12-25,12,58
104,2017-01-01,10,50
105,2017-01-08,9,69
106,2017-01-15,12,61
107,2017-01-22,10,75
108,2017-01-29,14,62
109,2017-02-05,10,56
110,2017-02-12,7,64
111,2017-02-19,12,60
112,2017-02-26,11,59
113,2017-03-05,10,62
114,2017-03-12,11,76
115,2017-03-19,16,57
116,2017-03-26,14,53
117,2017-04-02,12,58
118,2017-04-09,17,46
119,2017-04-16,10,68
120,2017-04-23,12,57
121,2017-04-30,14,53
122,2017-05-07,10,56
123,2017-05-14,18,69
124,2017-05-21,18,56
125,2017-05-28,16,60
126,2017-06-04,21,47
127,2017-06-11,10,39
128,2017-06-18,14,48
129,2017-06-25,20,49
130,2017-07-02,15,49
131,2017-07-09,14,44
132,2017-07-16,26,42
133,2017-07-23,30,46
134,2017-07-30,28,39
135,2017-08-06,55,54
136,2017-08-13,30,55
137,2017-08-20,19,61
138,2017-08-27,18,84
139,2017-09-03,11,74
140,2017-09-10,6,54
141,2017-09-17,13,82
142,2017-09-24,12,83
143,2017-10-01,0,79
144,2017-10-08,15,73
145,2017-10-15,10,75
146,2017-10-22,11,72
147,2017-10-29,10,65
148,2017-11-05,8,64
149,2017-11-12,6,70
150,2017-11-19,8,60
151,2017-11-26,2,49
152,2017-12-03,10,78
153,2017-12-10,9,65
154,2017-12-17,5,58
155,2017-12-24,13,53
156,2017-12-31,9,45
157,2018-01-07,7,74
158,2018-01-14,3,57
159,2018-01-21,13,68
160,2018-01-28,9,61
161,2018-02-04,12,67
162,2018-02-11,11,62
163,2018-02-18,8,74
164,2018-02-25,14,76
165,2018-03-04,11,66
166,2018-03-11,13,64
167,2018-03-18,12,52
168,2018-03-25,13,63
169,2018-04-01,6,46
170,2018-04-08,8,70
171,2018-04-15,8,58
172,2018-04-22,12,56
173,2018-04-29,10,63
174,2018-05-06,17,64
175,2018-05-13,10,56
176,2018-05-20,11,73
177,2018-05-27,12,57
178,2018-06-03,19,40
179,2018-06-10,9,37
180,2018-06-17,10,51
181,2018-06-24,19,46
182,2018-07-01,10,46
183,2018-07-08,11,38
184,2018-07-15,7,40
185,2018-07-22,14,54
186,2018-07-29,14,40
187,2018-08-05,12,35
188,2018-08-12,11,53
189,2018-08-19,0,69
190,2018-08-26,12,100
191,2018-09-02,18,66
192,2018-09-09,10,69
193,2018-09-16,3,93
194,2018-09-23,14,74
195,2018-09-30,16,75
196,2018-10-07,11,75
197,2018-10-14,24,78
198,2018-10-21,11,64
199,2018-10-28,8,67
200,2018-11-04,13,59
201,2018-11-11,12,71
202,2018-11-18,10,51
203,2018-11-25,10,65
204,2018-12-02,25,60
205,2018-12-09,9,57
206,2018-12-16,9,56
207,2018-12-23,14,47
208,2018-12-30,9,51
209,2019-01-06,8,77
210,2019-01-13,5,74
211,2019-01-20,6,58
212,2019-01-27,13,76
213,2019-02-03,8,65
214,2019-02-10,12,66
215,2019-02-17,5,63
216,2019-02-24,7,63
217,2019-03-03,9,61
218,2019-03-10,10,75
219,2019-03-17,9,66
220,2019-03-24,11,53
221,2019-03-31,11,69
222,2019-04-07,12,62
223,2019-04-14,11,51
224,2019-04-21,13,65
225,2019-04-28,10,64
226,2019-05-05,7,55
227,2019-05-12,14,60
228,2019-05-19,7,65
229,2019-05-26,12,54
230,2019-06-02,6,59
231,2019-06-09,12,40
232,2019-06-16,37,51
233,2019-06-23,23,58
234,2019-06-30,14,52
235,2019-07-07,20,39
236,2019-07-14,11,49
237,2019-07-21,20,46
238,2019-07-28,14,47
239,2019-08-04,8,52
240,2019-08-11,9,54
241,2019-08-18,14,64
242,2019-08-25,18,76
243,2019-09-01,16,59
244,2019-09-08,24,69
245,2019-09-15,20,80
246,2019-09-22,45,80
247,2019-09-29,16,68
248,2019-10-06,14,72
249,2019-10-13,6,67
250,2019-10-20,13,81
251,2019-10-27,13,80
252,2019-11-03,6,75
253,2019-11-10,13,69
254,2019-11-17,3,73
255,2019-11-24,5,48
256,2019-12-01,5,77
257,2019-12-08,10,63
258,2019-12-15,4,61
259,2019-12-22,12,37
260,2019-12-29,8,48
