,date,Metallica,Alphabet
0,2015-01-04,11,40
1,2015-01-11,4,43
2,2015-01-18,9,51
3,2015-01-25,7,58
4,2015-02-01,9,48
5,2015-02-08,22,51
6,2015-02-15,11,47
7,2015-02-22,8,39
8,2015-03-01,10,69
9,2015-03-08,14,45
10,2015-03-15,11,41
11,2015-03-22,12,41
12,2015-03-29,5,42
13,2015-04-05,12,49
14,2015-04-12,11,50
15,2015-04-19,9,38
16,2015-04-26,12,30
17,2015-05-03,12,44
18,2015-05-10,14,43
19,2015-05-17,5,47
20,2015-05-24,13,34
21,2015-05-31,5,35
22,2015-06-07,27,35
23,2015-06-14,27,41
24,2015-06-21,18,29
25,2015-06-28,17,32
26,2015-07-05,21,27
27,2015-07-12,15,40
28,2015-07-19,14,35
29,2015-07-26,14,32
30,2015-08-02,12,35
31,2015-08-09,21,46
32,2015-08-16,19,57
33,2015-08-23,18,53
34,2015-08-30,11,54
35,2015-09-06,17,46
36,2015-09-13,29,61
37,2015-09-20,16,47
38,2015-09-27,13,46
39,2015-10-04,11,37
40,2015-10-11,11,49
41,2015-10-18,12,54
42,2015-10-25,3,63
43,2015-11-01,9,49
44,2015-11-08,13,42
45,2015-11-15,17,36
46,2015-11-22,12,45
47,2015-11-29,15,52
48,2015-12-06,8,49
49,2015-12-13,0,47
50,2015-12-20,13,33
51,2015-12-27,15,19
52,2016-01-03,13,42
53,2016-01-10,10,42
54,2016-01-17,10,47
55,2016-01-24,11,40
56,2016-01-31,14,52
57,2016-02-07,17,43
58,2016-02-14,7,38
59,2016-02-21,12,39
60,2016-02-28,8,48
61,2016-03-06,10,41
62,2016-03-13,15,42
63,2016-03-20,12,30
64,2016-03-27,12,33
65,2016-04-03,12,44
66,2016-04-10,14,48
67,2016-04-17,16,44
68,2016-04-24,13,36
69,2016-05-01,10,37
70,2016-05-08,8,42
71,2016-05-15,12,48
72,2016-05-22,9,47
73,2016-05-29,10,30
74,2016-06-05,13,34
75,2016-06-12,6,31
76,2016-06-19,7,29
77,2016-06-26,12,36
78,2016-07-03,12,26
79,2016-07-10,9,39
80,2016-07-17,0,32
81,2016-07-24,10,35
82,2016-07-31,10,38
83,2016-08-07,12,34
84,2016-08-14,18,48
85,2016-08-21,25,60
86,2016-08-28,20,53
87,2016-09-04,13,48
88,2016-09-11,9,55
89,2016-09-18,8,61
90,2016-09-25,22,60
