,date,Pink,Alphabet
0,2015-01-04,8,38
1,2015-01-11,9,41
2,2015-01-18,7,48
3,2015-01-25,8,55
4,2015-02-01,7,46
5,2015-02-08,7,48
6,2015-02-15,11,44
7,2015-02-22,9,37
8,2015-03-01,6,65
9,2015-03-08,4,42
10,2015-03-15,6,39
11,2015-03-22,16,39
12,2015-03-29,12,40
13,2015-04-05,3,46
14,2015-04-12,16,47
15,2015-04-19,4,36
16,2015-04-26,9,29
17,2015-05-03,10,41
18,2015-05-10,9,40
19,2015-05-17,6,45
20,2015-05-24,6,32
21,2015-05-31,7,33
22,2015-06-07,0,33
23,2015-06-14,11,39
24,2015-06-21,12,28
25,2015-06-28,12,30
26,2015-07-05,11,25
27,2015-07-12,5,37
28,2015-07-19,9,33
29,2015-07-26,13,31
30,2015-08-02,11,33
31,2015-08-09,10,43
32,2015-08-16,5,54
33,2015-08-23,13,50
34,2015-08-30,8,51
35,2015-09-06,14,44
36,2015-09-13,5,57
37,2015-09-20,7,44
38,2015-09-27,10,43
39,2015-10-04,4,35
40,2015-10-11,5,46
41,2015-10-18,0,51
42,2015-10-25,6,60
43,2015-11-01,5,47
44,2015-11-08,8,40
45,2015-11-15,9,34
46,2015-11-22,11,42
47,2015-11-29,8,50
48,2015-12-06,12,46
49,2015-12-13,7,44
50,2015-12-20,7,31
51,2015-12-27,5,18
52,2016-01-03,10,40
53,2016-01-10,12,40
54,2016-01-17,10,44
55,2016-01-24,12,37
56,2016-01-31,8,49
57,2016-02-07,9,41
58,2016-02-14,7,36
59,2016-02-21,7,37
60,2016-02-28,3,45
61,2016-03-06,14,39
62,2016-03-13,0,40
63,2016-03-20,6,28
64,2016-03-27,3,32
65,2016-04-03,6,42
66,2016-04-10,10,45
67,2016-04-17,9,42
68,2016-04-24,15,34
69,2016-05-01,12,35
70,2016-05-08,21,40
71,2016-05-15,26,45
72,2016-05-22,15,44
73,2016-05-29,19,29
74,2016-06-05,19,32
75,2016-06-12,13,29
76,2016-06-19,15,28
77,2016-06-26,11,34
78,2016-07-03,10,25
79,2016-07-10,16,37
80,2016-07-17,11,31
81,2016-07-24,9,33
82,2016-07-31,19,36
83,2016-08-07,5,32
84,2016-08-14,18,45
85,2016-08-21,6,56
86,2016-08-28,10,50
87,2016-09-04,10,46
88,2016-09-11,8,52
89,2016-09-18,10,58
90,2016-09-25,9,56
91,2016-10-02,8,32
92,2016-10-09,5,41
93,2016-10-16,6,47
94,2016-10-23,8,41
95,2016-10-30,8,39
96,2016-11-06,17,38
97,2016-11-13,10,38
98,2016-11-20,13,32
99,2016-11-27,7,35
100,2016-12-04,9,45
101,2016-12-11,7,39
102,2016-12-18,13,29
103,2016-12-25,9,38
104,2017-01-01,5,32
105,2017-01-08,8,45
106,2017-01-15,8,39
107,2017-01-22,8,49
108,2017-01-29,6,40
109,2017-02-05,4,37
110,2017-02-12,5,42
111,2017-02-19,3,39
112,2017-02-26,8,38
113,2017-03-05,5,40
114,2017-03-12,6,50
115,2017-03-19,9,37
116,2017-03-26,12,34
117,2017-04-02,9,38
118,2017-04-09,7,30
119,2017-04-16,7,44
120,2017-04-23,6,37
121,2017-04-30,1,34
122,2017-05-07,6,36
123,2017-05-14,15,45
124,2017-05-21,7,37
125,2017-05-28,8,39
126,2017-06-04,2,31
127,2017-06-11,11,25
128,2017-06-18,6,31
129,2017-06-25,6,32
130,2017-07-02,7,32
131,2017-07-09,6,29
132,2017-07-16,3,27
133,2017-07-23,6,30
134,2017-07-30,6,25
135,2017-08-06,7,35
136,2017-08-13,13,36
137,2017-08-20,11,40
138,2017-08-27,39,55
139,2017-09-03,15,48
140,2017-09-10,11,35
141,2017-09-17,13,53
142,2017-09-24,11,54
143,2017-10-01,26,52
144,2017-10-08,41,48
145,2017-10-15,31,49
146,2017-10-22,18,47
147,2017-10-29,14,43
148,2017-11-05,27,41
149,2017-11-12,18,45
150,2017-11-19,32,39
151,2017-11-26,17,32
152,2017-12-03,20,51
153,2017-12-10,17,42
154,2017-12-17,13,38
155,2017-12-24,13,35
156,2017-12-31,14,29
157,2018-01-07,11,48
158,2018-01-14,8,37
159,2018-01-21,13,44
160,2018-01-28,38,40
161,2018-02-04,77,44
162,2018-02-11,16,40
163,2018-02-18,26,48
164,2018-02-25,38,49
165,2018-03-04,33,43
166,2018-03-11,20,42
167,2018-03-18,22,34
168,2018-03-25,17,41
169,2018-04-01,11,30
170,2018-04-08,8,46
171,2018-04-15,27,38
172,2018-04-22,37,37
173,2018-04-29,38,41
174,2018-05-06,34,41
175,2018-05-13,16,37
176,2018-05-20,16,48
177,2018-05-27,13,37
178,2018-06-03,17,26
179,2018-06-10,18,24
180,2018-06-17,14,33
181,2018-06-24,12,30
182,2018-07-01,12,30
183,2018-07-08,20,25
184,2018-07-15,14,26
185,2018-07-22,12,35
186,2018-07-29,15,26
187,2018-08-05,9,23
188,2018-08-12,13,34
189,2018-08-19,18,45
190,2018-08-26,12,65
191,2018-09-02,13,43
192,2018-09-09,10,45
193,2018-09-16,12,61
194,2018-09-23,8,48
195,2018-09-30,11,49
196,2018-10-07,13,49
197,2018-10-14,6,51
198,2018-10-21,15,42
199,2018-10-28,10,44
200,2018-11-04,12,38
201,2018-11-11,12,46
202,2018-11-18,13,34
203,2018-11-25,10,43
204,2018-12-02,8,39
205,2018-12-09,8,37
206,2018-12-16,10,36
207,2018-12-23,7,31
208,2018-12-30,12,33
209,2019-01-06,12,50
210,2019-01-13,28,48
211,2019-01-20,17,38
212,2019-01-27,15,49
213,2019-02-03,15,42
214,2019-02-10,20,43
215,2019-02-17,19,41
216,2019-02-24,17,41
217,2019-03-03,100,40
218,2019-03-10,38,49
219,2019-03-17,29,43
220,2019-03-24,36,35
221,2019-03-31,16,45
222,2019-04-07,13,40
223,2019-04-14,12,33
224,2019-04-21,14,43
225,2019-04-28,25,42
226,2019-05-05,18,36
227,2019-05-12,18,39
228,2019-05-19,24,43
229,2019-05-26,35,35
230,2019-06-02,32,39
231,2019-06-09,27,26
232,2019-06-16,33,33
233,2019-06-23,29,38
234,2019-06-30,14,34
235,2019-07-07,12,26
236,2019-07-14,19,32
237,2019-07-21,30,30
238,2019-07-28,26,30
239,2019-08-04,29,34
240,2019-08-11,26,35
241,2019-08-18,10,42
242,2019-08-25,18,50
243,2019-09-01,24,38
244,2019-09-08,31,45
245,2019-09-15,20,52
246,2019-09-22,14,52
247,2019-09-29,22,44
248,2019-10-06,26,47
249,2019-10-13,17,44
250,2019-10-20,8,53
251,2019-10-27,8,52
252,2019-11-03,23,49
253,2019-11-10,38,45
254,2019-11-17,14,48
255,2019-11-24,23,31
256,2019-12-01,24,50
257,2019-12-08,14,41
258,2019-12-15,8,39
259,2019-12-22,4,24
260,2019-12-29,7,31
