,date,Ed Sheeran,Alphabet
0,2015-01-04,6,10
1,2015-01-11,14,6
2,2015-01-18,12,14
3,2015-01-25,12,9
4,2015-02-01,8,12
5,2015-02-08,57,5
6,2015-02-15,31,0
7,2015-02-22,69,9
8,2015-03-01,24,6
9,2015-03-08,17,8
10,2015-03-15,6,5
11,2015-03-22,16,8
12,2015-03-29,7,11
13,2015-04-05,7,15
14,2015-04-12,8,13
15,2015-04-19,10,0
16,2015-04-26,9,6
17,2015-05-03,12,13
18,2015-05-10,7,8
19,2015-05-17,12,0
20,2015-05-24,13,3
21,2015-05-31,13,4
22,2015-06-07,100,4
23,2015-06-14,19,18
24,2015-06-21,13,11
25,2015-06-28,5,11
26,2015-07-05,10,0
27,2015-07-12,8,10
28,2015-07-19,9,0
29,2015-07-26,8,12
30,2015-08-02,0,7
31,2015-08-09,9,8
32,2015-08-16,13,9
33,2015-08-23,9,7
34,2015-08-30,8,15
35,2015-09-06,0,12
36,2015-09-13,5,3
37,2015-09-20,10,14
38,2015-09-27,7,10
39,2015-10-04,6,17
40,2015-10-11,3,8
41,2015-10-18,3,7
42,2015-10-25,8,9
43,2015-11-01,5,11
44,2015-11-08,7,14
45,2015-11-15,5,9
46,2015-11-22,8,7
47,2015-11-29,7,7
48,2015-12-06,6,15
49,2015-12-13,5,10
50,2015-12-20,0,7
51,2015-12-27,5,7
52,2016-01-03,8,4
53,2016-01-10,1,2
54,2016-01-17,5,6
55,2016-01-24,0,7
56,2016-01-31,5,9
57,2016-02-07,0,6
58,2016-02-14,9,5
59,2016-02-21,0,9
60,2016-02-28,2,8
61,2016-03-06,0,0
62,2016-03-13,5,8
63,2016-03-20,0,4
64,2016-03-27,5,5
65,2016-04-03,5,16
66,2016-04-10,2,6
67,2016-04-17,4,6
68,2016-04-24,4,12
69,2016-05-01,2,14
70,2016-05-08,0,5
71,2016-05-15,0,10
72,2016-05-22,0,5
73,2016-05-29,0,12
74,2016-06-05,4,0
75,2016-06-12,0,8
76,2016-06-19,4,6
77,2016-06-26,0,3
78,2016-07-03,3,8
79,2016-07-10,4,4
80,2016-07-17,4,8
81,2016-07-24,0,6
82,2016-07-31,4,4
83,2016-08-07,0,8
84,2016-08-14,4,0
85,2016-08-21,3,8
86,2016-08-28,4,7
87,2016-09-04,0,10
88,2016-09-11,0,10
89,2016-09-18,4,10
90,2016-09-25,4,12
91,2016-10-02,0,10
92,2016-10-09,0,5
93,2016-10-16,0,5
94,2016-10-23,4,11
95,2016-10-30,0,9
96,2016-11-06,0,3
97,2016-11-13,2,8
98,2016-11-20,0,5
99,2016-11-27,5,8
100,2016-12-04,2,5
101,2016-12-11,0,9
102,2016-12-18,0,8
103,2016-12-25,4,8
104,2017-01-01,0,9
105,2017-01-08,8,8
106,2017-01-15,0,5
107,2017-01-22,4,10
108,2017-01-29,2,8
109,2017-02-05,6,6
110,2017-02-12,7,6
111,2017-02-19,9,8
112,2017-02-26,13,9
113,2017-03-05,26,4
114,2017-03-12,20,9
115,2017-03-19,7,14
116,2017-03-26,15,10
117,2017-04-02,8,9
118,2017-04-09,12,11
119,2017-04-16,4,9
120,2017-04-23,5,8
121,2017-04-30,9,10
122,2017-05-07,4,9
123,2017-05-14,8,5
124,2017-05-21,7,14
125,2017-05-28,4,9
126,2017-06-04,14,4
127,2017-06-11,13,0
128,2017-06-18,5,6
129,2017-06-25,3,6
130,2017-07-02,11,3
131,2017-07-09,9,4
132,2017-07-16,14,3
133,2017-07-23,6,8
134,2017-07-30,8,3
135,2017-08-06,0,11
136,2017-08-13,12,9
137,2017-08-20,7,10
138,2017-08-27,4,17
139,2017-09-03,3,9
140,2017-09-10,7,14
141,2017-09-17,8,12
142,2017-09-24,7,5
143,2017-10-01,8,7
144,2017-10-08,2,6
145,2017-10-15,12,12
146,2017-10-22,17,11
147,2017-10-29,11,9
148,2017-11-05,5,4
149,2017-11-12,10,5
150,2017-11-19,4,4
151,2017-11-26,8,10
152,2017-12-03,17,8
153,2017-12-10,17,6
154,2017-12-17,16,9
155,2017-12-24,12,4
156,2017-12-31,15,8
157,2018-01-07,13,12
158,2018-01-14,8,7
159,2018-01-21,13,9
160,2018-01-28,14,9
161,2018-02-04,12,9
162,2018-02-11,8,5
163,2018-02-18,13,6
164,2018-02-25,6,6
165,2018-03-04,11,9
166,2018-03-11,7,8
167,2018-03-18,10,9
168,2018-03-25,9,11
169,2018-04-01,5,10
170,2018-04-08,7,11
171,2018-04-15,6,10
172,2018-04-22,9,8
173,2018-04-29,5,10
174,2018-05-06,4,7
175,2018-05-13,6,8
176,2018-05-20,5,7
177,2018-05-27,0,10
178,2018-06-03,5,6
179,2018-06-10,12,3
180,2018-06-17,6,10
181,2018-06-24,8,7
182,2018-07-01,0,9
183,2018-07-08,3,5
184,2018-07-15,8,7
185,2018-07-22,0,8
186,2018-07-29,7,5
187,2018-08-05,6,7
188,2018-08-12,3,12
189,2018-08-19,8,5
190,2018-08-26,4,13
191,2018-09-02,6,12
192,2018-09-09,6,10
193,2018-09-16,3,7
194,2018-09-23,2,9
195,2018-09-30,4,4
196,2018-10-07,7,10
197,2018-10-14,6,10
198,2018-10-21,19,8
199,2018-10-28,10,5
200,2018-11-04,2,8
201,2018-11-11,5,10
202,2018-11-18,0,4
203,2018-11-25,5,11
204,2018-12-02,0,6
205,2018-12-09,0,7
206,2018-12-16,0,9
207,2018-12-23,0,0
208,2018-12-30,0,5
209,2019-01-06,3,3
210,2019-01-13,5,11
211,2019-01-20,3,12
212,2019-01-27,5,8
213,2019-02-03,0,10
214,2019-02-10,2,9
215,2019-02-17,10,7
216,2019-02-24,2,10
217,2019-03-03,4,9
218,2019-03-10,2,10
219,2019-03-17,5,8
220,2019-03-24,0,9
221,2019-03-31,3,5
222,2019-04-07,5,12
223,2019-04-14,0,6
224,2019-04-21,4,9
225,2019-04-28,3,11
226,2019-05-05,7,12
227,2019-05-12,7,5
228,2019-05-19,4,5
229,2019-05-26,6,5
230,2019-06-02,0,6
231,2019-06-09,7,8
232,2019-06-16,3,8
233,2019-06-23,3,5
234,2019-06-30,8,6
235,2019-07-07,5,7
236,2019-07-14,13,4
237,2019-07-21,2,4
238,2019-07-28,12,8
239,2019-08-04,8,6
240,2019-08-11,2,5
241,2019-08-18,2,7
242,2019-08-25,0,13
243,2019-09-01,6,12
244,2019-09-08,4,8
245,2019-09-15,5,6
246,2019-09-22,2,8
247,2019-09-29,3,9
248,2019-10-06,3,8
249,2019-10-13,2,10
250,2019-10-20,2,13
251,2019-10-27,5,9
252,2019-11-03,2,13
253,2019-11-10,3,16
254,2019-11-17,0,12
255,2019-11-24,0,6
256,2019-12-01,3,4
257,2019-12-08,2,8
258,2019-12-15,4,6
259,2019-12-22,4,9
260,2019-12-29,5,10
