,date,The Rolling Stones,Alphabet
0,2015-01-04,0,57
1,2015-01-11,0,33
2,2015-01-18,27,77
3,2015-01-25,0,50
4,2015-02-01,24,68
5,2015-02-08,0,30
6,2015-02-15,49,0
7,2015-02-22,17,49
8,2015-03-01,0,32
9,2015-03-08,0,44
10,2015-03-15,64,26
11,2015-03-22,28,43
12,2015-03-29,73,59
13,2015-04-05,37,85
14,2015-04-12,28,74
15,2015-04-19,25,0
16,2015-04-26,31,33
17,2015-05-03,17,70
18,2015-05-10,0,42
19,2015-05-17,52,0
20,2015-05-24,80,17
21,2015-05-31,0,22
22,2015-06-07,0,23
23,2015-06-14,28,100
24,2015-06-21,26,62
25,2015-06-28,21,63
26,2015-07-05,0,0
27,2015-07-12,21,54
28,2015-07-19,0,0
29,2015-07-26,0,65
30,2015-08-02,0,41
31,2015-08-09,0,47
32,2015-08-16,0,48
33,2015-08-23,0,39
34,2015-08-30,36,85
35,2015-09-06,62,68
36,2015-09-13,0,15
37,2015-09-20,14,75
38,2015-09-27,0,53
39,2015-10-04,0,94
40,2015-10-11,0,45
41,2015-10-18,22,38
42,2015-10-25,18,48
43,2015-11-01,0,63
44,2015-11-08,0,78
45,2015-11-15,0,48
46,2015-11-22,23,39
47,2015-11-29,22,38
48,2015-12-06,21,81
49,2015-12-13,0,53
50,2015-12-20,23,41
51,2015-12-27,23,40
52,2016-01-03,0,22
53,2016-01-10,0,12
54,2016-01-17,0,35
55,2016-01-24,0,36
56,2016-01-31,0,51
57,2016-02-07,17,31
58,2016-02-14,0,28
59,2016-02-21,0,49
60,2016-02-28,0,44
61,2016-03-06,15,0
62,2016-03-13,0,45
63,2016-03-20,0,20
64,2016-03-27,0,25
65,2016-04-03,14,87
66,2016-04-10,0,32
67,2016-04-17,0,35
68,2016-04-24,25,65
69,2016-05-01,11,78
70,2016-05-08,17,26
71,2016-05-15,36,56
72,2016-05-22,0,27
73,2016-05-29,0,65
74,2016-06-05,45,0
75,2016-06-12,0,45
76,2016-06-19,0,33
77,2016-06-26,0,15
78,2016-07-03,0,46
79,2016-07-10,0,21
80,2016-07-17,36,42
81,2016-07-24,0,36
82,2016-07-31,15,21
83,2016-08-07,0,43
84,2016-08-14,0,0
85,2016-08-21,0,45
86,2016-08-28,12,37
87,2016-09-04,0,56
88,2016-09-11,13,53
89,2016-09-18,0,56
90,2016-09-25,0,64
91,2016-10-02,24,53
92,2016-10-09,25,28
93,2016-10-16,37,29
94,2016-10-23,10,58
95,2016-10-30,0,49
96,2016-11-06,16,19
97,2016-11-13,10,42
98,2016-11-20,17,26
99,2016-11-27,14,46
100,2016-12-04,11,26
101,2016-12-11,0,47
102,2016-12-18,17,44
103,2016-12-25,0,42
104,2017-01-01,0,51
105,2017-01-08,18,45
106,2017-01-15,40,28
107,2017-01-22,0,56
108,2017-01-29,0,42
109,2017-02-05,0,33
110,2017-02-12,15,36
111,2017-02-19,17,44
112,2017-02-26,24,49
113,2017-03-05,14,24
114,2017-03-12,0,47
115,2017-03-19,0,77
116,2017-03-26,24,55
117,2017-04-02,0,52
118,2017-04-09,11,62
119,2017-04-16,18,52
120,2017-04-23,0,44
121,2017-04-30,12,53
122,2017-05-07,0,51
123,2017-05-14,0,27
124,2017-05-21,0,80
125,2017-05-28,21,52
126,2017-06-04,0,24
127,2017-06-11,0,0
128,2017-06-18,17,36
129,2017-06-25,0,31
130,2017-07-02,0,17
131,2017-07-09,0,24
132,2017-07-16,0,17
133,2017-07-23,0,45
134,2017-07-30,0,19
135,2017-08-06,0,59
136,2017-08-13,10,50
137,2017-08-20,0,57
138,2017-08-27,16,92
139,2017-09-03,0,49
140,2017-09-10,18,79
141,2017-09-17,15,65
142,2017-09-24,0,27
143,2017-10-01,0,41
144,2017-10-08,22,35
145,2017-10-15,14,69
146,2017-10-22,29,63
147,2017-10-29,15,48
148,2017-11-05,0,23
149,2017-11-12,0,29
150,2017-11-19,12,24
151,2017-11-26,22,57
152,2017-12-03,0,42
153,2017-12-10,14,33
154,2017-12-17,13,48
155,2017-12-24,21,24
156,2017-12-31,12,42
157,2018-01-07,0,65
158,2018-01-14,0,38
159,2018-01-21,9,49
160,2018-01-28,14,49
161,2018-02-04,0,51
162,2018-02-11,0,27
163,2018-02-18,0,32
164,2018-02-25,14,35
165,2018-03-04,24,48
166,2018-03-11,23,43
167,2018-03-18,0,49
168,2018-03-25,0,59
169,2018-04-01,0,54
170,2018-04-08,0,59
171,2018-04-15,17,57
172,2018-04-22,0,41
173,2018-04-29,25,55
174,2018-05-06,0,37
175,2018-05-13,11,44
176,2018-05-20,0,37
177,2018-05-27,10,58
178,2018-06-03,0,35
179,2018-06-10,0,15
180,2018-06-17,13,57
181,2018-06-24,24,36
182,2018-07-01,23,48
183,2018-07-08,22,25
184,2018-07-15,49,39
185,2018-07-22,0,45
186,2018-07-29,0,26
187,2018-08-05,15,38
188,2018-08-12,0,64
189,2018-08-19,12,30
190,2018-08-26,0,71
191,2018-09-02,13,68
192,2018-09-09,0,54
193,2018-09-16,12,40
194,2018-09-23,0,48
195,2018-09-30,19,21
196,2018-10-07,0,56
197,2018-10-14,0,57
198,2018-10-21,0,47
199,2018-10-28,0,28
200,2018-11-04,13,46
201,2018-11-11,18,53
202,2018-11-18,0,24
203,2018-11-25,33,59
204,2018-12-02,26,34
205,2018-12-09,0,41
206,2018-12-16,0,51
207,2018-12-23,0,0
208,2018-12-30,34,28
209,2019-01-06,0,15
210,2019-01-13,15,62
211,2019-01-20,0,67
212,2019-01-27,22,42
213,2019-02-03,0,57
214,2019-02-10,13,48
215,2019-02-17,0,41
216,2019-02-24,9,57
217,2019-03-03,12,49
218,2019-03-10,17,55
219,2019-03-17,11,44
220,2019-03-24,28,48
221,2019-03-31,26,30
222,2019-04-07,25,66
223,2019-04-14,26,30
224,2019-04-21,0,50
225,2019-04-28,10,63
226,2019-05-05,28,67
227,2019-05-12,0,28
228,2019-05-19,0,27
229,2019-05-26,0,28
230,2019-06-02,18,31
231,2019-06-09,10,45
232,2019-06-16,0,42
233,2019-06-23,11,25
234,2019-06-30,30,33
235,2019-07-07,27,39
236,2019-07-14,36,20
237,2019-07-21,45,22
238,2019-07-28,30,43
239,2019-08-04,0,36
240,2019-08-11,31,27
241,2019-08-18,9,36
242,2019-08-25,14,70
243,2019-09-01,0,65
244,2019-09-08,0,45
245,2019-09-15,14,36
246,2019-09-22,0,43
247,2019-09-29,0,50
248,2019-10-06,0,46
249,2019-10-13,11,57
250,2019-10-20,0,72
251,2019-10-27,0,47
252,2019-11-03,13,69
253,2019-11-10,0,88
