,date,Bruno Mars,Alphabet
0,2015-01-04,19,20
1,2015-01-11,30,25
2,2015-01-18,27,26
3,2015-01-25,27,19
4,2015-02-01,28,21
5,2015-02-08,25,22
6,2015-02-15,20,23
7,2015-02-22,20,22
8,2015-03-01,15,24
9,2015-03-08,19,20
10,2015-03-15,14,16
11,2015-03-22,19,22
12,2015-03-29,13,18
13,2015-04-05,14,19
14,2015-04-12,12,17
15,2015-04-19,10,20
16,2015-04-26,11,20
17,2015-05-03,14,15
18,2015-05-10,9,17
19,2015-05-17,11,16
20,2015-05-24,10,17
21,2015-05-31,12,15
22,2015-06-07,12,16
23,2015-06-14,8,17
24,2015-06-21,11,15
25,2015-06-28,8,20
26,2015-07-05,7,17
27,2015-07-12,6,13
28,2015-07-19,12,17
29,2015-07-26,7,9
30,2015-08-02,6,19
31,2015-08-09,8,32
32,2015-08-16,6,30
33,2015-08-23,5,26
34,2015-08-30,8,23
35,2015-09-06,8,25
36,2015-09-13,10,28
37,2015-09-20,5,22
38,2015-09-27,4,26
39,2015-10-04,10,21
40,2015-10-11,8,23
41,2015-10-18,7,28
42,2015-10-25,7,24
43,2015-11-01,6,28
44,2015-11-08,4,20
45,2015-11-15,5,19
46,2015-11-22,7,17
47,2015-11-29,7,22
48,2015-12-06,4,24
49,2015-12-13,0,19
50,2015-12-20,7,15
51,2015-12-27,6,15
52,2016-01-03,5,19
53,2016-01-10,6,18
54,2016-01-17,7,17
55,2016-01-24,6,21
56,2016-01-31,9,24
57,2016-02-07,54,19
58,2016-02-14,19,21
59,2016-02-21,11,18
60,2016-02-28,6,22
61,2016-03-06,7,15
62,2016-03-13,9,20
63,2016-03-20,6,15
64,2016-03-27,6,18
65,2016-04-03,7,17
66,2016-04-10,6,19
67,2016-04-17,6,17
68,2016-04-24,4,19
69,2016-05-01,4,17
70,2016-05-08,6,15
71,2016-05-15,8,14
72,2016-05-22,6,17
73,2016-05-29,6,13
74,2016-06-05,5,20
75,2016-06-12,5,11
76,2016-06-19,5,15
77,2016-06-26,5,15
78,2016-07-03,3,13
79,2016-07-10,6,13
80,2016-07-17,6,18
81,2016-07-24,5,15
82,2016-07-31,6,21
83,2016-08-07,7,23
84,2016-08-14,5,30
85,2016-08-21,6,23
86,2016-08-28,1,21
87,2016-09-04,5,19
88,2016-09-11,6,24
89,2016-09-18,4,21
90,2016-09-25,3,23
91,2016-10-02,13,22
92,2016-10-09,14,21
93,2016-10-16,21,19
94,2016-10-23,13,22
95,2016-10-30,15,19
96,2016-11-06,10,18
97,2016-11-13,23,23
98,2016-11-20,40,15
99,2016-11-27,17,17
100,2016-12-04,19,19
101,2016-12-11,36,18
102,2016-12-18,31,19
103,2016-12-25,19,15
104,2017-01-01,22,18
105,2017-01-08,17,18
106,2017-01-15,16,17
107,2017-01-22,17,17
108,2017-01-29,16,18
109,2017-02-05,21,16
110,2017-02-12,100,20
111,2017-02-19,32,20
112,2017-02-26,31,16
113,2017-03-05,34,20
114,2017-03-12,29,16
115,2017-03-19,32,16
116,2017-03-26,26,16
117,2017-04-02,27,15
118,2017-04-09,25,17
119,2017-04-16,26,19
120,2017-04-23,28,20
121,2017-04-30,28,20
122,2017-05-07,32,17
123,2017-05-14,24,17
124,2017-05-21,36,15
125,2017-05-28,28,16
126,2017-06-04,19,16
127,2017-06-11,23,15
128,2017-06-18,22,13
129,2017-06-25,53,15
130,2017-07-02,27,12
131,2017-07-09,21,15
132,2017-07-16,22,16
133,2017-07-23,19,13
134,2017-07-30,21,19
135,2017-08-06,23,23
136,2017-08-13,29,24
137,2017-08-20,26,19
138,2017-08-27,16,23
139,2017-09-03,22,20
140,2017-09-10,26,23
141,2017-09-17,41,25
142,2017-09-24,16,20
143,2017-10-01,14,23
144,2017-10-08,17,19
145,2017-10-15,19,21
146,2017-10-22,16,22
147,2017-10-29,12,21
148,2017-11-05,9,19
149,2017-11-12,9,22
150,2017-11-19,10,14
151,2017-11-26,25,21
152,2017-12-03,14,21
153,2017-12-10,11,15
154,2017-12-17,10,13
155,2017-12-24,12,16
156,2017-12-31,26,14
157,2018-01-07,18,19
158,2018-01-14,18,17
159,2018-01-21,27,19
160,2018-01-28,74,20
161,2018-02-04,69,24
162,2018-02-11,56,21
163,2018-02-18,24,19
164,2018-02-25,16,23
165,2018-03-04,19,20
166,2018-03-11,25,17
167,2018-03-18,20,20
168,2018-03-25,18,22
169,2018-04-01,12,17
170,2018-04-08,13,22
171,2018-04-15,12,20
172,2018-04-22,12,19
173,2018-04-29,14,16
174,2018-05-06,10,19
175,2018-05-13,17,21
176,2018-05-20,13,15
177,2018-05-27,8,16
178,2018-06-03,11,15
179,2018-06-10,11,15
180,2018-06-17,9,18
181,2018-06-24,9,14
182,2018-07-01,8,16
183,2018-07-08,12,17
184,2018-07-15,9,17
185,2018-07-22,8,16
186,2018-07-29,10,16
187,2018-08-05,10,23
188,2018-08-12,13,25
189,2018-08-19,14,24
190,2018-08-26,12,23
191,2018-09-02,14,20
192,2018-09-09,13,24
193,2018-09-16,11,23
194,2018-09-23,12,21
195,2018-09-30,22,25
196,2018-10-07,71,20
197,2018-10-14,7,18
198,2018-10-21,7,19
199,2018-10-28,9,20
200,2018-11-04,7,17
201,2018-11-11,11,20
202,2018-11-18,8,17
203,2018-11-25,7,20
204,2018-12-02,6,19
205,2018-12-09,7,21
206,2018-12-16,8,18
207,2018-12-23,8,15
208,2018-12-30,8,16
209,2019-01-06,8,19
210,2019-01-13,7,19
211,2019-01-20,5,23
212,2019-01-27,9,25
213,2019-02-03,7,20
214,2019-02-10,13,21
215,2019-02-17,9,17
216,2019-02-24,12,19
217,2019-03-03,13,19
218,2019-03-10,9,16
219,2019-03-17,7,17
220,2019-03-24,9,18
221,2019-03-31,10,18
222,2019-04-07,7,18
223,2019-04-14,7,18
224,2019-04-21,5,16
225,2019-04-28,4,20
226,2019-05-05,7,20
