,date,Coldplay,Alphabet
0,2015-01-04,6,20
1,2015-01-11,4,25
2,2015-01-18,4,26
3,2015-01-25,5,19
4,2015-02-01,8,21
5,2015-02-08,6,22
6,2015-02-15,7,23
7,2015-02-22,5,22
8,2015-03-01,5,24
9,2015-03-08,6,20
10,2015-03-15,4,17
11,2015-03-22,8,22
12,2015-03-29,4,18
13,2015-04-05,6,20
14,2015-04-12,5,17
15,2015-04-19,5,21
16,2015-04-26,6,21
17,2015-05-03,6,15
18,2015-05-10,4,17
19,2015-05-17,7,16
20,2015-05-24,9,17
21,2015-05-31,7,15
22,2015-06-07,8,16
23,2015-06-14,5,17
24,2015-06-21,7,15
25,2015-06-28,4,20
26,2015-07-05,5,17
27,2015-07-12,3,13
28,2015-07-19,4,17
29,2015-07-26,5,9
30,2015-08-02,5,19
31,2015-08-09,3,33
32,2015-08-16,2,31
33,2015-08-23,3,26
34,2015-08-30,3,23
35,2015-09-06,3,26
36,2015-09-13,6,28
37,2015-09-20,6,22
38,2015-09-27,5,26
39,2015-10-04,5,21
40,2015-10-11,1,23
41,2015-10-18,3,28
42,2015-10-25,4,24
43,2015-11-01,4,28
44,2015-11-08,6,20
45,2015-11-15,10,19
46,2015-11-22,8,18
47,2015-11-29,22,22
48,2015-12-06,16,25
49,2015-12-13,13,19
50,2015-12-20,11,15
51,2015-12-27,9,15
52,2016-01-03,10,19
53,2016-01-10,6,18
54,2016-01-17,7,18
55,2016-01-24,12,21
56,2016-01-31,23,24
57,2016-02-07,100,20
58,2016-02-14,14,21
59,2016-02-21,9,18
60,2016-02-28,8,22
61,2016-03-06,8,15
62,2016-03-13,9,20
63,2016-03-20,4,15
64,2016-03-27,5,18
65,2016-04-03,5,17
66,2016-04-10,6,19
67,2016-04-17,5,17
68,2016-04-24,5,19
69,2016-05-01,7,17
70,2016-05-08,4,15
71,2016-05-15,5,14
72,2016-05-22,8,17
73,2016-05-29,7,13
74,2016-06-05,6,20
75,2016-06-12,5,11
76,2016-06-19,5,16
77,2016-06-26,5,15
78,2016-07-03,8,13
79,2016-07-10,5,13
80,2016-07-17,12,18
81,2016-07-24,15,16
82,2016-07-31,7,22
83,2016-08-07,7,23
84,2016-08-14,7,30
85,2016-08-21,5,23
86,2016-08-28,8,22
87,2016-09-04,5,19
88,2016-09-11,5,24
89,2016-09-18,7,21
90,2016-09-25,4,23
91,2016-10-02,7,22
92,2016-10-09,6,21
93,2016-10-16,5,19
94,2016-10-23,5,22
95,2016-10-30,4,20
96,2016-11-06,5,18
97,2016-11-13,5,23
98,2016-11-20,6,15
99,2016-11-27,4,18
100,2016-12-04,4,19
101,2016-12-11,4,19
102,2016-12-18,4,19
103,2016-12-25,4,15
104,2017-01-01,3,18
105,2017-01-08,3,19
106,2017-01-15,3,18
107,2017-01-22,5,17
108,2017-01-29,4,19
109,2017-02-05,5,17
110,2017-02-12,3,20
111,2017-02-19,7,20
112,2017-02-26,6,17
113,2017-03-05,7,20
114,2017-03-12,7,17
115,2017-03-19,6,16
116,2017-03-26,5,17
117,2017-04-02,5,15
118,2017-04-09,6,17
