,date,Guns N' Roses,Alphabet
0,2015-01-04,3,26
1,2015-01-11,7,33
2,2015-01-18,4,35
3,2015-01-25,3,26
4,2015-02-01,4,28
5,2015-02-08,4,30
6,2015-02-15,3,31
7,2015-02-22,3,30
8,2015-03-01,4,32
9,2015-03-08,4,26
10,2015-03-15,6,22
11,2015-03-22,2,29
12,2015-03-29,1,24
13,2015-04-05,5,26
14,2015-04-12,5,23
15,2015-04-19,3,27
16,2015-04-26,5,27
17,2015-05-03,7,20
18,2015-05-10,7,23
19,2015-05-17,5,22
20,2015-05-24,0,22
21,2015-05-31,7,21
22,2015-06-07,4,21
23,2015-06-14,6,23
24,2015-06-21,4,20
25,2015-06-28,5,26
26,2015-07-05,0,23
27,2015-07-12,4,18
28,2015-07-19,8,22
29,2015-07-26,6,12
30,2015-08-02,6,26
31,2015-08-09,6,44
32,2015-08-16,7,41
33,2015-08-23,9,35
34,2015-08-30,7,31
35,2015-09-06,5,34
36,2015-09-13,5,37
37,2015-09-20,4,30
38,2015-09-27,8,35
39,2015-10-04,8,28
40,2015-10-11,5,31
41,2015-10-18,5,37
42,2015-10-25,4,32
43,2015-11-01,3,37
44,2015-11-08,8,26
45,2015-11-15,11,25
46,2015-11-22,7,23
47,2015-11-29,6,30
48,2015-12-06,5,33
49,2015-12-13,7,25
50,2015-12-20,5,21
51,2015-12-27,19,20
52,2016-01-03,22,25
53,2016-01-10,12,24
54,2016-01-17,12,23
55,2016-01-24,11,28
56,2016-01-31,6,32
57,2016-02-07,8,26
58,2016-02-14,4,28
59,2016-02-21,9,25
60,2016-02-28,10,29
61,2016-03-06,4,21
62,2016-03-13,8,27
63,2016-03-20,18,20
64,2016-03-27,38,24
65,2016-04-03,69,23
66,2016-04-10,36,26
67,2016-04-17,27,23
68,2016-04-24,19,25
69,2016-05-01,14,23
70,2016-05-08,13,20
71,2016-05-15,10,19
72,2016-05-22,11,23
73,2016-05-29,16,18
74,2016-06-05,14,27
75,2016-06-12,21,15
76,2016-06-19,19,21
77,2016-06-26,26,20
78,2016-07-03,87,18
79,2016-07-10,100,17
80,2016-07-17,20,24
81,2016-07-24,20,21
82,2016-07-31,9,29
83,2016-08-07,11,31
84,2016-08-14,8,40
85,2016-08-21,9,31
86,2016-08-28,7,29
87,2016-09-04,7,26
88,2016-09-11,6,32
89,2016-09-18,6,28
90,2016-09-25,8,30
