,date,The Rolling Stones,Alphabet
0,2015-01-04,4,19
1,2015-01-11,7,24
2,2015-01-18,1,25
3,2015-01-25,6,18
4,2015-02-01,3,20
5,2015-02-08,7,21
6,2015-02-15,6,22
7,2015-02-22,1,21
8,2015-03-01,6,23
9,2015-03-08,7,19
10,2015-03-15,28,16
11,2015-03-22,15,21
12,2015-03-29,33,17
13,2015-04-05,38,18
14,2015-04-12,28,16
15,2015-04-19,13,19
16,2015-04-26,11,19
17,2015-05-03,10,14
18,2015-05-10,11,16
19,2015-05-17,15,15
20,2015-05-24,19,16
21,2015-05-31,19,15
22,2015-06-07,43,15
23,2015-06-14,100,16
24,2015-06-21,12,14
25,2015-06-28,16,19
26,2015-07-05,11,16
27,2015-07-12,8,13
28,2015-07-19,8,16
29,2015-07-26,6,9
30,2015-08-02,10,18
31,2015-08-09,5,31
32,2015-08-16,7,29
33,2015-08-23,5,25
34,2015-08-30,4,22
35,2015-09-06,4,24
36,2015-09-13,5,26
37,2015-09-20,4,21
38,2015-09-27,8,25
39,2015-10-04,4,20
40,2015-10-11,6,22
41,2015-10-18,6,26
42,2015-10-25,6,23
43,2015-11-01,6,26
44,2015-11-08,6,19
45,2015-11-15,4,18
46,2015-11-22,6,17
47,2015-11-29,6,21
48,2015-12-06,5,23
49,2015-12-13,6,18
50,2015-12-20,4,15
51,2015-12-27,7,14
52,2016-01-03,5,18
53,2016-01-10,7,17
54,2016-01-17,4,17
55,2016-01-24,3,20
56,2016-01-31,5,23
57,2016-02-07,7,18
58,2016-02-14,5,20
59,2016-02-21,6,17
60,2016-02-28,6,21
61,2016-03-06,5,15
62,2016-03-13,4,19
63,2016-03-20,6,14
64,2016-03-27,5,17
65,2016-04-03,6,16
66,2016-04-10,6,18
67,2016-04-17,7,16
68,2016-04-24,5,18
69,2016-05-01,8,16
70,2016-05-08,6,14
71,2016-05-15,5,13
72,2016-05-22,5,16
73,2016-05-29,5,12
74,2016-06-05,5,19
75,2016-06-12,5,10
76,2016-06-19,5,15
77,2016-06-26,6,14
78,2016-07-03,5,12
79,2016-07-10,6,12
80,2016-07-17,7,17
81,2016-07-24,4,15
82,2016-07-31,5,20
83,2016-08-07,5,22
84,2016-08-14,5,29
85,2016-08-21,6,22
86,2016-08-28,4,20
87,2016-09-04,3,18
88,2016-09-11,4,22
89,2016-09-18,6,20
90,2016-09-25,5,21
91,2016-10-02,7,21
92,2016-10-09,6,20
93,2016-10-16,5,18
94,2016-10-23,6,21
95,2016-10-30,5,18
96,2016-11-06,6,17
97,2016-11-13,5,22
98,2016-11-20,6,14
99,2016-11-27,7,17
100,2016-12-04,9,18
101,2016-12-11,7,17
102,2016-12-18,5,18
103,2016-12-25,5,14
104,2017-01-01,6,17
105,2017-01-08,6,17
106,2017-01-15,6,17
107,2017-01-22,7,16
108,2017-01-29,3,17
109,2017-02-05,6,16
110,2017-02-12,6,19
111,2017-02-19,6,19
112,2017-02-26,3,16
113,2017-03-05,6,19
114,2017-03-12,6,16
115,2017-03-19,4,15
116,2017-03-26,4,16
117,2017-04-02,4,14
118,2017-04-09,7,16
119,2017-04-16,6,18
120,2017-04-23,4,19
121,2017-04-30,7,19
122,2017-05-07,5,16
123,2017-05-14,4,16
124,2017-05-21,4,14
125,2017-05-28,6,15
126,2017-06-04,5,15
127,2017-06-11,4,15
128,2017-06-18,5,12
129,2017-06-25,5,14
130,2017-07-02,4,12
131,2017-07-09,5,14
132,2017-07-16,4,15
133,2017-07-23,4,12
134,2017-07-30,4,18
135,2017-08-06,5,22
136,2017-08-13,4,23
137,2017-08-20,5,18
138,2017-08-27,3,22
139,2017-09-03,3,19
140,2017-09-10,4,21
141,2017-09-17,5,24
142,2017-09-24,5,19
143,2017-10-01,5,22
144,2017-10-08,3,18
145,2017-10-15,4,20
