,date,Bruno Mars,Alphabet
0,2015-01-04,22,24
1,2015-01-11,29,25
2,2015-01-18,27,24
3,2015-01-25,31,28
4,2015-02-01,34,25
5,2015-02-08,26,22
6,2015-02-15,25,24
7,2015-02-22,25,23
8,2015-03-01,20,24
9,2015-03-08,20,24
10,2015-03-15,20,26
11,2015-03-22,21,23
12,2015-03-29,21,21
13,2015-04-05,15,22
14,2015-04-12,15,22
15,2015-04-19,13,21
16,2015-04-26,15,24
17,2015-05-03,13,23
18,2015-05-10,14,26
19,2015-05-17,15,21
20,2015-05-24,13,21
21,2015-05-31,14,20
22,2015-06-07,13,20
23,2015-06-14,13,19
24,2015-06-21,12,19
25,2015-06-28,12,19
26,2015-07-05,12,18
27,2015-07-12,10,17
28,2015-07-19,12,17
29,2015-07-26,10,19
30,2015-08-02,10,17
31,2015-08-09,10,39
32,2015-08-16,9,27
33,2015-08-23,9,33
34,2015-08-30,11,36
35,2015-09-06,10,30
36,2015-09-13,8,29
37,2015-09-20,8,30
38,2015-09-27,8,30
39,2015-10-04,10,28
40,2015-10-11,8,25
41,2015-10-18,9,29
42,2015-10-25,9,24
43,2015-11-01,8,26
44,2015-11-08,8,24
45,2015-11-15,8,24
46,2015-11-22,10,20
47,2015-11-29,7,21
48,2015-12-06,7,22
49,2015-12-13,8,21
50,2015-12-20,8,19
51,2015-12-27,9,18
52,2016-01-03,8,20
53,2016-01-10,8,20
54,2016-01-17,8,22
55,2016-01-24,7,22
56,2016-01-31,12,28
57,2016-02-07,64,22
58,2016-02-14,22,25
59,2016-02-21,10,23
60,2016-02-28,9,21
61,2016-03-06,8,19
62,2016-03-13,9,17
63,2016-03-20,10,22
64,2016-03-27,6,21
65,2016-04-03,8,23
66,2016-04-10,7,24
67,2016-04-17,9,21
68,2016-04-24,7,20
69,2016-05-01,7,21
70,2016-05-08,6,22
71,2016-05-15,9,23
72,2016-05-22,11,21
73,2016-05-29,8,18
74,2016-06-05,8,18
75,2016-06-12,6,19
76,2016-06-19,7,22
77,2016-06-26,7,21
78,2016-07-03,7,18
79,2016-07-10,6,18
80,2016-07-17,7,19
81,2016-07-24,7,18
82,2016-07-31,6,24
83,2016-08-07,6,18
84,2016-08-14,6,23
85,2016-08-21,7,33
86,2016-08-28,6,35
87,2016-09-04,6,27
88,2016-09-11,6,28
89,2016-09-18,7,26
90,2016-09-25,6,25
91,2016-10-02,17,24
92,2016-10-09,17,22
93,2016-10-16,24,23
94,2016-10-23,16,24
95,2016-10-30,16,22
96,2016-11-06,13,20
97,2016-11-13,37,23
98,2016-11-20,51,18
99,2016-11-27,24,22
100,2016-12-04,25,22
101,2016-12-11,45,21
102,2016-12-18,31,20
103,2016-12-25,25,18
104,2017-01-01,24,21
105,2017-01-08,20,20
106,2017-01-15,20,22
107,2017-01-22,20,26
108,2017-01-29,31,22
109,2017-02-05,27,20
110,2017-02-12,100,23
111,2017-02-19,37,23
112,2017-02-26,33,23
113,2017-03-05,40,23
114,2017-03-12,35,17
115,2017-03-19,32,21
116,2017-03-26,33,21
117,2017-04-02,30,20
118,2017-04-09,30,20
119,2017-04-16,26,21
120,2017-04-23,25,22
121,2017-04-30,30,21
122,2017-05-07,28,22
123,2017-05-14,29,25
124,2017-05-21,38,23
125,2017-05-28,36,23
126,2017-06-04,24,22
127,2017-06-11,27,19
128,2017-06-18,26,21
129,2017-06-25,44,18
130,2017-07-02,26,18
131,2017-07-09,21,17
132,2017-07-16,25,17
133,2017-07-23,21,17
134,2017-07-30,20,17
135,2017-08-06,22,19
136,2017-08-13,27,22
137,2017-08-20,20,26
138,2017-08-27,16,26
139,2017-09-03,16,25
140,2017-09-10,17,28
141,2017-09-17,17,29
142,2017-09-24,18,27
143,2017-10-01,17,25
144,2017-10-08,18,25
145,2017-10-15,27,26
146,2017-10-22,52,26
147,2017-10-29,14,23
148,2017-11-05,14,26
149,2017-11-12,11,24
150,2017-11-19,13,20
151,2017-11-26,24,23
152,2017-12-03,16,23
153,2017-12-10,13,22
154,2017-12-17,11,19
155,2017-12-24,15,18
156,2017-12-31,33,18
157,2018-01-07,23,26
158,2018-01-14,19,21
159,2018-01-21,28,24
160,2018-01-28,70,23
161,2018-02-04,38,30
162,2018-02-11,41,24
163,2018-02-18,22,22
164,2018-02-25,18,25
165,2018-03-04,19,23
166,2018-03-11,24,19
167,2018-03-18,17,24
168,2018-03-25,19,21
169,2018-04-01,15,24
170,2018-04-08,13,23
171,2018-04-15,12,22
172,2018-04-22,16,25
173,2018-04-29,15,23
174,2018-05-06,14,23
175,2018-05-13,12,23
176,2018-05-20,14,25
177,2018-05-27,13,21
178,2018-06-03,12,22
179,2018-06-10,12,21
180,2018-06-17,9,19
181,2018-06-24,13,19
182,2018-07-01,11,17
183,2018-07-08,12,20
184,2018-07-15,12,18
185,2018-07-22,12,20
186,2018-07-29,13,21
187,2018-08-05,12,21
188,2018-08-12,15,23
189,2018-08-19,12,31
190,2018-08-26,13,34
191,2018-09-02,13,32
192,2018-09-09,12,30
193,2018-09-16,15,29
194,2018-09-23,15,29
195,2018-09-30,14,26
196,2018-10-07,23,26
197,2018-10-14,31,25
198,2018-10-21,14,28
199,2018-10-28,11,23
200,2018-11-04,10,23
201,2018-11-11,10,24
202,2018-11-18,11,17
203,2018-11-25,8,23
