,date,Coldplay,Alphabet
0,2015-01-04,5,21
1,2015-01-11,6,22
2,2015-01-18,6,20
3,2015-01-25,6,24
4,2015-02-01,6,21
5,2015-02-08,7,19
6,2015-02-15,6,20
7,2015-02-22,5,20
8,2015-03-01,5,20
9,2015-03-08,5,21
10,2015-03-15,5,22
11,2015-03-22,6,20
12,2015-03-29,5,18
13,2015-04-05,6,19
14,2015-04-12,5,19
15,2015-04-19,5,18
16,2015-04-26,5,20
17,2015-05-03,5,20
18,2015-05-10,5,22
19,2015-05-17,6,18
20,2015-05-24,6,18
21,2015-05-31,6,17
22,2015-06-07,6,17
23,2015-06-14,5,17
24,2015-06-21,6,16
25,2015-06-28,4,16
26,2015-07-05,5,16
27,2015-07-12,5,15
28,2015-07-19,6,14
29,2015-07-26,5,17
30,2015-08-02,4,15
31,2015-08-09,6,33
32,2015-08-16,5,23
33,2015-08-23,4,28
34,2015-08-30,4,31
35,2015-09-06,4,25
36,2015-09-13,4,25
37,2015-09-20,5,26
38,2015-09-27,5,25
39,2015-10-04,5,24
40,2015-10-11,5,21
41,2015-10-18,4,25
42,2015-10-25,3,20
43,2015-11-01,7,22
44,2015-11-08,7,21
45,2015-11-15,7,20
46,2015-11-22,12,17
47,2015-11-29,17,18
48,2015-12-06,14,19
49,2015-12-13,12,18
50,2015-12-20,9,16
51,2015-12-27,8,16
52,2016-01-03,7,17
53,2016-01-10,6,17
54,2016-01-17,7,19
55,2016-01-24,20,19
56,2016-01-31,32,23
57,2016-02-07,100,19
58,2016-02-14,14,21
59,2016-02-21,10,20
60,2016-02-28,8,18
61,2016-03-06,8,16
62,2016-03-13,10,14
63,2016-03-20,8,19
64,2016-03-27,8,18
65,2016-04-03,8,19
66,2016-04-10,8,21
67,2016-04-17,8,18
68,2016-04-24,9,17
69,2016-05-01,8,18
70,2016-05-08,8,18
71,2016-05-15,9,20
72,2016-05-22,7,17
73,2016-05-29,6,16
74,2016-06-05,6,16
75,2016-06-12,6,16
76,2016-06-19,8,18
77,2016-06-26,7,17
78,2016-07-03,6,15
79,2016-07-10,7,15
80,2016-07-17,10,16
81,2016-07-24,10,15
82,2016-07-31,10,21
83,2016-08-07,9,15
84,2016-08-14,11,20
85,2016-08-21,32,28
86,2016-08-28,25,30
87,2016-09-04,9,23
88,2016-09-11,7,24
89,2016-09-18,6,22
90,2016-09-25,6,21
91,2016-10-02,8,21
92,2016-10-09,12,19
