,date,Ed Sheeran,Alphabet
0,2015-01-04,45,36
1,2015-01-11,44,37
2,2015-01-18,50,34
3,2015-01-25,53,41
4,2015-02-01,45,38
5,2015-02-08,100,31
6,2015-02-15,73,33
7,2015-02-22,71,33
8,2015-03-01,58,34
9,2015-03-08,47,36
10,2015-03-15,37,39
11,2015-03-22,37,32
12,2015-03-29,38,32
13,2015-04-05,47,32
14,2015-04-12,34,33
15,2015-04-19,31,31
16,2015-04-26,31,35
17,2015-05-03,50,34
18,2015-05-10,31,37
19,2015-05-17,49,31
20,2015-05-24,31,30
21,2015-05-31,34,29
22,2015-06-07,34,30
23,2015-06-14,43,28
24,2015-06-21,32,27
25,2015-06-28,37,28
26,2015-07-05,35,27
27,2015-07-12,29,26
28,2015-07-19,34,25
29,2015-07-26,30,28
30,2015-08-02,28,25
31,2015-08-09,38,57
32,2015-08-16,41,39
33,2015-08-23,40,48
34,2015-08-30,67,53
35,2015-09-06,40,43
36,2015-09-13,25,42
37,2015-09-20,25,44
38,2015-09-27,28,43
39,2015-10-04,25,40
40,2015-10-11,24,36
41,2015-10-18,21,43
42,2015-10-25,23,35
43,2015-11-01,19,38
44,2015-11-08,21,35
45,2015-11-15,19,35
46,2015-11-22,18,29
47,2015-11-29,16,31
48,2015-12-06,15,33
49,2015-12-13,17,30
50,2015-12-20,14,28
51,2015-12-27,18,27
52,2016-01-03,14,29
53,2016-01-10,15,29
54,2016-01-17,15,32
55,2016-01-24,12,33
56,2016-01-31,13,40
57,2016-02-07,13,32
58,2016-02-14,26,36
59,2016-02-21,12,34
60,2016-02-28,11,31
61,2016-03-06,12,28
62,2016-03-13,9,24
63,2016-03-20,11,32
64,2016-03-27,12,30
65,2016-04-03,11,33
66,2016-04-10,9,35
67,2016-04-17,9,31
68,2016-04-24,12,30
69,2016-05-01,10,30
70,2016-05-08,9,31
71,2016-05-15,9,34
72,2016-05-22,9,30
73,2016-05-29,8,27
74,2016-06-05,15,27
75,2016-06-12,9,27
76,2016-06-19,9,31
77,2016-06-26,8,30
78,2016-07-03,10,26
79,2016-07-10,10,26
80,2016-07-17,8,28
81,2016-07-24,10,26
82,2016-07-31,8,36
83,2016-08-07,9,27
84,2016-08-14,9,34
85,2016-08-21,8,47
86,2016-08-28,7,51
87,2016-09-04,7,40
88,2016-09-11,7,41
89,2016-09-18,8,38
90,2016-09-25,7,36
91,2016-10-02,6,35
92,2016-10-09,8,32
93,2016-10-16,7,34
94,2016-10-23,8,35
95,2016-10-30,7,32
96,2016-11-06,7,30
