,date,Metallica,Alphabet
0,2015-01-04,7,23
1,2015-01-11,8,24
2,2015-01-18,7,22
3,2015-01-25,6,26
4,2015-02-01,7,23
5,2015-02-08,8,20
6,2015-02-15,7,22
7,2015-02-22,6,21
8,2015-03-01,7,22
9,2015-03-08,8,22
10,2015-03-15,8,24
11,2015-03-22,8,21
12,2015-03-29,6,20
13,2015-04-05,7,21
14,2015-04-12,8,20
15,2015-04-19,8,20
16,2015-04-26,6,22
17,2015-05-03,7,22
18,2015-05-10,12,24
19,2015-05-17,9,19
20,2015-05-24,10,19
21,2015-05-31,15,19
22,2015-06-07,13,19
23,2015-06-14,8,18
24,2015-06-21,8,17
25,2015-06-28,7,18
26,2015-07-05,8,17
27,2015-07-12,7,16
28,2015-07-19,6,16
29,2015-07-26,8,18
30,2015-08-02,9,16
31,2015-08-09,7,36
32,2015-08-16,7,25
33,2015-08-23,8,31
34,2015-08-30,6,34
35,2015-09-06,8,27
36,2015-09-13,7,27
37,2015-09-20,7,28
38,2015-09-27,6,27
39,2015-10-04,6,26
40,2015-10-11,6,23
41,2015-10-18,5,27
42,2015-10-25,6,22
43,2015-11-01,7,24
44,2015-11-08,7,22
45,2015-11-15,7,22
46,2015-11-22,7,18
47,2015-11-29,7,20
48,2015-12-06,7,21
49,2015-12-13,7,19
50,2015-12-20,9,18
51,2015-12-27,9,17
52,2016-01-03,6,18
53,2016-01-10,8,18
54,2016-01-17,7,20
55,2016-01-24,7,21
56,2016-01-31,8,25
57,2016-02-07,12,21
58,2016-02-14,8,23
59,2016-02-21,9,21
60,2016-02-28,7,19
61,2016-03-06,7,18
62,2016-03-13,8,15
63,2016-03-20,8,20
64,2016-03-27,7,19
65,2016-04-03,7,21
66,2016-04-10,7,23
67,2016-04-17,8,20
68,2016-04-24,6,19
69,2016-05-01,8,19
70,2016-05-08,6,20
71,2016-05-15,7,21
72,2016-05-22,7,19
73,2016-05-29,6,17
74,2016-06-05,8,17
75,2016-06-12,7,17
76,2016-06-19,7,20
77,2016-06-26,7,19
78,2016-07-03,7,17
79,2016-07-10,8,17
80,2016-07-17,8,18
81,2016-07-24,7,17
82,2016-07-31,8,23
83,2016-08-07,8,17
84,2016-08-14,14,21
85,2016-08-21,14,30
86,2016-08-28,9,32
87,2016-09-04,9,25
88,2016-09-11,9,26
89,2016-09-18,9,24
90,2016-09-25,14,23
91,2016-10-02,10,23
92,2016-10-09,8,20
93,2016-10-16,9,21
94,2016-10-23,8,22
95,2016-10-30,11,21
96,2016-11-06,9,19
97,2016-11-13,24,21
98,2016-11-20,17,16
99,2016-11-27,12,20
100,2016-12-04,10,20
101,2016-12-11,12,20
102,2016-12-18,12,19
103,2016-12-25,9,16
104,2017-01-01,8,20
105,2017-01-08,9,19
106,2017-01-15,9,20
107,2017-01-22,8,24
108,2017-01-29,8,21
109,2017-02-05,10,19
110,2017-02-12,100,21
111,2017-02-19,31,21
112,2017-02-26,19,21
113,2017-03-05,16,21
114,2017-03-12,15,16
115,2017-03-19,13,20
116,2017-03-26,14,19
117,2017-04-02,12,19
118,2017-04-09,13,18
119,2017-04-16,13,19
120,2017-04-23,12,21
121,2017-04-30,12,19
122,2017-05-07,13,21
123,2017-05-14,16,23
124,2017-05-21,15,22
125,2017-05-28,21,22
126,2017-06-04,36,20
127,2017-06-11,90,18
128,2017-06-18,20,19
129,2017-06-25,11,16
130,2017-07-02,10,17
131,2017-07-09,10,16
132,2017-07-16,9,16
133,2017-07-23,9,16
134,2017-07-30,11,16
135,2017-08-06,10,17
136,2017-08-13,9,20
137,2017-08-20,7,24
138,2017-08-27,7,24
139,2017-09-03,7,23
140,2017-09-10,7,26
141,2017-09-17,7,27
142,2017-09-24,7,25
143,2017-10-01,7,24
144,2017-10-08,7,23
145,2017-10-15,6,24
146,2017-10-22,8,24
147,2017-10-29,7,21
148,2017-11-05,8,24
149,2017-11-12,8,22
150,2017-11-19,6,19
151,2017-11-26,6,21
152,2017-12-03,7,21
153,2017-12-10,6,21
154,2017-12-17,7,18
155,2017-12-24,8,17
156,2017-12-31,7,17
157,2018-01-07,6,24
158,2018-01-14,7,20
159,2018-01-21,7,22
160,2018-01-28,7,22
161,2018-02-04,7,28
162,2018-02-11,8,22
163,2018-02-18,7,21
164,2018-02-25,38,24
165,2018-03-04,11,21
166,2018-03-11,8,18
167,2018-03-18,7,22
168,2018-03-25,8,19
169,2018-04-01,8,22
170,2018-04-08,10,21
171,2018-04-15,7,20
172,2018-04-22,7,23
173,2018-04-29,10,21
174,2018-05-06,8,21
175,2018-05-13,9,21
176,2018-05-20,8,23
177,2018-05-27,8,20
178,2018-06-03,8,20
179,2018-06-10,7,19
180,2018-06-17,7,18
181,2018-06-24,7,18
182,2018-07-01,7,16
183,2018-07-08,7,19
184,2018-07-15,6,17
185,2018-07-22,7,19
186,2018-07-29,8,20
187,2018-08-05,9,20
188,2018-08-12,9,22
189,2018-08-19,8,29
190,2018-08-26,9,31
191,2018-09-02,11,29
192,2018-09-09,8,28
193,2018-09-16,8,27
194,2018-09-23,9,27
195,2018-09-30,10,24
196,2018-10-07,17,25
197,2018-10-14,13,23
198,2018-10-21,7,26
199,2018-10-28,7,21
200,2018-11-04,8,21
201,2018-11-11,8,22
202,2018-11-18,7,16
203,2018-11-25,8,21
204,2018-12-02,8,20
205,2018-12-09,8,22
206,2018-12-16,8,20
207,2018-12-23,8,16
208,2018-12-30,8,17
209,2019-01-06,9,22
210,2019-01-13,12,21
211,2019-01-20,10,21
212,2019-01-27,11,23
213,2019-02-03,8,22
214,2019-02-10,9,22
215,2019-02-17,10,22
216,2019-02-24,21,21
217,2019-03-03,16,21
218,2019-03-10,10,17
219,2019-03-17,9,20
220,2019-03-24,8,22
221,2019-03-31,8,21
222,2019-04-07,7,22
223,2019-04-14,8,18
224,2019-04-21,7,21
225,2019-04-28,7,24
226,2019-05-05,7,23
227,2019-05-12,7,21
228,2019-05-19,6,20
229,2019-05-26,7,19
230,2019-06-02,9,20
231,2019-06-09,7,18
232,2019-06-16,6,19
233,2019-06-23,6,17
234,2019-06-30,6,17
235,2019-07-07,7,17
236,2019-07-14,6,19
237,2019-07-21,7,19
238,2019-07-28,6,17
239,2019-08-04,8,20
240,2019-08-11,7,21
241,2019-08-18,6,28
242,2019-08-25,8,31
243,2019-09-01,7,27
244,2019-09-08,7,26
245,2019-09-15,7,27
246,2019-09-22,9,26
247,2019-09-29,9,25
248,2019-10-06,9,25
249,2019-10-13,7,23
250,2019-10-20,6,25
251,2019-10-27,5,26
252,2019-11-03,6,27
253,2019-11-10,6,26
254,2019-11-17,7,26
255,2019-11-24,7,18
256,2019-12-01,7,26
257,2019-12-08,6,22
258,2019-12-15,6,23
259,2019-12-22,7,17
260,2019-12-29,7,19
