,date,U2,Alphabet
0,2015-01-04,11,37
1,2015-01-11,11,38
2,2015-01-18,10,36
3,2015-01-25,11,42
4,2015-02-01,9,38
5,2015-02-08,10,33
6,2015-02-15,11,35
7,2015-02-22,9,35
8,2015-03-01,9,36
9,2015-03-08,10,36
10,2015-03-15,11,39
11,2015-03-22,9,35
12,2015-03-29,8,32
13,2015-04-05,10,33
14,2015-04-12,8,33
15,2015-04-19,9,32
16,2015-04-26,7,36
17,2015-05-03,17,35
18,2015-05-10,20,38
19,2015-05-17,15,31
20,2015-05-24,21,31
21,2015-05-31,14,30
22,2015-06-07,12,31
23,2015-06-14,8,29
24,2015-06-21,11,28
25,2015-06-28,12,29
26,2015-07-05,9,28
27,2015-07-12,10,26
28,2015-07-19,11,25
29,2015-07-26,10,29
30,2015-08-02,8,26
31,2015-08-09,7,58
32,2015-08-16,7,40
33,2015-08-23,8,50
34,2015-08-30,8,55
35,2015-09-06,7,45
36,2015-09-13,6,44
37,2015-09-20,7,46
38,2015-09-27,7,44
39,2015-10-04,6,42
40,2015-10-11,5,37
41,2015-10-18,7,44
42,2015-10-25,7,36
43,2015-11-01,8,39
44,2015-11-08,8,36
45,2015-11-15,9,36
46,2015-11-22,7,29
47,2015-11-29,4,32
48,2015-12-06,13,34
49,2015-12-13,10,31
50,2015-12-20,8,29
51,2015-12-27,9,27
52,2016-01-03,5,30
53,2016-01-10,5,30
54,2016-01-17,6,33
55,2016-01-24,5,33
56,2016-01-31,7,41
57,2016-02-07,8,33
58,2016-02-14,8,38
59,2016-02-21,6,35
60,2016-02-28,5,32
61,2016-03-06,5,29
62,2016-03-13,6,25
63,2016-03-20,6,33
64,2016-03-27,5,31
65,2016-04-03,6,34
66,2016-04-10,6,37
67,2016-04-17,6,32
68,2016-04-24,6,30
69,2016-05-01,6,31
70,2016-05-08,6,32
71,2016-05-15,6,35
72,2016-05-22,6,31
73,2016-05-29,5,28
74,2016-06-05,6,28
75,2016-06-12,6,28
76,2016-06-19,6,32
77,2016-06-26,5,31
78,2016-07-03,5,27
79,2016-07-10,5,27
80,2016-07-17,5,29
81,2016-07-24,7,27
82,2016-07-31,6,37
83,2016-08-07,3,27
84,2016-08-14,5,35
85,2016-08-21,5,49
86,2016-08-28,6,53
87,2016-09-04,5,41
88,2016-09-11,4,43
89,2016-09-18,7,39
90,2016-09-25,6,37
91,2016-10-02,7,37
92,2016-10-09,5,33
93,2016-10-16,5,35
94,2016-10-23,4,36
95,2016-10-30,6,33
96,2016-11-06,5,31
97,2016-11-13,6,34
98,2016-11-20,4,27
99,2016-11-27,5,32
100,2016-12-04,5,32
101,2016-12-11,4,32
102,2016-12-18,6,31
103,2016-12-25,6,26
104,2017-01-01,6,32
105,2017-01-08,51,30
106,2017-01-15,33,33
107,2017-01-22,13,39
108,2017-01-29,9,33
109,2017-02-05,8,30
110,2017-02-12,11,34
111,2017-02-19,10,35
112,2017-02-26,8,34
113,2017-03-05,8,34
114,2017-03-12,8,26
115,2017-03-19,8,32
116,2017-03-26,9,31
117,2017-04-02,8,30
118,2017-04-09,10,30
119,2017-04-16,10,31
120,2017-04-23,12,33
121,2017-04-30,12,32
122,2017-05-07,18,33
123,2017-05-14,26,37
124,2017-05-21,100,35
125,2017-05-28,29,35
126,2017-06-04,16,33
127,2017-06-11,14,29
128,2017-06-18,12,31
129,2017-06-25,9,26
130,2017-07-02,6,27
131,2017-07-09,8,26
132,2017-07-16,8,25
133,2017-07-23,9,26
134,2017-07-30,7,26
135,2017-08-06,7,28
136,2017-08-13,7,33
137,2017-08-20,7,39
138,2017-08-27,6,39
139,2017-09-03,10,37
140,2017-09-10,13,42
141,2017-09-17,8,44
142,2017-09-24,8,41
143,2017-10-01,7,38
144,2017-10-08,6,38
145,2017-10-15,7,39
146,2017-10-22,5,39
147,2017-10-29,8,34
148,2017-11-05,7,38
149,2017-11-12,8,36
150,2017-11-19,7,30
151,2017-11-26,9,34
152,2017-12-03,14,35
153,2017-12-10,7,33
154,2017-12-17,7,29
155,2017-12-24,8,27
156,2017-12-31,7,28
157,2018-01-07,6,39
158,2018-01-14,6,32
159,2018-01-21,6,36
160,2018-01-28,16,35
161,2018-02-04,6,45
162,2018-02-11,8,36
163,2018-02-18,6,33
164,2018-02-25,5,38
165,2018-03-04,7,34
166,2018-03-11,5,29
167,2018-03-18,6,36
168,2018-03-25,7,31
169,2018-04-01,7,35
170,2018-04-08,6,35
171,2018-04-15,6,33
172,2018-04-22,7,37
173,2018-04-29,13,34
174,2018-05-06,9,35
175,2018-05-13,7,34
176,2018-05-20,9,37
177,2018-05-27,8,32
178,2018-06-03,7,32
179,2018-06-10,7,31
180,2018-06-17,6,29
181,2018-06-24,6,29
182,2018-07-01,6,26
183,2018-07-08,6,30
184,2018-07-15,5,28
185,2018-07-22,5,31
186,2018-07-29,6,32
187,2018-08-05,6,32
188,2018-08-12,5,35
189,2018-08-19,4,47
190,2018-08-26,5,51
191,2018-09-02,6,48
192,2018-09-09,5,45
193,2018-09-16,5,43
194,2018-09-23,5,44
195,2018-09-30,4,39
196,2018-10-07,5,40
197,2018-10-14,5,38
198,2018-10-21,3,42
199,2018-10-28,5,35
200,2018-11-04,6,34
201,2018-11-11,5,36
202,2018-11-18,6,26
203,2018-11-25,4,34
204,2018-12-02,4,32
205,2018-12-09,5,36
206,2018-12-16,5,32
207,2018-12-23,5,26
208,2018-12-30,5,28
209,2019-01-06,5,35
210,2019-01-13,5,34
211,2019-01-20,5,33
212,2019-01-27,4,37
213,2019-02-03,4,36
214,2019-02-10,5,35
215,2019-02-17,5,36
216,2019-02-24,4,35
217,2019-03-03,5,34
218,2019-03-10,5,28
219,2019-03-17,4,33
220,2019-03-24,4,36
221,2019-03-31,4,33
222,2019-04-07,4,36
223,2019-04-14,5,29
224,2019-04-21,4,33
225,2019-04-28,5,39
226,2019-05-05,5,38
227,2019-05-12,5,34
228,2019-05-19,4,33
229,2019-05-26,5,30
230,2019-06-02,3,32
231,2019-06-09,4,29
232,2019-06-16,4,30
233,2019-06-23,4,27
234,2019-06-30,4,28
235,2019-07-07,4,28
236,2019-07-14,5,31
237,2019-07-21,5,31
238,2019-07-28,4,27
239,2019-08-04,4,33
240,2019-08-11,4,35
241,2019-08-18,5,46
242,2019-08-25,4,50
243,2019-09-01,4,43
244,2019-09-08,4,43
245,2019-09-15,4,44
246,2019-09-22,4,42
247,2019-09-29,4,41
248,2019-10-06,4,41
249,2019-10-13,4,37
250,2019-10-20,4,40
251,2019-10-27,4,43
252,2019-11-03,5,43
253,2019-11-10,3,42
254,2019-11-17,5,42
255,2019-11-24,5,30
256,2019-12-01,5,43
257,2019-12-08,5,36
258,2019-12-15,4,37
259,2019-12-22,4,27
260,2019-12-29,6,31
