,date,Bruno Mars,Alphabet
0,2015-01-04,29,32
1,2015-01-11,39,47
2,2015-01-18,30,48
3,2015-01-25,41,55
4,2015-02-01,21,50
5,2015-02-08,36,45
6,2015-02-15,26,50
7,2015-02-22,46,53
8,2015-03-01,30,54
9,2015-03-08,24,50
10,2015-03-15,32,31
11,2015-03-22,27,36
12,2015-03-29,24,46
13,2015-04-05,23,46
14,2015-04-12,19,36
15,2015-04-19,22,40
16,2015-04-26,22,40
17,2015-05-03,14,47
18,2015-05-10,20,44
19,2015-05-17,12,52
20,2015-05-24,7,45
21,2015-05-31,13,36
22,2015-06-07,16,25
23,2015-06-14,22,28
24,2015-06-21,13,36
25,2015-06-28,15,32
26,2015-07-05,15,39
27,2015-07-12,3,32
28,2015-07-19,27,30
29,2015-07-26,14,27
30,2015-08-02,8,31
31,2015-08-09,9,80
32,2015-08-16,10,40
33,2015-08-23,4,52
34,2015-08-30,9,64
35,2015-09-06,10,60
36,2015-09-13,7,39
37,2015-09-20,14,48
38,2015-09-27,6,60
39,2015-10-04,7,47
40,2015-10-11,12,40
41,2015-10-18,10,52
42,2015-10-25,9,51
43,2015-11-01,6,50
44,2015-11-08,15,50
45,2015-11-15,5,48
46,2015-11-22,10,45
47,2015-11-29,11,54
48,2015-12-06,13,44
49,2015-12-13,18,34
50,2015-12-20,10,38
51,2015-12-27,0,40
52,2016-01-03,5,36
53,2016-01-10,6,44
54,2016-01-17,13,44
55,2016-01-24,8,42
56,2016-01-31,25,52
57,2016-02-07,100,52
58,2016-02-14,28,36
59,2016-02-21,15,44
60,2016-02-28,13,46
61,2016-03-06,8,34
62,2016-03-13,13,42
63,2016-03-20,12,37
64,2016-03-27,6,35
65,2016-04-03,13,26
66,2016-04-10,8,41
67,2016-04-17,6,37
68,2016-04-24,15,37
69,2016-05-01,17,39
70,2016-05-08,10,34
71,2016-05-15,11,39
72,2016-05-22,14,27
73,2016-05-29,10,34
74,2016-06-05,11,36
75,2016-06-12,8,19
76,2016-06-19,5,27
77,2016-06-26,4,33
78,2016-07-03,3,31
79,2016-07-10,12,39
80,2016-07-17,10,43
81,2016-07-24,7,32
82,2016-07-31,10,36
83,2016-08-07,5,42
84,2016-08-14,6,34
85,2016-08-21,4,61
86,2016-08-28,6,50
87,2016-09-04,8,47
88,2016-09-11,5,37
89,2016-09-18,3,38
90,2016-09-25,4,39
91,2016-10-02,18,37
92,2016-10-09,14,49
93,2016-10-16,37,39
94,2016-10-23,15,42
95,2016-10-30,20,38
96,2016-11-06,18,39
97,2016-11-13,22,39
98,2016-11-20,43,34
99,2016-11-27,24,40
100,2016-12-04,23,39
101,2016-12-11,62,34
102,2016-12-18,33,42
103,2016-12-25,22,29
104,2017-01-01,16,39
105,2017-01-08,24,33
106,2017-01-15,26,47
107,2017-01-22,17,35
108,2017-01-29,24,45
109,2017-02-05,25,40
110,2017-02-12,93,42
111,2017-02-19,29,38
112,2017-02-26,27,37
113,2017-03-05,43,44
114,2017-03-12,32,36
115,2017-03-19,36,38
116,2017-03-26,24,36
117,2017-04-02,31,38
118,2017-04-09,28,35
119,2017-04-16,25,38
120,2017-04-23,26,45
121,2017-04-30,32,35
122,2017-05-07,31,46
123,2017-05-14,21,39
124,2017-05-21,33,55
125,2017-05-28,26,41
126,2017-06-04,20,38
127,2017-06-11,26,40
128,2017-06-18,26,35
129,2017-06-25,42,25
130,2017-07-02,32,29
131,2017-07-09,29,29
132,2017-07-16,21,27
133,2017-07-23,16,38
134,2017-07-30,23,36
135,2017-08-06,13,32
136,2017-08-13,27,30
137,2017-08-20,19,45
138,2017-08-27,15,49
139,2017-09-03,14,46
140,2017-09-10,12,41
141,2017-09-17,16,55
142,2017-09-24,15,42
143,2017-10-01,12,41
144,2017-10-08,14,33
145,2017-10-15,14,36
146,2017-10-22,15,46
147,2017-10-29,19,42
148,2017-11-05,16,54
149,2017-11-12,15,38
150,2017-11-19,12,31
151,2017-11-26,16,40
152,2017-12-03,15,40
153,2017-12-10,14,46
154,2017-12-17,6,37
155,2017-12-24,19,35
156,2017-12-31,24,33
157,2018-01-07,27,40
158,2018-01-14,24,46
159,2018-01-21,35,47
160,2018-01-28,84,49
161,2018-02-04,27,50
162,2018-02-11,25,44
163,2018-02-18,15,41
164,2018-02-25,21,41
165,2018-03-04,20,45
166,2018-03-11,25,42
167,2018-03-18,21,36
168,2018-03-25,16,50
169,2018-04-01,14,40
170,2018-04-08,15,42
171,2018-04-15,20,37
172,2018-04-22,17,36
173,2018-04-29,19,35
174,2018-05-06,6,31
175,2018-05-13,16,40
176,2018-05-20,10,33
177,2018-05-27,13,35
178,2018-06-03,10,31
179,2018-06-10,20,37
180,2018-06-17,17,36
181,2018-06-24,13,30
182,2018-07-01,19,27
183,2018-07-08,8,34
184,2018-07-15,25,35
185,2018-07-22,20,36
186,2018-07-29,12,37
187,2018-08-05,18,34
188,2018-08-12,13,43
189,2018-08-19,13,43
190,2018-08-26,13,56
191,2018-09-02,15,46
