,date,Coldplay,Alphabet
0,2015-01-04,3,17
1,2015-01-11,10,25
2,2015-01-18,8,25
3,2015-01-25,5,29
4,2015-02-01,7,26
5,2015-02-08,6,24
6,2015-02-15,7,26
7,2015-02-22,5,28
8,2015-03-01,6,28
9,2015-03-08,8,26
10,2015-03-15,7,16
11,2015-03-22,6,19
12,2015-03-29,2,24
13,2015-04-05,3,24
14,2015-04-12,8,19
15,2015-04-19,3,21
16,2015-04-26,11,21
17,2015-05-03,7,24
18,2015-05-10,12,23
19,2015-05-17,6,27
20,2015-05-24,8,24
21,2015-05-31,6,19
22,2015-06-07,12,13
23,2015-06-14,7,14
24,2015-06-21,7,19
25,2015-06-28,7,16
26,2015-07-05,8,20
27,2015-07-12,5,17
28,2015-07-19,2,16
29,2015-07-26,5,14
30,2015-08-02,6,16
31,2015-08-09,8,42
32,2015-08-16,4,21
33,2015-08-23,3,27
34,2015-08-30,5,33
35,2015-09-06,11,31
36,2015-09-13,8,21
37,2015-09-20,6,25
38,2015-09-27,9,31
39,2015-10-04,7,25
40,2015-10-11,5,21
41,2015-10-18,2,27
42,2015-10-25,0,26
43,2015-11-01,9,26
44,2015-11-08,10,26
45,2015-11-15,8,25
46,2015-11-22,12,23
47,2015-11-29,25,28
48,2015-12-06,15,23
49,2015-12-13,14,18
50,2015-12-20,11,20
51,2015-12-27,7,21
52,2016-01-03,7,19
53,2016-01-10,6,23
54,2016-01-17,9,23
55,2016-01-24,16,22
56,2016-01-31,24,27
57,2016-02-07,95,27
58,2016-02-14,12,19
59,2016-02-21,10,23
60,2016-02-28,8,24
61,2016-03-06,9,18
62,2016-03-13,11,22
63,2016-03-20,7,19
64,2016-03-27,9,19
65,2016-04-03,13,14
66,2016-04-10,37,21
67,2016-04-17,19,19
68,2016-04-24,12,19
69,2016-05-01,14,20
70,2016-05-08,8,18
71,2016-05-15,16,20
72,2016-05-22,12,14
73,2016-05-29,10,18
74,2016-06-05,7,19
75,2016-06-12,8,10
76,2016-06-19,9,14
77,2016-06-26,10,17
78,2016-07-03,11,16
79,2016-07-10,13,20
80,2016-07-17,17,22
81,2016-07-24,15,17
82,2016-07-31,11,19
83,2016-08-07,12,22
84,2016-08-14,17,18
85,2016-08-21,28,32
86,2016-08-28,100,26
87,2016-09-04,16,25
88,2016-09-11,6,19
89,2016-09-18,8,20
90,2016-09-25,7,20
91,2016-10-02,8,19
92,2016-10-09,8,25
93,2016-10-16,7,20
94,2016-10-23,3,22
95,2016-10-30,7,20
96,2016-11-06,7,20
97,2016-11-13,8,20
98,2016-11-20,7,18
99,2016-11-27,9,21
100,2016-12-04,8,20
101,2016-12-11,8,18
102,2016-12-18,6,22
103,2016-12-25,6,15
104,2017-01-01,5,20
105,2017-01-08,6,17
106,2017-01-15,9,24
107,2017-01-22,2,18
108,2017-01-29,6,24
109,2017-02-05,8,21
110,2017-02-12,10,22
111,2017-02-19,10,20
112,2017-02-26,9,19
113,2017-03-05,9,23
114,2017-03-12,9,19
115,2017-03-19,5,20
116,2017-03-26,9,19
117,2017-04-02,7,20
118,2017-04-09,7,18
119,2017-04-16,6,20
120,2017-04-23,8,23
121,2017-04-30,6,18
122,2017-05-07,8,24
123,2017-05-14,7,20
124,2017-05-21,7,28
125,2017-05-28,7,21
126,2017-06-04,12,20
127,2017-06-11,12,21
128,2017-06-18,9,18
129,2017-06-25,9,13
130,2017-07-02,7,15
131,2017-07-09,10,15
132,2017-07-16,8,14
133,2017-07-23,2,20
134,2017-07-30,7,19
135,2017-08-06,8,17
136,2017-08-13,9,16
137,2017-08-20,6,23
138,2017-08-27,6,25
139,2017-09-03,9,24
140,2017-09-10,5,22
141,2017-09-17,7,29
142,2017-09-24,10,22
143,2017-10-01,7,21
144,2017-10-08,8,17
145,2017-10-15,5,19
146,2017-10-22,9,24
147,2017-10-29,4,22
148,2017-11-05,5,28
149,2017-11-12,5,20
150,2017-11-19,4,16
151,2017-11-26,3,21
152,2017-12-03,5,21
153,2017-12-10,4,24
154,2017-12-17,3,20
155,2017-12-24,1,18
156,2017-12-31,5,17
157,2018-01-07,3,21
158,2018-01-14,5,24
159,2018-01-21,5,24
160,2018-01-28,4,26
161,2018-02-04,4,26
162,2018-02-11,7,23
163,2018-02-18,4,21
164,2018-02-25,7,22
165,2018-03-04,7,24
166,2018-03-11,3,22
167,2018-03-18,6,19
168,2018-03-25,3,26
169,2018-04-01,5,21
170,2018-04-08,5,22
171,2018-04-15,8,19
172,2018-04-22,3,19
173,2018-04-29,6,18
174,2018-05-06,2,16
175,2018-05-13,5,21
176,2018-05-20,5,17
177,2018-05-27,5,18
178,2018-06-03,1,16
179,2018-06-10,6,19
180,2018-06-17,2,19
181,2018-06-24,2,16
182,2018-07-01,4,14
183,2018-07-08,4,18
184,2018-07-15,1,18
185,2018-07-22,3,19
186,2018-07-29,0,19
187,2018-08-05,1,18
188,2018-08-12,3,23
189,2018-08-19,4,22
190,2018-08-26,5,29
191,2018-09-02,5,24
192,2018-09-09,4,24
193,2018-09-16,4,27
194,2018-09-23,4,25
195,2018-09-30,4,22
196,2018-10-07,7,26
197,2018-10-14,4,22
198,2018-10-21,3,25
199,2018-10-28,3,24
200,2018-11-04,4,19
201,2018-11-11,6,22
202,2018-11-18,4,21
203,2018-11-25,5,25
204,2018-12-02,6,16
205,2018-12-09,5,23
206,2018-12-16,4,22
207,2018-12-23,3,16
208,2018-12-30,1,22
209,2019-01-06,5,23
210,2019-01-13,4,21
211,2019-01-20,4,21
212,2019-01-27,4,21
213,2019-02-03,4,24
214,2019-02-10,3,24
215,2019-02-17,3,18
216,2019-02-24,3,19
217,2019-03-03,3,17
218,2019-03-10,2,14
219,2019-03-17,2,16
220,2019-03-24,4,22
221,2019-03-31,5,22
222,2019-04-07,5,24
223,2019-04-14,7,20
224,2019-04-21,4,23
225,2019-04-28,3,24
226,2019-05-05,4,20
227,2019-05-12,1,21
228,2019-05-19,4,23
229,2019-05-26,2,20
230,2019-06-02,3,16
231,2019-06-09,2,20
232,2019-06-16,5,18
233,2019-06-23,4,18
234,2019-06-30,0,19
235,2019-07-07,4,18
236,2019-07-14,2,14
237,2019-07-21,5,14
238,2019-07-28,4,17
239,2019-08-04,4,14
240,2019-08-11,4,23
241,2019-08-18,1,20
242,2019-08-25,4,25
243,2019-09-01,3,22
244,2019-09-08,2,26
245,2019-09-15,4,27
246,2019-09-22,3,28
247,2019-09-29,3,19
248,2019-10-06,3,22
249,2019-10-13,4,23
250,2019-10-20,8,22
251,2019-10-27,5,25
252,2019-11-03,7,27
253,2019-11-10,5,25
254,2019-11-17,15,24
255,2019-11-24,8,18
256,2019-12-01,2,20
257,2019-12-08,3,20
258,2019-12-15,3,29
259,2019-12-22,2,18
260,2019-12-29,5,20
