,date,Metallica,Alphabet
0,2015-01-04,7,19
1,2015-01-11,3,29
2,2015-01-18,7,29
3,2015-01-25,6,34
4,2015-02-01,8,31
5,2015-02-08,10,28
6,2015-02-15,8,31
7,2015-02-22,8,33
8,2015-03-01,6,33
9,2015-03-08,4,31
10,2015-03-15,5,19
11,2015-03-22,8,22
12,2015-03-29,9,28
13,2015-04-05,4,28
14,2015-04-12,9,22
15,2015-04-19,8,25
16,2015-04-26,13,25
17,2015-05-03,7,29
18,2015-05-10,8,27
19,2015-05-17,6,32
20,2015-05-24,9,28
21,2015-05-31,5,22
22,2015-06-07,5,16
23,2015-06-14,5,17
24,2015-06-21,14,22
25,2015-06-28,0,19
26,2015-07-05,9,24
27,2015-07-12,9,20
28,2015-07-19,5,18
29,2015-07-26,3,17
30,2015-08-02,7,19
31,2015-08-09,7,49
32,2015-08-16,6,25
33,2015-08-23,6,32
34,2015-08-30,8,39
35,2015-09-06,6,37
36,2015-09-13,9,24
37,2015-09-20,5,30
38,2015-09-27,6,37
39,2015-10-04,1,29
40,2015-10-11,9,24
41,2015-10-18,6,32
42,2015-10-25,7,31
43,2015-11-01,6,31
44,2015-11-08,6,31
45,2015-11-15,10,29
46,2015-11-22,5,27
47,2015-11-29,8,33
48,2015-12-06,9,27
49,2015-12-13,2,21
50,2015-12-20,8,23
51,2015-12-27,8,25
52,2016-01-03,10,22
53,2016-01-10,8,27
54,2016-01-17,6,27
55,2016-01-24,8,26
56,2016-01-31,11,32
57,2016-02-07,11,32
58,2016-02-14,8,22
59,2016-02-21,7,27
60,2016-02-28,7,28
61,2016-03-06,6,21
62,2016-03-13,9,26
63,2016-03-20,7,23
64,2016-03-27,10,22
65,2016-04-03,2,16
66,2016-04-10,8,25
67,2016-04-17,9,23
68,2016-04-24,9,23
69,2016-05-01,8,24
70,2016-05-08,7,21
71,2016-05-15,9,24
72,2016-05-22,1,17
73,2016-05-29,12,21
74,2016-06-05,19,22
75,2016-06-12,10,11
76,2016-06-19,9,16
77,2016-06-26,5,20
78,2016-07-03,6,19
79,2016-07-10,8,24
80,2016-07-17,7,26
81,2016-07-24,8,20
82,2016-07-31,13,22
83,2016-08-07,12,26
84,2016-08-14,15,21
85,2016-08-21,17,37
86,2016-08-28,12,31
87,2016-09-04,10,29
88,2016-09-11,12,23
89,2016-09-18,8,23
90,2016-09-25,16,24
91,2016-10-02,9,22
92,2016-10-09,10,30
93,2016-10-16,6,24
94,2016-10-23,9,26
95,2016-10-30,16,23
96,2016-11-06,9,24
97,2016-11-13,29,24
98,2016-11-20,25,21
99,2016-11-27,12,25
100,2016-12-04,17,24
101,2016-12-11,13,21
102,2016-12-18,13,26
103,2016-12-25,13,18
104,2017-01-01,7,24
105,2017-01-08,10,20
106,2017-01-15,11,29
107,2017-01-22,10,22
108,2017-01-29,11,28
109,2017-02-05,12,25
110,2017-02-12,53,26
111,2017-02-19,17,23
112,2017-02-26,11,22
113,2017-03-05,13,27
114,2017-03-12,13,22
115,2017-03-19,13,23
116,2017-03-26,9,22
117,2017-04-02,11,23
118,2017-04-09,11,21
119,2017-04-16,8,23
120,2017-04-23,11,27
121,2017-04-30,12,21
122,2017-05-07,12,29
123,2017-05-14,9,24
124,2017-05-21,10,34
125,2017-05-28,12,25
126,2017-06-04,15,23
127,2017-06-11,11,25
128,2017-06-18,13,22
129,2017-06-25,10,15
130,2017-07-02,7,18
131,2017-07-09,11,18
132,2017-07-16,11,16
133,2017-07-23,13,23
134,2017-07-30,14,22
135,2017-08-06,12,20
136,2017-08-13,11,18
137,2017-08-20,7,27
138,2017-08-27,5,30
139,2017-09-03,5,28
140,2017-09-10,9,25
141,2017-09-17,4,34
142,2017-09-24,7,26
143,2017-10-01,6,25
144,2017-10-08,6,20
145,2017-10-15,6,22
146,2017-10-22,7,28
147,2017-10-29,8,26
148,2017-11-05,10,33
149,2017-11-12,7,23
150,2017-11-19,6,19
151,2017-11-26,6,24
152,2017-12-03,10,25
153,2017-12-10,10,28
154,2017-12-17,9,23
155,2017-12-24,6,22
156,2017-12-31,8,20
157,2018-01-07,8,25
158,2018-01-14,6,28
159,2018-01-21,8,29
