,date,Pink,Alphabet
0,2015-01-04,3,25
1,2015-01-11,7,37
2,2015-01-18,0,38
3,2015-01-25,5,44
4,2015-02-01,6,39
5,2015-02-08,2,36
6,2015-02-15,9,39
7,2015-02-22,7,42
8,2015-03-01,0,42
9,2015-03-08,2,39
10,2015-03-15,7,24
11,2015-03-22,4,28
12,2015-03-29,9,36
13,2015-04-05,6,36
14,2015-04-12,17,28
15,2015-04-19,3,31
16,2015-04-26,9,32
17,2015-05-03,6,37
18,2015-05-10,9,35
19,2015-05-17,8,41
20,2015-05-24,6,35
21,2015-05-31,5,28
22,2015-06-07,11,20
23,2015-06-14,9,22
24,2015-06-21,6,28
25,2015-06-28,7,25
26,2015-07-05,3,31
27,2015-07-12,4,25
28,2015-07-19,6,24
29,2015-07-26,5,21
30,2015-08-02,4,25
31,2015-08-09,5,63
32,2015-08-16,3,31
33,2015-08-23,4,41
34,2015-08-30,6,50
35,2015-09-06,14,47
36,2015-09-13,8,31
37,2015-09-20,0,38
38,2015-09-27,4,47
39,2015-10-04,3,37
40,2015-10-11,4,31
41,2015-10-18,4,41
42,2015-10-25,0,40
43,2015-11-01,3,39
44,2015-11-08,4,40
45,2015-11-15,10,38
46,2015-11-22,6,35
47,2015-11-29,10,43
48,2015-12-06,0,35
49,2015-12-13,3,27
50,2015-12-20,6,30
51,2015-12-27,5,32
52,2016-01-03,5,29
53,2016-01-10,9,34
54,2016-01-17,5,35
55,2016-01-24,4,33
56,2016-01-31,11,41
57,2016-02-07,8,41
58,2016-02-14,8,29
59,2016-02-21,3,34
60,2016-02-28,8,36
61,2016-03-06,8,27
62,2016-03-13,7,33
63,2016-03-20,4,29
64,2016-03-27,4,28
65,2016-04-03,6,21
66,2016-04-10,6,32
67,2016-04-17,5,29
68,2016-04-24,11,29
69,2016-05-01,16,30
70,2016-05-08,12,26
71,2016-05-15,11,30
72,2016-05-22,23,21
73,2016-05-29,17,27
74,2016-06-05,13,28
75,2016-06-12,13,15
76,2016-06-19,9,21
77,2016-06-26,14,26
78,2016-07-03,12,24
79,2016-07-10,10,30
80,2016-07-17,12,33
81,2016-07-24,11,25
82,2016-07-31,12,28
83,2016-08-07,10,33
84,2016-08-14,12,27
85,2016-08-21,7,48
86,2016-08-28,10,39
87,2016-09-04,8,37
88,2016-09-11,4,29
89,2016-09-18,3,30
90,2016-09-25,6,31
91,2016-10-02,12,29
92,2016-10-09,8,38
93,2016-10-16,9,30
94,2016-10-23,8,33
95,2016-10-30,9,30
96,2016-11-06,4,31
97,2016-11-13,6,30
98,2016-11-20,7,26
99,2016-11-27,9,32
100,2016-12-04,6,31
101,2016-12-11,5,27
102,2016-12-18,8,33
103,2016-12-25,12,23
104,2017-01-01,8,30
105,2017-01-08,7,26
106,2017-01-15,9,37
107,2017-01-22,7,28
108,2017-01-29,3,36
109,2017-02-05,5,32
110,2017-02-12,10,33
111,2017-02-19,2,30
112,2017-02-26,7,29
113,2017-03-05,9,35
114,2017-03-12,10,28
115,2017-03-19,4,30
116,2017-03-26,4,28
117,2017-04-02,5,30
118,2017-04-09,8,27
119,2017-04-16,7,30
120,2017-04-23,6,35
121,2017-04-30,5,27
122,2017-05-07,11,36
123,2017-05-14,6,31
124,2017-05-21,2,43
125,2017-05-28,6,32
126,2017-06-04,10,30
127,2017-06-11,4,32
128,2017-06-18,5,28
129,2017-06-25,7,20
130,2017-07-02,0,23
131,2017-07-09,7,23
132,2017-07-16,6,21
133,2017-07-23,4,30
134,2017-07-30,4,28
135,2017-08-06,11,25
136,2017-08-13,10,24
137,2017-08-20,13,35
138,2017-08-27,30,38
139,2017-09-03,9,36
140,2017-09-10,8,32
141,2017-09-17,12,43
142,2017-09-24,11,33
143,2017-10-01,27,32
144,2017-10-08,61,26
145,2017-10-15,37,28
146,2017-10-22,18,36
147,2017-10-29,14,33
148,2017-11-05,22,43
149,2017-11-12,14,30
150,2017-11-19,30,24
151,2017-11-26,11,31
152,2017-12-03,15,32
153,2017-12-10,15,36
154,2017-12-17,11,29
155,2017-12-24,16,28
156,2017-12-31,17,26
157,2018-01-07,4,32
158,2018-01-14,14,36
159,2018-01-21,14,37
160,2018-01-28,32,39
161,2018-02-04,52,39
162,2018-02-11,12,34
163,2018-02-18,24,32
164,2018-02-25,24,33
165,2018-03-04,22,36
166,2018-03-11,10,33
167,2018-03-18,16,29
168,2018-03-25,16,40
169,2018-04-01,16,31
170,2018-04-08,16,33
171,2018-04-15,16,29
172,2018-04-22,23,29
173,2018-04-29,31,28
174,2018-05-06,100,25
175,2018-05-13,20,31
176,2018-05-20,16,26
177,2018-05-27,14,27
178,2018-06-03,15,24
179,2018-06-10,9,29
180,2018-06-17,20,28
181,2018-06-24,11,24
182,2018-07-01,8,21
183,2018-07-08,12,27
184,2018-07-15,11,27
185,2018-07-22,13,29
186,2018-07-29,15,29
187,2018-08-05,11,27
188,2018-08-12,3,34
189,2018-08-19,9,34
190,2018-08-26,6,44
191,2018-09-02,10,36
192,2018-09-09,13,37
193,2018-09-16,7,41
194,2018-09-23,6,38
195,2018-09-30,11,34
196,2018-10-07,9,40
197,2018-10-14,4,33
198,2018-10-21,14,38
199,2018-10-28,8,36
200,2018-11-04,6,29
201,2018-11-11,8,33
202,2018-11-18,13,32
203,2018-11-25,2,38
204,2018-12-02,3,25
205,2018-12-09,7,35
206,2018-12-16,10,34
207,2018-12-23,14,24
208,2018-12-30,10,33
209,2019-01-06,11,35
210,2019-01-13,15,31
211,2019-01-20,13,32
212,2019-01-27,15,31
213,2019-02-03,16,36
214,2019-02-10,18,37
215,2019-02-17,18,27
216,2019-02-24,13,29
217,2019-03-03,26,26
218,2019-03-10,25,22
219,2019-03-17,31,25
220,2019-03-24,34,32
221,2019-03-31,72,34
222,2019-04-07,17,36
223,2019-04-14,14,30
224,2019-04-21,26,35
225,2019-04-28,24,37
226,2019-05-05,14,30
227,2019-05-12,15,31
228,2019-05-19,14,35
229,2019-05-26,21,30
230,2019-06-02,13,25
231,2019-06-09,16,31
232,2019-06-16,24,27
233,2019-06-23,21,27
234,2019-06-30,9,29
235,2019-07-07,12,27
236,2019-07-14,16,21
237,2019-07-21,14,21
238,2019-07-28,14,26
239,2019-08-04,15,22
240,2019-08-11,15,35
241,2019-08-18,9,30
242,2019-08-25,13,38
243,2019-09-01,16,33
244,2019-09-08,14,38
245,2019-09-15,13,41
246,2019-09-22,8,42
247,2019-09-29,13,29
248,2019-10-06,18,33
249,2019-10-13,11,35
250,2019-10-20,11,33
251,2019-10-27,10,38
252,2019-11-03,9,41
253,2019-11-10,22,37
254,2019-11-17,7,36
255,2019-11-24,11,28
256,2019-12-01,20,30
257,2019-12-08,10,31
258,2019-12-15,6,43
259,2019-12-22,5,27
260,2019-12-29,7,29
