,date,The Rolling Stones,Alphabet
0,2015-01-04,21,40
1,2015-01-11,13,59
2,2015-01-18,11,60
3,2015-01-25,11,70
4,2015-02-01,14,63
5,2015-02-08,10,57
6,2015-02-15,6,62
7,2015-02-22,7,67
8,2015-03-01,12,68
9,2015-03-08,19,63
10,2015-03-15,4,39
11,2015-03-22,6,45
12,2015-03-29,26,57
13,2015-04-05,23,57
14,2015-04-12,14,45
15,2015-04-19,18,50
16,2015-04-26,10,51
17,2015-05-03,6,59
18,2015-05-10,15,56
19,2015-05-17,16,66
20,2015-05-24,25,57
21,2015-05-31,13,45
22,2015-06-07,9,32
23,2015-06-14,6,35
24,2015-06-21,8,45
25,2015-06-28,13,40
26,2015-07-05,14,49
27,2015-07-12,9,40
28,2015-07-19,11,38
29,2015-07-26,12,34
30,2015-08-02,0,39
31,2015-08-09,4,100
32,2015-08-16,18,50
33,2015-08-23,13,65
34,2015-08-30,11,80
35,2015-09-06,0,75
36,2015-09-13,15,49
37,2015-09-20,11,61
38,2015-09-27,15,76
39,2015-10-04,9,59
40,2015-10-11,6,50
41,2015-10-18,7,66
42,2015-10-25,10,63
43,2015-11-01,0,63
44,2015-11-08,5,63
45,2015-11-15,10,60
46,2015-11-22,11,56
47,2015-11-29,13,68
48,2015-12-06,0,56
49,2015-12-13,9,43
50,2015-12-20,10,47
51,2015-12-27,9,51
52,2016-01-03,12,45
53,2016-01-10,13,55
54,2016-01-17,10,55
55,2016-01-24,5,53
56,2016-01-31,15,66
57,2016-02-07,10,66
58,2016-02-14,7,46
59,2016-02-21,16,55
60,2016-02-28,5,57
61,2016-03-06,10,43
62,2016-03-13,7,53
63,2016-03-20,12,47
64,2016-03-27,4,44
65,2016-04-03,13,33
66,2016-04-10,9,51
67,2016-04-17,0,47
68,2016-04-24,9,46
69,2016-05-01,18,48
70,2016-05-08,14,42
71,2016-05-15,18,49
72,2016-05-22,12,34
73,2016-05-29,9,43
74,2016-06-05,16,45
75,2016-06-12,11,23
76,2016-06-19,6,33
77,2016-06-26,8,41
78,2016-07-03,0,38
79,2016-07-10,8,48
80,2016-07-17,6,53
81,2016-07-24,18,40
82,2016-07-31,9,45
83,2016-08-07,8,53
84,2016-08-14,5,43
85,2016-08-21,9,76
86,2016-08-28,7,63
87,2016-09-04,7,60
88,2016-09-11,9,46
89,2016-09-18,8,48
90,2016-09-25,12,49
91,2016-10-02,13,46
92,2016-10-09,13,61
93,2016-10-16,23,49
94,2016-10-23,9,52
95,2016-10-30,11,47
96,2016-11-06,11,49
97,2016-11-13,11,49
98,2016-11-20,8,42
99,2016-11-27,11,50
100,2016-12-04,18,49
101,2016-12-11,11,42
102,2016-12-18,13,53
103,2016-12-25,13,36
104,2017-01-01,0,49
105,2017-01-08,10,41
106,2017-01-15,6,59
107,2017-01-22,8,44
108,2017-01-29,10,57
109,2017-02-05,7,50
110,2017-02-12,13,52
111,2017-02-19,9,48
112,2017-02-26,7,46
113,2017-03-05,8,55
114,2017-03-12,5,45
115,2017-03-19,8,47
116,2017-03-26,6,45
117,2017-04-02,3,48
118,2017-04-09,14,43
119,2017-04-16,11,47
120,2017-04-23,7,56
121,2017-04-30,8,43
122,2017-05-07,20,58
123,2017-05-14,15,49
124,2017-05-21,8,68
125,2017-05-28,15,51
126,2017-06-04,10,47
127,2017-06-11,9,51
128,2017-06-18,8,44
129,2017-06-25,13,32
130,2017-07-02,12,36
131,2017-07-09,6,36
132,2017-07-16,9,33
133,2017-07-23,14,48
