,date,Bruno Mars,Alphabet
0,2015-01-04,21,20
1,2015-01-11,25,18
2,2015-01-18,24,16
3,2015-01-25,24,16
4,2015-02-01,24,19
5,2015-02-08,20,16
6,2015-02-15,19,16
7,2015-02-22,22,17
8,2015-03-01,21,17
9,2015-03-08,18,18
10,2015-03-15,17,17
11,2015-03-22,16,16
12,2015-03-29,19,16
13,2015-04-05,17,17
14,2015-04-12,17,16
15,2015-04-19,16,18
16,2015-04-26,16,16
17,2015-05-03,16,16
18,2015-05-10,18,16
19,2015-05-17,16,16
20,2015-05-24,15,18
21,2015-05-31,16,19
22,2015-06-07,18,15
23,2015-06-14,14,15
24,2015-06-21,11,17
25,2015-06-28,6,20
26,2015-07-05,7,25
27,2015-07-12,8,21
28,2015-07-19,12,23
29,2015-07-26,8,20
30,2015-08-02,8,21
31,2015-08-09,6,55
32,2015-08-16,8,28
33,2015-08-23,8,32
34,2015-08-30,10,39
35,2015-09-06,9,35
36,2015-09-13,6,38
37,2015-09-20,9,35
38,2015-09-27,6,32
39,2015-10-04,9,37
40,2015-10-11,10,31
41,2015-10-18,6,34
42,2015-10-25,5,32
43,2015-11-01,6,31
44,2015-11-08,9,28
45,2015-11-15,6,31
46,2015-11-22,7,23
47,2015-11-29,6,31
48,2015-12-06,6,31
49,2015-12-13,6,26
50,2015-12-20,8,21
51,2015-12-27,9,18
52,2016-01-03,9,25
53,2016-01-10,8,25
54,2016-01-17,6,26
55,2016-01-24,7,23
56,2016-01-31,9,34
57,2016-02-07,74,27
58,2016-02-14,23,29
59,2016-02-21,11,32
60,2016-02-28,7,25
61,2016-03-06,6,22
62,2016-03-13,6,25
63,2016-03-20,6,28
64,2016-03-27,6,25
65,2016-04-03,6,25
66,2016-04-10,5,29
67,2016-04-17,6,26
68,2016-04-24,7,26
69,2016-05-01,5,23
70,2016-05-08,5,23
71,2016-05-15,11,25
72,2016-05-22,9,24
73,2016-05-29,8,23
74,2016-06-05,7,24
75,2016-06-12,5,23
76,2016-06-19,4,21
77,2016-06-26,5,19
78,2016-07-03,5,18
79,2016-07-10,4,18
80,2016-07-17,5,20
81,2016-07-24,4,24
82,2016-07-31,6,25
83,2016-08-07,7,22
84,2016-08-14,6,21
85,2016-08-21,5,29
86,2016-08-28,4,33
87,2016-09-04,7,31
88,2016-09-11,3,34
89,2016-09-18,4,30
90,2016-09-25,5,31
91,2016-10-02,13,29
92,2016-10-09,19,22
93,2016-10-16,26,25
94,2016-10-23,19,26
95,2016-10-30,15,25
96,2016-11-06,15,23
97,2016-11-13,29,27
98,2016-11-20,50,23
99,2016-11-27,20,24
100,2016-12-04,27,24
101,2016-12-11,46,31
102,2016-12-18,27,21
103,2016-12-25,27,22
104,2017-01-01,20,25
105,2017-01-08,17,24
106,2017-01-15,14,25
107,2017-01-22,13,27
108,2017-01-29,16,23
109,2017-02-05,19,26
110,2017-02-12,100,29
111,2017-02-19,29,27
112,2017-02-26,31,30
113,2017-03-05,30,25
114,2017-03-12,29,27
115,2017-03-19,27,27
116,2017-03-26,26,27
117,2017-04-02,25,25
118,2017-04-09,24,25
119,2017-04-16,23,24
120,2017-04-23,25,25
121,2017-04-30,24,26
122,2017-05-07,21,27
123,2017-05-14,24,30
124,2017-05-21,30,27
125,2017-05-28,27,27
126,2017-06-04,24,22
127,2017-06-11,28,25
128,2017-06-18,21,23
129,2017-06-25,58,22
130,2017-07-02,24,19
131,2017-07-09,20,23
132,2017-07-16,22,22
133,2017-07-23,22,20
134,2017-07-30,20,20
135,2017-08-06,22,24
136,2017-08-13,29,24
137,2017-08-20,22,24
138,2017-08-27,20,28
139,2017-09-03,17,31
140,2017-09-10,15,32
141,2017-09-17,16,37
142,2017-09-24,32,31
143,2017-10-01,24,34
144,2017-10-08,23,31
145,2017-10-15,19,28
146,2017-10-22,13,31
147,2017-10-29,10,29
148,2017-11-05,11,28
149,2017-11-12,12,28
150,2017-11-19,11,23
151,2017-11-26,23,26
152,2017-12-03,18,28
153,2017-12-10,13,27
154,2017-12-17,21,25
155,2017-12-24,13,24
156,2017-12-31,36,23
157,2018-01-07,26,25
158,2018-01-14,21,27
159,2018-01-21,27,34
160,2018-01-28,79,34
161,2018-02-04,31,32
162,2018-02-11,24,31
163,2018-02-18,19,29
164,2018-02-25,15,32
165,2018-03-04,19,28
166,2018-03-11,26,27
167,2018-03-18,19,27
168,2018-03-25,20,27
169,2018-04-01,14,26
170,2018-04-08,14,30
171,2018-04-15,12,30
172,2018-04-22,15,27
173,2018-04-29,13,25
