,date,U2,Alphabet
0,2015-01-04,9,36
1,2015-01-11,11,32
2,2015-01-18,9,29
3,2015-01-25,8,30
4,2015-02-01,9,34
5,2015-02-08,8,29
6,2015-02-15,6,30
7,2015-02-22,7,32
8,2015-03-01,10,31
9,2015-03-08,11,33
10,2015-03-15,6,31
11,2015-03-22,7,29
12,2015-03-29,8,30
13,2015-04-05,6,31
14,2015-04-12,7,29
15,2015-04-19,9,33
16,2015-04-26,9,29
17,2015-05-03,11,29
18,2015-05-10,15,28
19,2015-05-17,9,30
20,2015-05-24,18,33
21,2015-05-31,11,34
22,2015-06-07,11,26
23,2015-06-14,9,27
24,2015-06-21,10,30
25,2015-06-28,18,37
26,2015-07-05,16,45
27,2015-07-12,24,39
28,2015-07-19,19,41
29,2015-07-26,17,37
30,2015-08-02,13,39
31,2015-08-09,8,100
32,2015-08-16,8,51
33,2015-08-23,9,58
34,2015-08-30,12,71
35,2015-09-06,10,64
36,2015-09-13,9,70
37,2015-09-20,8,64
38,2015-09-27,10,59
39,2015-10-04,12,67
40,2015-10-11,10,56
41,2015-10-18,8,62
42,2015-10-25,10,59
43,2015-11-01,9,57
44,2015-11-08,12,52
45,2015-11-15,11,56
46,2015-11-22,9,42
47,2015-11-29,8,56
48,2015-12-06,23,56
49,2015-12-13,13,48
50,2015-12-20,16,38
51,2015-12-27,13,33
52,2016-01-03,4,46
53,2016-01-10,8,45
54,2016-01-17,6,48
55,2016-01-24,7,42
56,2016-01-31,8,63
57,2016-02-07,9,50
58,2016-02-14,11,53
59,2016-02-21,6,58
60,2016-02-28,10,46
61,2016-03-06,8,40
62,2016-03-13,11,45
63,2016-03-20,4,51
64,2016-03-27,7,45
65,2016-04-03,8,45
66,2016-04-10,8,53
67,2016-04-17,3,47
68,2016-04-24,5,47
69,2016-05-01,11,42
70,2016-05-08,8,43
71,2016-05-15,11,45
72,2016-05-22,9,44
73,2016-05-29,6,42
74,2016-06-05,6,43
75,2016-06-12,6,42
76,2016-06-19,11,39
77,2016-06-26,6,34
78,2016-07-03,8,32
79,2016-07-10,5,32
80,2016-07-17,5,36
81,2016-07-24,12,44
82,2016-07-31,9,46
83,2016-08-07,8,40
84,2016-08-14,8,39
85,2016-08-21,10,53
86,2016-08-28,13,60
87,2016-09-04,14,57
88,2016-09-11,7,61
89,2016-09-18,14,54
90,2016-09-25,9,56
91,2016-10-02,8,52
92,2016-10-09,9,41
93,2016-10-16,6,45
94,2016-10-23,6,48
95,2016-10-30,5,45
96,2016-11-06,7,42
97,2016-11-13,10,49
98,2016-11-20,6,42
99,2016-11-27,5,44
100,2016-12-04,9,44
101,2016-12-11,8,56
102,2016-12-18,7,38
103,2016-12-25,12,41
104,2017-01-01,8,45
105,2017-01-08,79,44
106,2017-01-15,45,46
107,2017-01-22,14,49
108,2017-01-29,15,42
109,2017-02-05,11,47
110,2017-02-12,14,53
111,2017-02-19,12,48
112,2017-02-26,10,54
113,2017-03-05,11,45
114,2017-03-12,15,49
115,2017-03-19,13,49
116,2017-03-26,14,50
117,2017-04-02,10,46
118,2017-04-09,14,45
119,2017-04-16,15,44
120,2017-04-23,14,46
121,2017-04-30,13,48
122,2017-05-07,19,48
123,2017-05-14,21,54
124,2017-05-21,25,49
125,2017-05-28,20,48
126,2017-06-04,31,41
127,2017-06-11,35,46
128,2017-06-18,88,42
129,2017-06-25,22,41
130,2017-07-02,13,35
131,2017-07-09,13,42
132,2017-07-16,11,41
133,2017-07-23,13,37
134,2017-07-30,13,36
135,2017-08-06,16,43
136,2017-08-13,11,44
137,2017-08-20,10,43
138,2017-08-27,12,51
139,2017-09-03,16,57
140,2017-09-10,16,59
141,2017-09-17,12,68
142,2017-09-24,9,57
143,2017-10-01,12,62
144,2017-10-08,12,57
145,2017-10-15,10,51
146,2017-10-22,10,56
