,date,Bruno Mars,Alphabet
0,2015-01-04,0,20
1,2015-01-11,27,40
2,2015-01-18,19,29
3,2015-01-25,37,46
4,2015-02-01,35,26
5,2015-02-08,31,22
6,2015-02-15,25,30
7,2015-02-22,9,32
8,2015-03-01,0,16
9,2015-03-08,24,35
10,2015-03-15,28,23
11,2015-03-22,0,10
12,2015-03-29,0,34
13,2015-04-05,15,17
14,2015-04-12,0,33
15,2015-04-19,0,33
16,2015-04-26,36,12
17,2015-05-03,0,0
18,2015-05-10,33,38
19,2015-05-17,0,22
20,2015-05-24,0,53
21,2015-05-31,0,27
22,2015-06-07,14,0
23,2015-06-14,0,17
24,2015-06-21,0,28
25,2015-06-28,0,56
26,2015-07-05,0,30
27,2015-07-12,18,27
28,2015-07-19,0,19
29,2015-07-26,0,55
30,2015-08-02,13,26
31,2015-08-09,0,13
32,2015-08-16,0,14
33,2015-08-23,44,33
34,2015-08-30,0,30
35,2015-09-06,16,85
36,2015-09-13,0,64
37,2015-09-20,0,33
38,2015-09-27,0,13
39,2015-10-04,26,31
40,2015-10-11,0,51
41,2015-10-18,27,62
42,2015-10-25,13,47
43,2015-11-01,19,38
44,2015-11-08,18,51
45,2015-11-15,0,45
46,2015-11-22,0,25
47,2015-11-29,16,0
48,2015-12-06,13,15
49,2015-12-13,26,42
50,2015-12-20,23,26
51,2015-12-27,0,10
52,2016-01-03,0,40
53,2016-01-10,0,34
54,2016-01-17,0,37
55,2016-01-24,0,22
56,2016-01-31,48,31
57,2016-02-07,53,48
58,2016-02-14,29,14
59,2016-02-21,8,32
60,2016-02-28,0,19
61,2016-03-06,0,28
62,2016-03-13,0,0
63,2016-03-20,20,28
64,2016-03-27,0,25
65,2016-04-03,0,47
66,2016-04-10,0,22
67,2016-04-17,21,27
68,2016-04-24,10,16
69,2016-05-01,13,31
70,2016-05-08,10,38
71,2016-05-15,0,33
72,2016-05-22,30,62
73,2016-05-29,35,77
74,2016-06-05,0,27
75,2016-06-12,0,39
76,2016-06-19,0,28
77,2016-06-26,13,10
78,2016-07-03,0,25
79,2016-07-10,0,22
80,2016-07-17,0,20
81,2016-07-24,13,13
82,2016-07-31,11,33
83,2016-08-07,9,20
84,2016-08-14,15,29
85,2016-08-21,0,13
86,2016-08-28,0,24
87,2016-09-04,11,26
88,2016-09-11,19,39
89,2016-09-18,0,21
90,2016-09-25,0,22
91,2016-10-02,13,30
92,2016-10-09,20,44
93,2016-10-16,51,50
94,2016-10-23,10,21
95,2016-10-30,9,28
96,2016-11-06,8,32
97,2016-11-13,18,26
98,2016-11-20,31,11
99,2016-11-27,22,25
100,2016-12-04,20,54
101,2016-12-11,39,42
102,2016-12-18,61,37
103,2016-12-25,39,24
104,2017-01-01,0,0
105,2017-01-08,25,51
106,2017-01-15,0,35
107,2017-01-22,7,0
108,2017-01-29,18,34
109,2017-02-05,24,40
110,2017-02-12,100,34
111,2017-02-19,18,35
112,2017-02-26,29,37
113,2017-03-05,47,23
114,2017-03-12,20,24
115,2017-03-19,40,16
116,2017-03-26,14,35
117,2017-04-02,0,15
118,2017-04-09,22,45
119,2017-04-16,19,27
120,2017-04-23,14,38
121,2017-04-30,27,32
122,2017-05-07,12,23
123,2017-05-14,33,10
124,2017-05-21,31,32
125,2017-05-28,19,10
126,2017-06-04,30,43
127,2017-06-11,0,49
128,2017-06-18,0,30
129,2017-06-25,18,13
130,2017-07-02,0,15
131,2017-07-09,23,9
132,2017-07-16,9,27
133,2017-07-23,0,0
134,2017-07-30,21,13
135,2017-08-06,0,17
136,2017-08-13,0,22
137,2017-08-20,0,21
138,2017-08-27,0,35
139,2017-09-03,28,32
140,2017-09-10,0,33
141,2017-09-17,0,60
142,2017-09-24,25,22
143,2017-10-01,25,30
144,2017-10-08,32,38
145,2017-10-15,0,19
146,2017-10-22,11,33
147,2017-10-29,11,24
148,2017-11-05,12,32
149,2017-11-12,0,32
150,2017-11-19,8,50
151,2017-11-26,28,53
152,2017-12-03,0,25
153,2017-12-10,0,30
154,2017-12-17,0,25
155,2017-12-24,20,36
156,2017-12-31,21,32
157,2018-01-07,35,24
158,2018-01-14,23,20
159,2018-01-21,33,26
160,2018-01-28,76,45
161,2018-02-04,34,36
162,2018-02-11,26,29
163,2018-02-18,24,74
164,2018-02-25,13,25
165,2018-03-04,0,42
166,2018-03-11,18,33
167,2018-03-18,29,33
168,2018-03-25,0,15
169,2018-04-01,19,33
170,2018-04-08,0,28
171,2018-04-15,16,26
172,2018-04-22,16,26
173,2018-04-29,8,31
174,2018-05-06,9,35
175,2018-05-13,25,28
176,2018-05-20,0,34
177,2018-05-27,9,22
178,2018-06-03,10,32
179,2018-06-10,0,27
180,2018-06-17,16,17
181,2018-06-24,8,26
182,2018-07-01,0,35
183,2018-07-08,30,19
184,2018-07-15,15,28
185,2018-07-22,0,73
186,2018-07-29,0,24
187,2018-08-05,10,14
188,2018-08-12,10,32
189,2018-08-19,0,38
190,2018-08-26,12,23
191,2018-09-02,20,43
192,2018-09-09,12,34
193,2018-09-16,7,29
194,2018-09-23,28,39
195,2018-09-30,15,46
196,2018-10-07,0,39
197,2018-10-14,0,37
198,2018-10-21,19,46
199,2018-10-28,8,43
200,2018-11-04,0,22
201,2018-11-11,0,36
202,2018-11-18,11,32
203,2018-11-25,15,54
204,2018-12-02,16,35
205,2018-12-09,12,41
206,2018-12-16,30,23
207,2018-12-23,0,17
208,2018-12-30,12,26
209,2019-01-06,0,19
210,2019-01-13,9,38
211,2019-01-20,28,40
212,2019-01-27,0,49
213,2019-02-03,13,44
214,2019-02-10,9,27
215,2019-02-17,25,0
216,2019-02-24,11,36
217,2019-03-03,12,25
218,2019-03-10,0,39
219,2019-03-17,11,31
220,2019-03-24,17,53
221,2019-03-31,14,44
222,2019-04-07,0,13
223,2019-04-14,14,73
224,2019-04-21,11,20
225,2019-04-28,20,13
226,2019-05-05,0,8
227,2019-05-12,0,33
228,2019-05-19,10,37
229,2019-05-26,16,14
230,2019-06-02,8,74
231,2019-06-09,7,23
232,2019-06-16,13,17
233,2019-06-23,20,9
234,2019-06-30,19,19
235,2019-07-07,0,19
236,2019-07-14,23,13
237,2019-07-21,0,19
238,2019-07-28,0,38
239,2019-08-04,0,25
240,2019-08-11,0,27
241,2019-08-18,11,31
242,2019-08-25,0,35
243,2019-09-01,14,24
244,2019-09-08,0,52
245,2019-09-15,0,27
246,2019-09-22,0,36
247,2019-09-29,0,33
248,2019-10-06,0,31
249,2019-10-13,7,50
250,2019-10-20,15,31
251,2019-10-27,0,40
252,2019-11-03,18,40
253,2019-11-10,18,43
254,2019-11-17,7,41
255,2019-11-24,0,0
256,2019-12-01,0,32
257,2019-12-08,10,28
258,2019-12-15,35,10
259,2019-12-22,0,38
260,2019-12-29,0,26
