,date,Coldplay,Alphabet
0,2015-01-04,0,16
1,2015-01-11,9,31
2,2015-01-18,0,23
3,2015-01-25,0,36
4,2015-02-01,0,21
5,2015-02-08,16,17
6,2015-02-15,17,23
7,2015-02-22,7,25
8,2015-03-01,10,13
9,2015-03-08,8,27
10,2015-03-15,10,18
11,2015-03-22,0,7
12,2015-03-29,0,27
13,2015-04-05,11,13
14,2015-04-12,0,25
15,2015-04-19,0,26
16,2015-04-26,10,9
17,2015-05-03,0,0
18,2015-05-10,8,30
19,2015-05-17,0,17
20,2015-05-24,0,41
21,2015-05-31,14,21
22,2015-06-07,0,0
23,2015-06-14,18,13
24,2015-06-21,0,22
25,2015-06-28,0,44
26,2015-07-05,0,23
27,2015-07-12,15,21
28,2015-07-19,0,15
29,2015-07-26,34,43
30,2015-08-02,17,20
31,2015-08-09,0,10
32,2015-08-16,0,11
33,2015-08-23,41,25
34,2015-08-30,0,23
35,2015-09-06,0,66
36,2015-09-13,18,50
37,2015-09-20,20,26
38,2015-09-27,0,11
39,2015-10-04,10,24
40,2015-10-11,0,40
41,2015-10-18,9,48
42,2015-10-25,0,37
43,2015-11-01,0,30
44,2015-11-08,22,40
45,2015-11-15,12,36
46,2015-11-22,12,20
47,2015-11-29,39,0
48,2015-12-06,30,11
49,2015-12-13,34,33
50,2015-12-20,0,20
51,2015-12-27,16,8
52,2016-01-03,0,31
53,2016-01-10,22,26
54,2016-01-17,0,29
55,2016-01-24,20,17
56,2016-01-31,19,24
57,2016-02-07,100,38
58,2016-02-14,10,11
59,2016-02-21,0,25
60,2016-02-28,16,15
61,2016-03-06,7,22
62,2016-03-13,11,0
63,2016-03-20,0,22
64,2016-03-27,0,20
65,2016-04-03,12,37
66,2016-04-10,12,18
67,2016-04-17,0,21
68,2016-04-24,7,13
69,2016-05-01,0,24
70,2016-05-08,6,29
71,2016-05-15,12,26
72,2016-05-22,13,48
73,2016-05-29,10,60
74,2016-06-05,20,21
75,2016-06-12,8,30
76,2016-06-19,0,22
77,2016-06-26,12,7
78,2016-07-03,21,19
79,2016-07-10,0,17
80,2016-07-17,0,16
81,2016-07-24,9,10
82,2016-07-31,21,26
83,2016-08-07,14,16
84,2016-08-14,11,23
85,2016-08-21,17,10
86,2016-08-28,16,19
87,2016-09-04,0,21
88,2016-09-11,0,31
89,2016-09-18,16,16
90,2016-09-25,0,18
91,2016-10-02,0,23
92,2016-10-09,0,35
93,2016-10-16,7,39
94,2016-10-23,0,17
95,2016-10-30,17,22
96,2016-11-06,11,25
97,2016-11-13,0,20
98,2016-11-20,0,8
99,2016-11-27,12,20
100,2016-12-04,0,42
101,2016-12-11,11,33
102,2016-12-18,6,29
103,2016-12-25,10,19
104,2017-01-01,7,0
105,2017-01-08,15,40
106,2017-01-15,7,27
107,2017-01-22,21,0
108,2017-01-29,0,27
109,2017-02-05,6,31
110,2017-02-12,0,27
111,2017-02-19,14,28
112,2017-02-26,0,29
113,2017-03-05,19,18
114,2017-03-12,8,19
115,2017-03-19,6,13
116,2017-03-26,0,27
117,2017-04-02,28,11
118,2017-04-09,0,35
119,2017-04-16,9,21
120,2017-04-23,14,29
121,2017-04-30,6,25
122,2017-05-07,0,18
123,2017-05-14,0,8
124,2017-05-21,16,25
125,2017-05-28,11,8
126,2017-06-04,14,34
127,2017-06-11,0,38
128,2017-06-18,19,23
129,2017-06-25,0,10
130,2017-07-02,0,11
131,2017-07-09,0,7
132,2017-07-16,9,21
133,2017-07-23,20,0
134,2017-07-30,13,10
135,2017-08-06,11,14
136,2017-08-13,0,17
137,2017-08-20,0,16
138,2017-08-27,0,28
139,2017-09-03,0,25
140,2017-09-10,0,26
141,2017-09-17,11,47
142,2017-09-24,7,17
143,2017-10-01,16,23
144,2017-10-08,0,30
145,2017-10-15,0,15
146,2017-10-22,0,26
147,2017-10-29,6,19
148,2017-11-05,0,25
149,2017-11-12,0,25
150,2017-11-19,0,39
151,2017-11-26,5,41
152,2017-12-03,16,19
153,2017-12-10,5,23
154,2017-12-17,9,19
155,2017-12-24,9,28
