,date,Metallica,Alphabet
0,2015-01-04,0,21
1,2015-01-11,38,41
2,2015-01-18,0,30
3,2015-01-25,15,47
4,2015-02-01,10,27
5,2015-02-08,27,23
6,2015-02-15,18,30
7,2015-02-22,14,33
8,2015-03-01,13,16
9,2015-03-08,0,36
10,2015-03-15,0,24
11,2015-03-22,19,10
12,2015-03-29,0,35
13,2015-04-05,0,17
14,2015-04-12,9,33
15,2015-04-19,0,34
16,2015-04-26,10,12
17,2015-05-03,0,0
18,2015-05-10,9,39
19,2015-05-17,23,22
20,2015-05-24,0,54
21,2015-05-31,0,28
22,2015-06-07,15,0
23,2015-06-14,0,17
24,2015-06-21,21,28
25,2015-06-28,0,57
26,2015-07-05,0,30
27,2015-07-12,18,28
28,2015-07-19,0,20
29,2015-07-26,0,56
30,2015-08-02,0,27
31,2015-08-09,0,13
32,2015-08-16,38,14
33,2015-08-23,14,33
34,2015-08-30,0,31
35,2015-09-06,19,87
36,2015-09-13,0,66
37,2015-09-20,0,34
38,2015-09-27,12,14
39,2015-10-04,21,31
40,2015-10-11,14,52
41,2015-10-18,16,63
42,2015-10-25,13,48
43,2015-11-01,24,39
44,2015-11-08,0,53
45,2015-11-15,22,47
46,2015-11-22,12,26
47,2015-11-29,14,0
48,2015-12-06,0,15
49,2015-12-13,0,43
50,2015-12-20,0,27
51,2015-12-27,0,10
52,2016-01-03,21,41
53,2016-01-10,0,34
54,2016-01-17,20,37
55,2016-01-24,19,23
56,2016-01-31,0,31
57,2016-02-07,38,49
58,2016-02-14,13,14
59,2016-02-21,14,33
60,2016-02-28,0,20
61,2016-03-06,0,28
62,2016-03-13,11,0
63,2016-03-20,36,29
64,2016-03-27,11,26
65,2016-04-03,10,48
66,2016-04-10,34,23
67,2016-04-17,10,28
68,2016-04-24,16,17
69,2016-05-01,12,32
70,2016-05-08,0,38
71,2016-05-15,13,34
72,2016-05-22,11,63
73,2016-05-29,0,79
74,2016-06-05,26,27
75,2016-06-12,0,40
76,2016-06-19,0,29
77,2016-06-26,12,10
78,2016-07-03,16,25
79,2016-07-10,21,22
80,2016-07-17,37,20
81,2016-07-24,0,14
82,2016-07-31,25,33
83,2016-08-07,0,21
84,2016-08-14,27,30
85,2016-08-21,28,13
86,2016-08-28,9,25
87,2016-09-04,0,27
