,date,U2,Alphabet
0,2015-01-04,24,24
1,2015-01-11,14,47
2,2015-01-18,36,34
3,2015-01-25,0,54
4,2015-02-01,22,31
5,2015-02-08,0,26
6,2015-02-15,18,35
7,2015-02-22,21,38
8,2015-03-01,25,19
9,2015-03-08,0,41
10,2015-03-15,15,27
11,2015-03-22,18,11
12,2015-03-29,0,40
13,2015-04-05,0,20
14,2015-04-12,10,38
15,2015-04-19,0,39
16,2015-04-26,18,14
17,2015-05-03,18,0
18,2015-05-10,21,44
19,2015-05-17,17,25
20,2015-05-24,53,62
21,2015-05-31,0,32
22,2015-06-07,0,0
23,2015-06-14,40,20
24,2015-06-21,0,33
25,2015-06-28,33,66
26,2015-07-05,0,35
27,2015-07-12,27,32
28,2015-07-19,29,22
29,2015-07-26,31,65
30,2015-08-02,0,30
31,2015-08-09,13,15
32,2015-08-16,0,16
33,2015-08-23,0,38
34,2015-08-30,35,35
35,2015-09-06,0,100
36,2015-09-13,0,76
37,2015-09-20,0,39
38,2015-09-27,0,16
39,2015-10-04,13,36
40,2015-10-11,0,59
41,2015-10-18,0,73
42,2015-10-25,0,55
43,2015-11-01,0,45
44,2015-11-08,16,60
45,2015-11-15,13,53
46,2015-11-22,0,29
47,2015-11-29,0,0
48,2015-12-06,35,17
49,2015-12-13,29,49
50,2015-12-20,37,31
51,2015-12-27,0,12
52,2016-01-03,19,47
53,2016-01-10,0,40
54,2016-01-17,16,43
55,2016-01-24,0,26
56,2016-01-31,11,36
57,2016-02-07,0,56
58,2016-02-14,12,16
59,2016-02-21,37,38
60,2016-02-28,0,23
61,2016-03-06,0,32
62,2016-03-13,10,0
63,2016-03-20,9,33
64,2016-03-27,14,30
65,2016-04-03,9,55
66,2016-04-10,22,26
67,2016-04-17,0,32
68,2016-04-24,26,19
69,2016-05-01,12,37
70,2016-05-08,0,44
71,2016-05-15,17,39
72,2016-05-22,28,72
73,2016-05-29,38,90
74,2016-06-05,26,31
75,2016-06-12,15,46
76,2016-06-19,16,33
77,2016-06-26,11,11
78,2016-07-03,0,29
79,2016-07-10,0,26
80,2016-07-17,16,23
81,2016-07-24,12,16
82,2016-07-31,0,38
83,2016-08-07,12,24
84,2016-08-14,0,34
85,2016-08-21,0,15
86,2016-08-28,0,28
87,2016-09-04,0,31
88,2016-09-11,0,46
89,2016-09-18,51,24
90,2016-09-25,0,26
91,2016-10-02,25,35
92,2016-10-09,0,52
93,2016-10-16,0,58
94,2016-10-23,0,25
95,2016-10-30,9,33
96,2016-11-06,0,37
97,2016-11-13,0,31
98,2016-11-20,0,13
99,2016-11-27,0,29
100,2016-12-04,12,63
101,2016-12-11,0,50
102,2016-12-18,13,43
103,2016-12-25,13,29
104,2017-01-01,32,0
105,2017-01-08,61,60
106,2017-01-15,43,41
107,2017-01-22,9,0
108,2017-01-29,20,40
109,2017-02-05,33,47
110,2017-02-12,9,40
111,2017-02-19,56,42
112,2017-02-26,38,44
113,2017-03-05,17,27
114,2017-03-12,13,28
115,2017-03-19,8,19
116,2017-03-26,0,41
117,2017-04-02,33,17
118,2017-04-09,20,53
119,2017-04-16,18,32
120,2017-04-23,0,44
121,2017-04-30,0,37
122,2017-05-07,0,27
123,2017-05-14,44,12
124,2017-05-21,13,38
125,2017-05-28,16,11
126,2017-06-04,0,50
127,2017-06-11,21,57
128,2017-06-18,0,35
129,2017-06-25,0,15
130,2017-07-02,0,17
131,2017-07-09,17,11
132,2017-07-16,21,32
133,2017-07-23,0,0
134,2017-07-30,12,15
135,2017-08-06,0,21
136,2017-08-13,0,26
137,2017-08-20,27,24
138,2017-08-27,13,42
139,2017-09-03,14,38
140,2017-09-10,20,39
141,2017-09-17,17,70
142,2017-09-24,0,26
143,2017-10-01,10,35
144,2017-10-08,13,45
145,2017-10-15,0,23
146,2017-10-22,0,39
147,2017-10-29,17,28
148,2017-11-05,0,38
149,2017-11-12,0,38
150,2017-11-19,9,59
151,2017-11-26,10,62
152,2017-12-03,21,29
153,2017-12-10,27,35
154,2017-12-17,0,29
155,2017-12-24,16,42
156,2017-12-31,26,38
157,2018-01-07,10,28
158,2018-01-14,9,23
159,2018-01-21,15,30
160,2018-01-28,23,53
161,2018-02-04,11,43
162,2018-02-11,22,34
163,2018-02-18,21,87
164,2018-02-25,21,29
165,2018-03-04,18,49
166,2018-03-11,0,38
167,2018-03-18,0,38
168,2018-03-25,17,18
169,2018-04-01,0,38
170,2018-04-08,0,33
171,2018-04-15,0,31
172,2018-04-22,24,30
173,2018-04-29,25,36
174,2018-05-06,21,41
175,2018-05-13,28,33
176,2018-05-20,15,40
177,2018-05-27,12,26
178,2018-06-03,0,37
179,2018-06-10,26,32
180,2018-06-17,0,20
181,2018-06-24,0,31
182,2018-07-01,17,41
183,2018-07-08,0,22
184,2018-07-15,0,33
185,2018-07-22,0,86
186,2018-07-29,12,28
187,2018-08-05,0,17
188,2018-08-12,0,38
189,2018-08-19,19,44
190,2018-08-26,31,27
191,2018-09-02,14,50
192,2018-09-09,16,39
193,2018-09-16,0,35
194,2018-09-23,16,46
195,2018-09-30,0,54
196,2018-10-07,0,46
197,2018-10-14,0,43
198,2018-10-21,13,54
199,2018-10-28,0,50
200,2018-11-04,14,26
201,2018-11-11,0,42
202,2018-11-18,0,37
203,2018-11-25,0,64
204,2018-12-02,0,42
205,2018-12-09,0,49
206,2018-12-16,0,27
207,2018-12-23,0,20
208,2018-12-30,14,31
209,2019-01-06,14,22
210,2019-01-13,0,45
211,2019-01-20,11,47
212,2019-01-27,0,57
213,2019-02-03,0,52
214,2019-02-10,0,32
215,2019-02-17,22,0
