,date,Guns N' Roses,Alphabet
0,2015-01-04,3,24
1,2015-01-11,3,23
2,2015-01-18,4,19
3,2015-01-25,3,21
4,2015-02-01,5,27
5,2015-02-08,4,26
6,2015-02-15,4,25
7,2015-02-22,4,34
8,2015-03-01,1,24
9,2015-03-08,3,27
10,2015-03-15,3,26
11,2015-03-22,3,27
12,2015-03-29,3,22
13,2015-04-05,3,20
14,2015-04-12,4,25
15,2015-04-19,4,25
16,2015-04-26,1,21
17,2015-05-03,3,19
18,2015-05-10,3,26
19,2015-05-17,5,20
20,2015-05-24,0,20
21,2015-05-31,1,23
22,2015-06-07,4,22
23,2015-06-14,2,24
24,2015-06-21,3,21
25,2015-06-28,2,16
26,2015-07-05,3,16
27,2015-07-12,4,20
28,2015-07-19,3,24
29,2015-07-26,3,24
30,2015-08-02,3,19
31,2015-08-09,4,60
32,2015-08-16,1,26
33,2015-08-23,5,23
34,2015-08-30,2,27
35,2015-09-06,3,28
36,2015-09-13,4,32
37,2015-09-20,4,24
38,2015-09-27,5,29
39,2015-10-04,4,34
40,2015-10-11,4,29
41,2015-10-18,1,34
42,2015-10-25,4,27
43,2015-11-01,3,30
44,2015-11-08,9,23
45,2015-11-15,5,26
46,2015-11-22,5,23
47,2015-11-29,4,25
48,2015-12-06,3,28
49,2015-12-13,3,29
50,2015-12-20,5,19
51,2015-12-27,15,19
52,2016-01-03,13,22
53,2016-01-10,8,21
54,2016-01-17,4,24
55,2016-01-24,6,26
56,2016-01-31,6,30
57,2016-02-07,4,26
58,2016-02-14,4,23
59,2016-02-21,4,25
60,2016-02-28,7,30
61,2016-03-06,6,24
62,2016-03-13,4,23
63,2016-03-20,12,25
64,2016-03-27,33,26
65,2016-04-03,49,23
66,2016-04-10,25,23
67,2016-04-17,23,24
68,2016-04-24,11,23
69,2016-05-01,9,20
70,2016-05-08,8,23
71,2016-05-15,9,22
72,2016-05-22,8,27
73,2016-05-29,10,22
74,2016-06-05,9,25
75,2016-06-12,7,23
76,2016-06-19,11,19
77,2016-06-26,11,20
78,2016-07-03,14,20
79,2016-07-10,16,21
80,2016-07-17,14,20
81,2016-07-24,14,21
82,2016-07-31,25,24
83,2016-08-07,100,22
84,2016-08-14,24,16
85,2016-08-21,7,19
86,2016-08-28,4,24
87,2016-09-04,4,26
88,2016-09-11,7,23
89,2016-09-18,4,27
90,2016-09-25,2,25
91,2016-10-02,3,24
92,2016-10-09,3,24
93,2016-10-16,6,24
94,2016-10-23,2,23
95,2016-10-30,7,26
96,2016-11-06,4,22
97,2016-11-13,3,28
98,2016-11-20,5,20
99,2016-11-27,5,24
100,2016-12-04,17,25
101,2016-12-11,8,22
102,2016-12-18,6,21
103,2016-12-25,5,19
104,2017-01-01,5,25
105,2017-01-08,6,21
106,2017-01-15,4,22
107,2017-01-22,5,22
108,2017-01-29,6,23
109,2017-02-05,6,25
110,2017-02-12,5,26
111,2017-02-19,5,22
112,2017-02-26,5,24
113,2017-03-05,5,25
114,2017-03-12,4,21
115,2017-03-19,5,27
116,2017-03-26,4,20
117,2017-04-02,4,22
118,2017-04-09,4,23
119,2017-04-16,5,23
120,2017-04-23,1,24
121,2017-04-30,4,26
122,2017-05-07,5,23
123,2017-05-14,4,24
124,2017-05-21,6,26
125,2017-05-28,7,24
126,2017-06-04,7,27
127,2017-06-11,6,24
128,2017-06-18,4,21
129,2017-06-25,6,19
130,2017-07-02,7,19
131,2017-07-09,7,21
132,2017-07-16,10,20
133,2017-07-23,8,21
134,2017-07-30,8,17
135,2017-08-06,8,20
136,2017-08-13,9,20
137,2017-08-20,7,22
138,2017-08-27,22,22
139,2017-09-03,28,22
140,2017-09-10,6,30
141,2017-09-17,3,27
142,2017-09-24,4,29
143,2017-10-01,3,26
144,2017-10-08,8,26
145,2017-10-15,5,27
146,2017-10-22,3,33
147,2017-10-29,5,26
148,2017-11-05,5,27
149,2017-11-12,5,24
150,2017-11-19,4,22
151,2017-11-26,3,28
152,2017-12-03,3,26
153,2017-12-10,3,28
154,2017-12-17,2,24
155,2017-12-24,4,20
156,2017-12-31,3,25
157,2018-01-07,5,27
158,2018-01-14,4,22
159,2018-01-21,1,29
