,date,Metallica,Alphabet
0,2015-01-04,7,19
1,2015-01-11,6,19
2,2015-01-18,6,15
3,2015-01-25,4,17
4,2015-02-01,5,22
5,2015-02-08,7,21
6,2015-02-15,5,20
7,2015-02-22,6,28
8,2015-03-01,6,20
9,2015-03-08,4,22
10,2015-03-15,6,22
11,2015-03-22,6,22
12,2015-03-29,4,18
13,2015-04-05,4,16
14,2015-04-12,8,20
15,2015-04-19,6,20
16,2015-04-26,8,17
17,2015-05-03,7,15
18,2015-05-10,6,22
19,2015-05-17,6,16
20,2015-05-24,7,17
21,2015-05-31,5,19
22,2015-06-07,6,18
23,2015-06-14,7,20
24,2015-06-21,3,17
25,2015-06-28,4,13
26,2015-07-05,4,13
27,2015-07-12,3,17
28,2015-07-19,5,20
29,2015-07-26,6,19
30,2015-08-02,7,16
31,2015-08-09,7,49
32,2015-08-16,5,21
33,2015-08-23,4,19
34,2015-08-30,6,22
35,2015-09-06,5,23
36,2015-09-13,8,26
37,2015-09-20,4,19
38,2015-09-27,6,24
39,2015-10-04,5,28
40,2015-10-11,5,24
41,2015-10-18,5,28
42,2015-10-25,4,22
43,2015-11-01,6,25
44,2015-11-08,5,19
45,2015-11-15,5,21
46,2015-11-22,4,19
47,2015-11-29,4,20
48,2015-12-06,5,23
49,2015-12-13,4,23
50,2015-12-20,7,16
51,2015-12-27,7,16
52,2016-01-03,6,18
53,2016-01-10,5,17
54,2016-01-17,6,20
55,2016-01-24,6,21
56,2016-01-31,6,25
57,2016-02-07,9,21
58,2016-02-14,8,19
59,2016-02-21,5,21
60,2016-02-28,5,25
61,2016-03-06,4,20
62,2016-03-13,5,19
63,2016-03-20,8,21
64,2016-03-27,6,21
65,2016-04-03,8,19
66,2016-04-10,7,18
67,2016-04-17,7,20
68,2016-04-24,7,19
69,2016-05-01,6,16
70,2016-05-08,6,19
71,2016-05-15,5,18
72,2016-05-22,8,23
73,2016-05-29,6,18
74,2016-06-05,8,20
75,2016-06-12,5,19
76,2016-06-19,4,15
77,2016-06-26,5,17
78,2016-07-03,6,17
79,2016-07-10,6,17
80,2016-07-17,9,17
81,2016-07-24,6,17
82,2016-07-31,7,20
83,2016-08-07,6,18
84,2016-08-14,15,13
85,2016-08-21,15,15
86,2016-08-28,8,20
87,2016-09-04,7,21
88,2016-09-11,8,19
89,2016-09-18,6,22
90,2016-09-25,11,20
91,2016-10-02,9,20
92,2016-10-09,5,20
93,2016-10-16,8,20
94,2016-10-23,7,19
95,2016-10-30,9,21
96,2016-11-06,8,18
97,2016-11-13,25,23
98,2016-11-20,17,16
99,2016-11-27,9,20
100,2016-12-04,8,20
101,2016-12-11,10,18
102,2016-12-18,11,17
103,2016-12-25,7,15
104,2017-01-01,10,20
105,2017-01-08,9,17
106,2017-01-15,9,18
107,2017-01-22,8,18
108,2017-01-29,6,19
109,2017-02-05,8,21
110,2017-02-12,80,21
111,2017-02-19,22,18
112,2017-02-26,14,20
113,2017-03-05,14,20
114,2017-03-12,12,18
115,2017-03-19,12,22
116,2017-03-26,8,16
117,2017-04-02,8,18
118,2017-04-09,11,19
119,2017-04-16,9,19
120,2017-04-23,11,20
121,2017-04-30,8,21
122,2017-05-07,10,19
123,2017-05-14,11,20
124,2017-05-21,11,21
125,2017-05-28,9,20
126,2017-06-04,11,22
127,2017-06-11,10,19
128,2017-06-18,12,17
129,2017-06-25,10,16
130,2017-07-02,13,16
131,2017-07-09,8,17
132,2017-07-16,15,17
133,2017-07-23,16,17
