,date,Pink,Alphabet
0,2015-01-04,8,40
1,2015-01-11,7,39
2,2015-01-18,5,31
3,2015-01-25,7,35
4,2015-02-01,8,45
5,2015-02-08,7,43
6,2015-02-15,6,41
7,2015-02-22,7,58
8,2015-03-01,9,41
9,2015-03-08,3,44
10,2015-03-15,6,44
11,2015-03-22,12,44
12,2015-03-29,8,37
13,2015-04-05,6,33
14,2015-04-12,12,41
15,2015-04-19,8,41
16,2015-04-26,7,35
17,2015-05-03,9,31
18,2015-05-10,8,44
19,2015-05-17,8,33
20,2015-05-24,7,34
21,2015-05-31,5,38
22,2015-06-07,8,37
23,2015-06-14,7,40
24,2015-06-21,11,35
25,2015-06-28,12,26
26,2015-07-05,6,27
27,2015-07-12,5,34
28,2015-07-19,7,40
29,2015-07-26,8,39
30,2015-08-02,8,32
31,2015-08-09,9,100
32,2015-08-16,8,43
33,2015-08-23,8,39
34,2015-08-30,8,46
35,2015-09-06,14,47
36,2015-09-13,9,53
37,2015-09-20,6,39
38,2015-09-27,4,48
39,2015-10-04,3,57
40,2015-10-11,5,49
41,2015-10-18,7,56
42,2015-10-25,3,45
43,2015-11-01,8,50
44,2015-11-08,5,39
45,2015-11-15,4,43
46,2015-11-22,6,38
47,2015-11-29,5,42
48,2015-12-06,6,47
49,2015-12-13,6,48
50,2015-12-20,5,32
51,2015-12-27,8,32
52,2016-01-03,5,36
53,2016-01-10,8,35
54,2016-01-17,5,41
55,2016-01-24,5,43
56,2016-01-31,7,51
57,2016-02-07,7,43
58,2016-02-14,9,38
59,2016-02-21,5,42
60,2016-02-28,8,50
61,2016-03-06,9,40
62,2016-03-13,4,39
63,2016-03-20,5,42
64,2016-03-27,5,44
65,2016-04-03,5,38
66,2016-04-10,5,38
67,2016-04-17,8,40
68,2016-04-24,11,38
69,2016-05-01,9,33
70,2016-05-08,14,39
71,2016-05-15,20,36
72,2016-05-22,23,46
73,2016-05-29,15,37
74,2016-06-05,14,41
75,2016-06-12,7,38
76,2016-06-19,8,31
77,2016-06-26,8,34
78,2016-07-03,8,34
79,2016-07-10,8,35
80,2016-07-17,12,34
81,2016-07-24,13,35
82,2016-07-31,14,40
83,2016-08-07,10,37
84,2016-08-14,14,27
85,2016-08-21,10,31
86,2016-08-28,10,40
87,2016-09-04,5,44
88,2016-09-11,6,39
89,2016-09-18,5,45
90,2016-09-25,7,41
91,2016-10-02,8,40
92,2016-10-09,9,40
93,2016-10-16,5,40
94,2016-10-23,9,39
95,2016-10-30,10,43
96,2016-11-06,11,37
97,2016-11-13,13,46
98,2016-11-20,6,34
99,2016-11-27,7,40
100,2016-12-04,8,41
101,2016-12-11,7,37
102,2016-12-18,8,36
103,2016-12-25,13,31
104,2017-01-01,10,41
105,2017-01-08,8,35
106,2017-01-15,7,37
107,2017-01-22,8,36
108,2017-01-29,9,38
109,2017-02-05,10,42
110,2017-02-12,9,43
111,2017-02-19,10,37
112,2017-02-26,6,40
113,2017-03-05,6,42
114,2017-03-12,9,36
115,2017-03-19,8,45
116,2017-03-26,8,33
117,2017-04-02,11,36
118,2017-04-09,6,38
119,2017-04-16,11,38
120,2017-04-23,6,41
121,2017-04-30,7,43
122,2017-05-07,4,38
123,2017-05-14,9,40
124,2017-05-21,7,44
125,2017-05-28,9,41
126,2017-06-04,4,46
127,2017-06-11,5,40
128,2017-06-18,7,36
129,2017-06-25,7,32
130,2017-07-02,8,32
131,2017-07-09,8,35
132,2017-07-16,9,34
133,2017-07-23,6,35
134,2017-07-30,9,29
135,2017-08-06,9,33
136,2017-08-13,10,33
137,2017-08-20,10,37
138,2017-08-27,43,36
139,2017-09-03,12,38
140,2017-09-10,10,50
141,2017-09-17,14,46
142,2017-09-24,8,48
143,2017-10-01,34,43
144,2017-10-08,68,44
145,2017-10-15,50,46
146,2017-10-22,23,56
147,2017-10-29,19,43
148,2017-11-05,24,45
149,2017-11-12,24,41
150,2017-11-19,36,37
151,2017-11-26,16,47
152,2017-12-03,16,44
153,2017-12-10,17,48
154,2017-12-17,18,40
155,2017-12-24,21,33
156,2017-12-31,13,42
157,2018-01-07,17,44
158,2018-01-14,18,36
159,2018-01-21,20,49
160,2018-01-28,41,53
161,2018-02-04,72,50
162,2018-02-11,18,42
163,2018-02-18,19,39
164,2018-02-25,31,47
165,2018-03-04,32,44
166,2018-03-11,18,43
167,2018-03-18,17,46
168,2018-03-25,20,48
169,2018-04-01,17,41
170,2018-04-08,19,47
171,2018-04-15,17,41
172,2018-04-22,28,45
173,2018-04-29,33,37
174,2018-05-06,39,46
175,2018-05-13,65,39
176,2018-05-20,20,42
177,2018-05-27,16,42
178,2018-06-03,16,47
179,2018-06-10,15,42
180,2018-06-17,11,43
181,2018-06-24,13,31
182,2018-07-01,12,35
183,2018-07-08,14,36
184,2018-07-15,12,32
185,2018-07-22,12,40
186,2018-07-29,14,34
187,2018-08-05,14,35
188,2018-08-12,8,35
189,2018-08-19,11,39
190,2018-08-26,8,34
191,2018-09-02,8,43
192,2018-09-09,6,49
193,2018-09-16,9,53
194,2018-09-23,9,47
195,2018-09-30,8,47
196,2018-10-07,8,37
197,2018-10-14,5,42
198,2018-10-21,12,50
199,2018-10-28,11,39
200,2018-11-04,10,43
201,2018-11-11,11,49
202,2018-11-18,12,40
203,2018-11-25,11,44
204,2018-12-02,11,44
205,2018-12-09,7,43
206,2018-12-16,5,44
207,2018-12-23,12,35
208,2018-12-30,9,36
209,2019-01-06,12,44
210,2019-01-13,16,39
211,2019-01-20,19,45
212,2019-01-27,11,53
213,2019-02-03,14,45
214,2019-02-10,14,48
215,2019-02-17,14,37
216,2019-02-24,12,36
217,2019-03-03,15,40
218,2019-03-10,20,41
219,2019-03-17,23,43
220,2019-03-24,21,39
221,2019-03-31,23,41
222,2019-04-07,26,45
223,2019-04-14,13,41
224,2019-04-21,24,49
225,2019-04-28,18,45
226,2019-05-05,17,44
227,2019-05-12,11,46
228,2019-05-19,18,43
