,date,U2,Alphabet
0,2015-01-04,6,18
1,2015-01-11,5,17
2,2015-01-18,5,14
3,2015-01-25,4,16
4,2015-02-01,6,20
5,2015-02-08,6,19
6,2015-02-15,4,18
7,2015-02-22,3,26
8,2015-03-01,4,18
9,2015-03-08,6,20
10,2015-03-15,6,20
11,2015-03-22,4,20
12,2015-03-29,6,16
13,2015-04-05,6,15
14,2015-04-12,5,18
15,2015-04-19,6,18
16,2015-04-26,7,15
17,2015-05-03,11,14
18,2015-05-10,21,20
19,2015-05-17,18,15
20,2015-05-24,13,15
21,2015-05-31,6,17
22,2015-06-07,8,17
23,2015-06-14,6,18
24,2015-06-21,6,16
25,2015-06-28,5,12
26,2015-07-05,3,12
27,2015-07-12,5,15
28,2015-07-19,4,18
29,2015-07-26,6,18
30,2015-08-02,7,14
31,2015-08-09,4,45
32,2015-08-16,4,19
33,2015-08-23,3,18
34,2015-08-30,4,20
35,2015-09-06,4,21
36,2015-09-13,4,24
37,2015-09-20,5,18
38,2015-09-27,4,21
39,2015-10-04,3,26
40,2015-10-11,3,22
41,2015-10-18,4,25
42,2015-10-25,4,20
43,2015-11-01,4,22
44,2015-11-08,6,18
45,2015-11-15,4,19
46,2015-11-22,5,17
47,2015-11-29,4,19
48,2015-12-06,8,21
49,2015-12-13,3,21
50,2015-12-20,4,14
51,2015-12-27,5,14
52,2016-01-03,3,16
53,2016-01-10,3,16
54,2016-01-17,4,18
55,2016-01-24,3,19
56,2016-01-31,5,23
57,2016-02-07,3,19
58,2016-02-14,4,17
59,2016-02-21,3,19
60,2016-02-28,3,22
61,2016-03-06,4,18
62,2016-03-13,3,18
63,2016-03-20,4,19
64,2016-03-27,2,19
65,2016-04-03,4,17
66,2016-04-10,3,17
67,2016-04-17,2,18
68,2016-04-24,5,17
69,2016-05-01,3,15
70,2016-05-08,4,17
71,2016-05-15,2,16
72,2016-05-22,4,21
73,2016-05-29,3,16
74,2016-06-05,2,18
75,2016-06-12,3,17
76,2016-06-19,2,14
77,2016-06-26,3,15
78,2016-07-03,2,15
79,2016-07-10,4,16
80,2016-07-17,3,15
81,2016-07-24,3,16
82,2016-07-31,2,18
83,2016-08-07,3,16
84,2016-08-14,3,12
85,2016-08-21,3,14
86,2016-08-28,4,18
87,2016-09-04,3,20
88,2016-09-11,3,17
89,2016-09-18,3,20
90,2016-09-25,4,18
91,2016-10-02,5,18
92,2016-10-09,3,18
93,2016-10-16,4,18
94,2016-10-23,2,18
