,date,Ed Sheeran,Alphabet
0,2015-01-04,16,13
1,2015-01-11,19,15
2,2015-01-18,20,15
3,2015-01-25,24,13
4,2015-02-01,21,13
5,2015-02-08,52,14
6,2015-02-15,40,11
7,2015-02-22,28,15
8,2015-03-01,23,11
9,2015-03-08,19,12
10,2015-03-15,15,15
11,2015-03-22,16,10
12,2015-03-29,15,13
13,2015-04-05,11,12
14,2015-04-12,13,12
15,2015-04-19,14,11
16,2015-04-26,10,16
17,2015-05-03,11,12
18,2015-05-10,14,13
19,2015-05-17,22,14
20,2015-05-24,18,17
21,2015-05-31,21,10
22,2015-06-07,23,12
23,2015-06-14,18,10
24,2015-06-21,22,10
25,2015-06-28,41,11
26,2015-07-05,24,10
27,2015-07-12,12,7
28,2015-07-19,15,11
29,2015-07-26,12,11
30,2015-08-02,13,8
31,2015-08-09,16,21
32,2015-08-16,17,12
33,2015-08-23,13,10
34,2015-08-30,11,18
35,2015-09-06,12,21
36,2015-09-13,12,19
37,2015-09-20,10,19
38,2015-09-27,11,18
39,2015-10-04,9,19
40,2015-10-11,7,15
41,2015-10-18,8,19
42,2015-10-25,8,15
43,2015-11-01,7,17
44,2015-11-08,9,19
45,2015-11-15,7,14
46,2015-11-22,9,12
47,2015-11-29,7,13
48,2015-12-06,7,16
49,2015-12-13,8,15
50,2015-12-20,8,11
51,2015-12-27,6,9
52,2016-01-03,7,17
53,2016-01-10,5,10
54,2016-01-17,4,11
55,2016-01-24,5,15
56,2016-01-31,4,15
57,2016-02-07,5,15
58,2016-02-14,11,16
59,2016-02-21,5,14
60,2016-02-28,4,12
61,2016-03-06,4,15
62,2016-03-13,3,13
63,2016-03-20,6,12
64,2016-03-27,4,14
65,2016-04-03,4,14
66,2016-04-10,3,15
67,2016-04-17,4,13
68,2016-04-24,4,14
69,2016-05-01,3,11
70,2016-05-08,4,15
71,2016-05-15,4,14
72,2016-05-22,2,13
73,2016-05-29,3,11
74,2016-06-05,8,12
75,2016-06-12,5,10
76,2016-06-19,4,9
77,2016-06-26,4,11
78,2016-07-03,3,11
79,2016-07-10,3,11
80,2016-07-17,5,10
81,2016-07-24,4,10
82,2016-07-31,3,10
83,2016-08-07,5,9
84,2016-08-14,2,9
85,2016-08-21,3,13
86,2016-08-28,2,17
87,2016-09-04,2,16
88,2016-09-11,5,18
89,2016-09-18,4,18
90,2016-09-25,3,17
91,2016-10-02,3,15
92,2016-10-09,3,15
93,2016-10-16,3,17
94,2016-10-23,3,14
95,2016-10-30,4,14
96,2016-11-06,3,11
97,2016-11-13,3,14
98,2016-11-20,4,11
99,2016-11-27,3,14
100,2016-12-04,1,12
101,2016-12-11,5,11
102,2016-12-18,3,15
103,2016-12-25,4,10
104,2017-01-01,15,13
105,2017-01-08,15,12
106,2017-01-15,11,11
107,2017-01-22,13,14
108,2017-01-29,11,16
109,2017-02-05,11,16
110,2017-02-12,28,13
