,date,Guns N' Roses,Alphabet
0,2015-01-04,11,52
1,2015-01-11,0,57
2,2015-01-18,5,58
3,2015-01-25,8,50
4,2015-02-01,5,51
5,2015-02-08,0,55
6,2015-02-15,13,42
7,2015-02-22,10,59
8,2015-03-01,12,42
9,2015-03-08,4,45
10,2015-03-15,17,59
11,2015-03-22,11,41
12,2015-03-29,9,48
13,2015-04-05,8,44
14,2015-04-12,8,48
15,2015-04-19,0,44
16,2015-04-26,8,61
17,2015-05-03,7,47
18,2015-05-10,10,49
19,2015-05-17,4,53
20,2015-05-24,14,66
21,2015-05-31,8,39
22,2015-06-07,7,45
23,2015-06-14,12,38
24,2015-06-21,4,38
25,2015-06-28,8,41
26,2015-07-05,7,39
27,2015-07-12,7,27
28,2015-07-19,18,42
29,2015-07-26,18,39
30,2015-08-02,8,33
31,2015-08-09,9,85
32,2015-08-16,10,47
33,2015-08-23,10,37
34,2015-08-30,10,69
35,2015-09-06,11,82
36,2015-09-13,9,70
37,2015-09-20,13,75
38,2015-09-27,6,67
39,2015-10-04,10,73
40,2015-10-11,8,58
41,2015-10-18,14,72
42,2015-10-25,4,63
43,2015-11-01,5,62
44,2015-11-08,22,73
45,2015-11-15,14,55
46,2015-11-22,11,48
47,2015-11-29,18,55
48,2015-12-06,13,61
49,2015-12-13,11,61
50,2015-12-20,16,43
51,2015-12-27,37,35
52,2016-01-03,36,65
53,2016-01-10,27,40
54,2016-01-17,21,44
55,2016-01-24,8,57
56,2016-01-31,18,60
57,2016-02-07,15,59
58,2016-02-14,12,60
59,2016-02-21,15,58
60,2016-02-28,12,45
61,2016-03-06,15,56
62,2016-03-13,9,51
63,2016-03-20,17,45
64,2016-03-27,58,54
65,2016-04-03,89,53
66,2016-04-10,41,59
67,2016-04-17,47,52
68,2016-04-24,25,51
69,2016-05-01,16,42
70,2016-05-08,11,56
71,2016-05-15,17,55
72,2016-05-22,21,50
73,2016-05-29,15,44
74,2016-06-05,20,44
75,2016-06-12,24,37
76,2016-06-19,26,35
77,2016-06-26,75,41
78,2016-07-03,68,44
79,2016-07-10,18,42
80,2016-07-17,20,39
81,2016-07-24,16,34
82,2016-07-31,20,40
83,2016-08-07,17,33
84,2016-08-14,19,32
85,2016-08-21,23,50
86,2016-08-28,7,68
87,2016-09-04,9,60
88,2016-09-11,17,70
89,2016-09-18,4,69
90,2016-09-25,11,66
91,2016-10-02,9,60
92,2016-10-09,12,57
93,2016-10-16,6,62
94,2016-10-23,14,55
95,2016-10-30,9,55
96,2016-11-06,5,41
97,2016-11-13,5,51
98,2016-11-20,13,41
99,2016-11-27,15,53
100,2016-12-04,28,49
101,2016-12-11,18,43
102,2016-12-18,10,58
103,2016-12-25,13,38
104,2017-01-01,13,52
105,2017-01-08,3,48
106,2017-01-15,15,43
107,2017-01-22,8,52
108,2017-01-29,9,57
109,2017-02-05,15,64
110,2017-02-12,14,48
111,2017-02-19,15,64
112,2017-02-26,12,53
113,2017-03-05,11,49
114,2017-03-12,11,56
115,2017-03-19,12,52
116,2017-03-26,10,48
117,2017-04-02,11,47
118,2017-04-09,11,38
119,2017-04-16,7,42
120,2017-04-23,12,42
121,2017-04-30,15,55
122,2017-05-07,12,42
123,2017-05-14,12,42
124,2017-05-21,19,48
125,2017-05-28,15,49
126,2017-06-04,6,41
127,2017-06-11,16,43
128,2017-06-18,17,42
129,2017-06-25,20,39
130,2017-07-02,17,35
131,2017-07-09,15,35
132,2017-07-16,36,36
133,2017-07-23,79,37
134,2017-07-30,63,38
135,2017-08-06,16,38
136,2017-08-13,35,46
137,2017-08-20,20,36
138,2017-08-27,18,51
139,2017-09-03,21,60
140,2017-09-10,17,74
141,2017-09-17,19,64
142,2017-09-24,18,57
143,2017-10-01,16,58
144,2017-10-08,19,55
145,2017-10-15,26,71
146,2017-10-22,25,66
147,2017-10-29,44,68
148,2017-11-05,100,66
149,2017-11-12,16,53
150,2017-11-19,11,49
151,2017-11-26,13,51
152,2017-12-03,7,62
153,2017-12-10,7,53
154,2017-12-17,11,51
155,2017-12-24,7,48
156,2017-12-31,3,51
157,2018-01-07,8,58
158,2018-01-14,10,53
159,2018-01-21,7,64
160,2018-01-28,8,58
161,2018-02-04,10,69
162,2018-02-11,6,69
163,2018-02-18,13,58
164,2018-02-25,10,45
165,2018-03-04,16,48
166,2018-03-11,6,58
167,2018-03-18,9,54
168,2018-03-25,6,44
169,2018-04-01,10,57
170,2018-04-08,15,52
171,2018-04-15,7,49
172,2018-04-22,8,58
173,2018-04-29,14,48
174,2018-05-06,12,46
175,2018-05-13,11,42
176,2018-05-20,14,40
177,2018-05-27,9,56
178,2018-06-03,7,45
179,2018-06-10,9,47
180,2018-06-17,5,38
181,2018-06-24,13,41
182,2018-07-01,10,28
183,2018-07-08,12,48
184,2018-07-15,12,35
185,2018-07-22,12,47
186,2018-07-29,10,47
187,2018-08-05,7,46
188,2018-08-12,6,32
189,2018-08-19,8,45
190,2018-08-26,9,44
191,2018-09-02,5,51
192,2018-09-09,8,59
193,2018-09-16,15,68
194,2018-09-23,11,55
195,2018-09-30,8,60
196,2018-10-07,10,56
197,2018-10-14,7,52
198,2018-10-21,10,52
199,2018-10-28,10,65
200,2018-11-04,6,65
201,2018-11-11,4,68
202,2018-11-18,9,45
203,2018-11-25,9,59
204,2018-12-02,7,66
205,2018-12-09,10,51
206,2018-12-16,0,53
207,2018-12-23,12,43
208,2018-12-30,5,44
209,2019-01-06,8,56
210,2019-01-13,12,46
211,2019-01-20,7,41
212,2019-01-27,10,49
213,2019-02-03,9,63
214,2019-02-10,11,49
215,2019-02-17,12,54
216,2019-02-24,7,52
217,2019-03-03,7,66
218,2019-03-10,10,53
219,2019-03-17,10,48
220,2019-03-24,11,47
221,2019-03-31,9,48
222,2019-04-07,9,51
223,2019-04-14,10,47
