,date,Metallica,Alphabet
0,2015-01-04,8,22
1,2015-01-11,10,24
2,2015-01-18,10,25
3,2015-01-25,5,21
4,2015-02-01,8,21
5,2015-02-08,8,23
6,2015-02-15,5,18
7,2015-02-22,7,25
8,2015-03-01,9,18
9,2015-03-08,8,19
10,2015-03-15,9,25
11,2015-03-22,8,17
12,2015-03-29,9,20
13,2015-04-05,5,19
14,2015-04-12,8,20
15,2015-04-19,10,19
16,2015-04-26,8,25
17,2015-05-03,4,20
18,2015-05-10,8,21
19,2015-05-17,9,22
20,2015-05-24,11,28
21,2015-05-31,5,16
22,2015-06-07,7,19
23,2015-06-14,8,16
24,2015-06-21,8,16
25,2015-06-28,9,17
26,2015-07-05,7,16
27,2015-07-12,11,11
28,2015-07-19,11,18
29,2015-07-26,8,17
30,2015-08-02,11,14
31,2015-08-09,10,36
32,2015-08-16,8,20
33,2015-08-23,8,16
34,2015-08-30,6,29
35,2015-09-06,12,34
36,2015-09-13,9,29
37,2015-09-20,9,31
38,2015-09-27,8,28
39,2015-10-04,7,30
40,2015-10-11,6,24
41,2015-10-18,7,30
42,2015-10-25,6,26
43,2015-11-01,9,26
44,2015-11-08,8,31
45,2015-11-15,6,23
46,2015-11-22,5,20
47,2015-11-29,7,23
48,2015-12-06,9,25
49,2015-12-13,10,26
50,2015-12-20,7,18
51,2015-12-27,15,15
52,2016-01-03,8,27
53,2016-01-10,9,17
54,2016-01-17,9,18
55,2016-01-24,8,24
56,2016-01-31,12,25
57,2016-02-07,16,25
58,2016-02-14,8,25
59,2016-02-21,11,24
60,2016-02-28,6,19
61,2016-03-06,8,24
62,2016-03-13,20,21
63,2016-03-20,31,19
64,2016-03-27,13,23
65,2016-04-03,11,22
66,2016-04-10,12,25
67,2016-04-17,9,22
68,2016-04-24,8,21
69,2016-05-01,6,18
70,2016-05-08,7,24
71,2016-05-15,9,23
72,2016-05-22,9,21
73,2016-05-29,10,18
74,2016-06-05,8,19
75,2016-06-12,8,16
76,2016-06-19,7,15
77,2016-06-26,8,17
78,2016-07-03,12,19
79,2016-07-10,10,18
80,2016-07-17,11,16
81,2016-07-24,12,14
82,2016-07-31,10,17
83,2016-08-07,14,14
84,2016-08-14,31,13
85,2016-08-21,28,21
86,2016-08-28,11,28
87,2016-09-04,8,25
88,2016-09-11,11,29
89,2016-09-18,9,29
90,2016-09-25,14,28
91,2016-10-02,12,25
92,2016-10-09,8,24
93,2016-10-16,9,26
94,2016-10-23,11,23
95,2016-10-30,13,23
96,2016-11-06,8,17
97,2016-11-13,36,22
98,2016-11-20,22,17
99,2016-11-27,16,22
100,2016-12-04,15,21
101,2016-12-11,11,18
102,2016-12-18,11,24
103,2016-12-25,8,16
104,2017-01-01,8,22
105,2017-01-08,10,20
106,2017-01-15,10,18
107,2017-01-22,14,22
108,2017-01-29,11,24
109,2017-02-05,12,27
110,2017-02-12,74,20
111,2017-02-19,18,27
112,2017-02-26,12,22
113,2017-03-05,13,20
114,2017-03-12,12,24
115,2017-03-19,12,22
116,2017-03-26,8,20
117,2017-04-02,15,20
118,2017-04-09,12,16
119,2017-04-16,15,17
120,2017-04-23,11,17
121,2017-04-30,12,23
122,2017-05-07,15,18
123,2017-05-14,13,18
124,2017-05-21,17,20
125,2017-05-28,16,21
126,2017-06-04,22,17
127,2017-06-11,22,18
128,2017-06-18,26,18
129,2017-06-25,11,16
130,2017-07-02,10,15
131,2017-07-09,10,15
132,2017-07-16,8,15
133,2017-07-23,7,15
134,2017-07-30,10,16
135,2017-08-06,14,16
136,2017-08-13,8,19
137,2017-08-20,8,15
138,2017-08-27,7,21
139,2017-09-03,9,25
140,2017-09-10,8,31
141,2017-09-17,8,27
142,2017-09-24,11,24
143,2017-10-01,7,24
144,2017-10-08,6,23
145,2017-10-15,7,30
146,2017-10-22,9,28
147,2017-10-29,7,29
148,2017-11-05,8,28
149,2017-11-12,6,22
150,2017-11-19,4,21
151,2017-11-26,8,21
152,2017-12-03,9,26
153,2017-12-10,7,22
154,2017-12-17,9,21
155,2017-12-24,10,20
156,2017-12-31,7,22
157,2018-01-07,9,24
158,2018-01-14,7,22
159,2018-01-21,12,27
160,2018-01-28,12,24
161,2018-02-04,9,29
162,2018-02-11,9,29
163,2018-02-18,9,24
164,2018-02-25,100,19
165,2018-03-04,31,20
166,2018-03-11,16,24
167,2018-03-18,15,23
168,2018-03-25,12,18
169,2018-04-01,12,24
170,2018-04-08,15,22
171,2018-04-15,10,21
172,2018-04-22,12,24
173,2018-04-29,10,20
174,2018-05-06,0,19
175,2018-05-13,0,18
176,2018-05-20,0,17
177,2018-05-27,0,24
178,2018-06-03,0,19
179,2018-06-10,0,20
180,2018-06-17,0,16
181,2018-06-24,0,17
182,2018-07-01,0,12
183,2018-07-08,0,20
184,2018-07-15,0,15
185,2018-07-22,0,20
186,2018-07-29,0,20
187,2018-08-05,0,19
188,2018-08-12,0,13
189,2018-08-19,0,19
190,2018-08-26,0,19
191,2018-09-02,0,22
192,2018-09-09,0,25
193,2018-09-16,0,28
194,2018-09-23,0,23
195,2018-09-30,0,25
196,2018-10-07,0,23
197,2018-10-14,0,22
198,2018-10-21,0,22
199,2018-10-28,0,28
200,2018-11-04,0,27
201,2018-11-11,0,29
202,2018-11-18,0,19
203,2018-11-25,0,25
204,2018-12-02,0,28
205,2018-12-09,0,21
206,2018-12-16,0,22
207,2018-12-23,0,18
208,2018-12-30,0,19
209,2019-01-06,0,24
210,2019-01-13,0,19
211,2019-01-20,0,17
212,2019-01-27,0,21
213,2019-02-03,0,27
214,2019-02-10,0,21
215,2019-02-17,0,23
216,2019-02-24,0,22
217,2019-03-03,0,28
218,2019-03-10,0,22
219,2019-03-17,0,20
220,2019-03-24,0,20
221,2019-03-31,0,20
222,2019-04-07,0,21
223,2019-04-14,0,20
224,2019-04-21,0,22
225,2019-04-28,0,25
226,2019-05-05,0,18
227,2019-05-12,0,21
228,2019-05-19,0,24
229,2019-05-26,0,18
230,2019-06-02,0,19
231,2019-06-09,0,13
232,2019-06-16,0,18
233,2019-06-23,0,13
234,2019-06-30,0,14
235,2019-07-07,0,14
236,2019-07-14,0,19
237,2019-07-21,0,17
238,2019-07-28,0,15
239,2019-08-04,0,14
240,2019-08-11,0,14
241,2019-08-18,0,17
242,2019-08-25,0,12
243,2019-09-01,0,24
244,2019-09-08,0,31
245,2019-09-15,0,22
246,2019-09-22,0,23
247,2019-09-29,0,21
248,2019-10-06,0,26
249,2019-10-13,0,23
250,2019-10-20,0,23
251,2019-10-27,0,31
252,2019-11-03,0,25
253,2019-11-10,0,25
254,2019-11-17,0,25
255,2019-11-24,0,25
256,2019-12-01,0,26
257,2019-12-08,0,21
258,2019-12-15,0,24
259,2019-12-22,0,17
260,2019-12-29,0,20
