,date,Pink,Alphabet
0,2015-01-04,0,37
1,2015-01-11,0,41
2,2015-01-18,0,42
3,2015-01-25,0,36
4,2015-02-01,0,37
5,2015-02-08,0,40
6,2015-02-15,0,30
7,2015-02-22,0,42
8,2015-03-01,0,31
9,2015-03-08,0,33
10,2015-03-15,0,42
11,2015-03-22,0,29
12,2015-03-29,0,35
13,2015-04-05,0,32
14,2015-04-12,0,35
15,2015-04-19,0,32
16,2015-04-26,0,44
17,2015-05-03,0,34
18,2015-05-10,0,36
19,2015-05-17,0,38
20,2015-05-24,0,48
21,2015-05-31,0,28
22,2015-06-07,0,32
23,2015-06-14,0,27
24,2015-06-21,0,28
25,2015-06-28,0,30
26,2015-07-05,0,28
27,2015-07-12,0,19
28,2015-07-19,0,30
29,2015-07-26,0,28
30,2015-08-02,0,24
31,2015-08-09,0,61
32,2015-08-16,0,34
33,2015-08-23,0,27
34,2015-08-30,0,49
35,2015-09-06,0,59
36,2015-09-13,0,51
37,2015-09-20,0,54
38,2015-09-27,0,48
39,2015-10-04,0,52
40,2015-10-11,0,42
41,2015-10-18,0,52
42,2015-10-25,0,45
43,2015-11-01,0,45
44,2015-11-08,0,53
45,2015-11-15,0,40
46,2015-11-22,0,34
47,2015-11-29,0,39
48,2015-12-06,0,44
49,2015-12-13,0,44
50,2015-12-20,0,31
51,2015-12-27,0,26
52,2016-01-03,0,47
53,2016-01-10,0,29
54,2016-01-17,0,31
55,2016-01-24,0,41
56,2016-01-31,0,43
57,2016-02-07,0,42
58,2016-02-14,0,43
59,2016-02-21,0,42
60,2016-02-28,0,32
61,2016-03-06,0,41
62,2016-03-13,0,37
63,2016-03-20,0,32
64,2016-03-27,0,39
65,2016-04-03,0,38
66,2016-04-10,0,43
67,2016-04-17,0,37
68,2016-04-24,0,37
69,2016-05-01,0,31
70,2016-05-08,0,40
71,2016-05-15,0,39
72,2016-05-22,0,36
73,2016-05-29,0,32
74,2016-06-05,0,32
75,2016-06-12,0,27
76,2016-06-19,0,25
77,2016-06-26,0,30
78,2016-07-03,0,32
79,2016-07-10,0,30
80,2016-07-17,0,28
81,2016-07-24,0,25
82,2016-07-31,0,29
83,2016-08-07,0,24
84,2016-08-14,0,23
85,2016-08-21,0,36
86,2016-08-28,0,49
87,2016-09-04,14,43
88,2016-09-11,11,50
89,2016-09-18,5,49
90,2016-09-25,8,47
91,2016-10-02,9,43
92,2016-10-09,7,41
93,2016-10-16,8,45
94,2016-10-23,9,40
95,2016-10-30,10,40
96,2016-11-06,7,30
97,2016-11-13,44,37
98,2016-11-20,14,30
99,2016-11-27,14,38
100,2016-12-04,5,35
101,2016-12-11,12,31
102,2016-12-18,10,42
103,2016-12-25,15,28
104,2017-01-01,15,38
105,2017-01-08,7,34
106,2017-01-15,10,31
107,2017-01-22,9,38
108,2017-01-29,6,41
109,2017-02-05,10,46
110,2017-02-12,10,35
111,2017-02-19,7,46
112,2017-02-26,9,39
113,2017-03-05,10,35
114,2017-03-12,6,41
115,2017-03-19,4,38
116,2017-03-26,7,35
117,2017-04-02,11,34
118,2017-04-09,10,27
119,2017-04-16,9,30
120,2017-04-23,6,30
121,2017-04-30,9,40
122,2017-05-07,10,31
123,2017-05-14,10,30
124,2017-05-21,9,35
125,2017-05-28,12,35
126,2017-06-04,11,30
127,2017-06-11,8,31
128,2017-06-18,15,30
129,2017-06-25,32,28
130,2017-07-02,72,25
131,2017-07-09,12,25
132,2017-07-16,8,26
133,2017-07-23,7,26
134,2017-07-30,9,27
135,2017-08-06,14,27
136,2017-08-13,10,33
137,2017-08-20,13,26
138,2017-08-27,51,37
139,2017-09-03,18,43
140,2017-09-10,14,53
141,2017-09-17,17,46
142,2017-09-24,11,41
143,2017-10-01,27,42
144,2017-10-08,53,40
145,2017-10-15,46,51
146,2017-10-22,23,48
147,2017-10-29,24,49
148,2017-11-05,28,48
149,2017-11-12,21,38
150,2017-11-19,39,36
151,2017-11-26,14,36
152,2017-12-03,18,45
153,2017-12-10,15,38
154,2017-12-17,17,37
155,2017-12-24,20,35
156,2017-12-31,17,37
157,2018-01-07,21,42
158,2018-01-14,18,38
159,2018-01-21,15,46
160,2018-01-28,50,42
161,2018-02-04,100,50
162,2018-02-11,18,50
163,2018-02-18,24,42
164,2018-02-25,39,33
165,2018-03-04,51,35
166,2018-03-11,33,42
167,2018-03-18,22,39
168,2018-03-25,25,31
169,2018-04-01,13,41
170,2018-04-08,17,38
171,2018-04-15,14,35
172,2018-04-22,29,42
173,2018-04-29,39,35
174,2018-05-06,46,33
175,2018-05-13,25,31
176,2018-05-20,21,29
177,2018-05-27,15,41
178,2018-06-03,22,33
179,2018-06-10,12,34
180,2018-06-17,17,27
181,2018-06-24,14,30
182,2018-07-01,15,20
183,2018-07-08,19,35
184,2018-07-15,14,26
185,2018-07-22,13,34
186,2018-07-29,23,34
187,2018-08-05,17,33
188,2018-08-12,13,23
189,2018-08-19,17,33
190,2018-08-26,15,32
191,2018-09-02,11,37
192,2018-09-09,11,43
193,2018-09-16,14,49
194,2018-09-23,11,39
195,2018-09-30,11,44
196,2018-10-07,13,40
197,2018-10-14,9,38
198,2018-10-21,11,38
199,2018-10-28,11,47
200,2018-11-04,17,47
201,2018-11-11,17,49
202,2018-11-18,18,32
203,2018-11-25,10,43
204,2018-12-02,15,48
205,2018-12-09,12,37
206,2018-12-16,13,38
207,2018-12-23,12,31
208,2018-12-30,14,32
209,2019-01-06,10,41
210,2019-01-13,20,33
211,2019-01-20,23,30
212,2019-01-27,15,35
213,2019-02-03,19,46
214,2019-02-10,19,35
215,2019-02-17,14,39
216,2019-02-24,17,37
217,2019-03-03,30,48
218,2019-03-10,19,38
219,2019-03-17,28,35
220,2019-03-24,30,34
221,2019-03-31,30,34
222,2019-04-07,19,36
223,2019-04-14,18,34
224,2019-04-21,42,37
225,2019-04-28,97,43
226,2019-05-05,35,31
227,2019-05-12,22,36
228,2019-05-19,26,42
229,2019-05-26,35,31
230,2019-06-02,32,32
231,2019-06-09,32,22
232,2019-06-16,33,30
233,2019-06-23,23,22
234,2019-06-30,19,25
235,2019-07-07,14,24
236,2019-07-14,25,32
237,2019-07-21,26,30
238,2019-07-28,22,26
239,2019-08-04,27,25
240,2019-08-11,27,23
241,2019-08-18,15,29
242,2019-08-25,18,20
243,2019-09-01,26,42
244,2019-09-08,22,54
245,2019-09-15,13,38
246,2019-09-22,12,40
247,2019-09-29,20,35
248,2019-10-06,21,44
249,2019-10-13,20,40
250,2019-10-20,12,40
251,2019-10-27,15,53
252,2019-11-03,21,43
253,2019-11-10,42,42
254,2019-11-17,16,43
255,2019-11-24,20,43
256,2019-12-01,22,45
257,2019-12-08,19,36
258,2019-12-15,11,42
259,2019-12-22,12,29
260,2019-12-29,15,35
