,date,The Rolling Stones,Alphabet
0,2015-01-04,7,23
1,2015-01-11,2,25
2,2015-01-18,6,26
3,2015-01-25,5,22
4,2015-02-01,6,22
5,2015-02-08,3,24
6,2015-02-15,7,18
7,2015-02-22,1,26
8,2015-03-01,5,19
9,2015-03-08,10,20
10,2015-03-15,30,26
11,2015-03-22,17,18
12,2015-03-29,74,21
13,2015-04-05,55,19
14,2015-04-12,38,21
15,2015-04-19,11,20
16,2015-04-26,13,27
17,2015-05-03,10,21
18,2015-05-10,13,22
19,2015-05-17,10,23
20,2015-05-24,19,29
21,2015-05-31,28,17
22,2015-06-07,20,20
23,2015-06-14,21,17
24,2015-06-21,100,17
25,2015-06-28,19,18
26,2015-07-05,12,17
27,2015-07-12,7,12
28,2015-07-19,7,18
29,2015-07-26,6,17
30,2015-08-02,4,15
31,2015-08-09,7,37
32,2015-08-16,7,21
33,2015-08-23,5,16
34,2015-08-30,5,30
35,2015-09-06,7,36
36,2015-09-13,6,31
37,2015-09-20,7,33
38,2015-09-27,7,29
39,2015-10-04,4,32
40,2015-10-11,7,25
41,2015-10-18,7,31
42,2015-10-25,7,28
43,2015-11-01,9,27
44,2015-11-08,5,32
45,2015-11-15,4,24
46,2015-11-22,4,21
47,2015-11-29,8,24
48,2015-12-06,10,27
49,2015-12-13,2,27
50,2015-12-20,8,19
51,2015-12-27,8,16
52,2016-01-03,6,29
53,2016-01-10,8,18
54,2016-01-17,7,19
55,2016-01-24,7,25
56,2016-01-31,5,26
57,2016-02-07,4,26
58,2016-02-14,9,26
59,2016-02-21,6,25
60,2016-02-28,6,20
61,2016-03-06,5,25
62,2016-03-13,5,22
63,2016-03-20,9,20
64,2016-03-27,7,24
65,2016-04-03,6,23
66,2016-04-10,6,26
67,2016-04-17,7,23
68,2016-04-24,6,22
69,2016-05-01,7,19
70,2016-05-08,7,25
71,2016-05-15,8,24
72,2016-05-22,7,22
73,2016-05-29,5,19
74,2016-06-05,6,19
75,2016-06-12,8,16
76,2016-06-19,7,15
77,2016-06-26,4,18
78,2016-07-03,5,19
79,2016-07-10,3,18
80,2016-07-17,6,17
81,2016-07-24,7,15
82,2016-07-31,5,18
83,2016-08-07,3,15
84,2016-08-14,6,14
85,2016-08-21,6,22
86,2016-08-28,5,30
87,2016-09-04,3,26
88,2016-09-11,3,31
89,2016-09-18,5,30
90,2016-09-25,5,29
91,2016-10-02,8,26
92,2016-10-09,4,25
93,2016-10-16,7,27
94,2016-10-23,6,24
95,2016-10-30,5,24
96,2016-11-06,5,18
97,2016-11-13,7,22
98,2016-11-20,5,18
99,2016-11-27,10,23
100,2016-12-04,10,21
101,2016-12-11,5,19
102,2016-12-18,8,25
103,2016-12-25,6,17
104,2017-01-01,4,23
105,2017-01-08,8,21
106,2017-01-15,7,19
107,2017-01-22,6,23
108,2017-01-29,7,25
109,2017-02-05,5,28
110,2017-02-12,4,21
111,2017-02-19,7,28
112,2017-02-26,5,23
113,2017-03-05,5,21
114,2017-03-12,3,25
115,2017-03-19,3,23
116,2017-03-26,4,21
117,2017-04-02,7,20
118,2017-04-09,6,17
119,2017-04-16,5,18
120,2017-04-23,6,18
121,2017-04-30,4,24
122,2017-05-07,5,19
123,2017-05-14,5,19
124,2017-05-21,4,21
125,2017-05-28,4,22
126,2017-06-04,4,18
127,2017-06-11,6,19
128,2017-06-18,4,18
129,2017-06-25,5,17
130,2017-07-02,7,15
131,2017-07-09,10,15
132,2017-07-16,5,16
133,2017-07-23,5,16
134,2017-07-30,3,17
135,2017-08-06,7,17
136,2017-08-13,5,20
137,2017-08-20,3,16
138,2017-08-27,4,22
139,2017-09-03,6,26
140,2017-09-10,6,32
141,2017-09-17,7,28
142,2017-09-24,8,25
143,2017-10-01,5,25
144,2017-10-08,5,24
145,2017-10-15,4,31
146,2017-10-22,7,29
147,2017-10-29,3,30
148,2017-11-05,8,29
149,2017-11-12,5,23
150,2017-11-19,3,22
151,2017-11-26,5,22
152,2017-12-03,6,27
153,2017-12-10,5,23
154,2017-12-17,3,22
155,2017-12-24,2,21
156,2017-12-31,7,22
157,2018-01-07,6,25
158,2018-01-14,3,23
159,2018-01-21,5,28
160,2018-01-28,6,25
161,2018-02-04,3,30
162,2018-02-11,3,30
163,2018-02-18,7,25
164,2018-02-25,6,20
165,2018-03-04,11,21
166,2018-03-11,5,25
167,2018-03-18,6,24
168,2018-03-25,6,19
169,2018-04-01,6,25
170,2018-04-08,7,23
171,2018-04-15,3,22
172,2018-04-22,6,25
173,2018-04-29,5,21
174,2018-05-06,7,20
175,2018-05-13,5,19
176,2018-05-20,7,18
177,2018-05-27,7,25
178,2018-06-03,8,20
179,2018-06-10,5,20
180,2018-06-17,2,17
181,2018-06-24,7,18
182,2018-07-01,6,12
183,2018-07-08,6,21
184,2018-07-15,3,16
185,2018-07-22,3,20
186,2018-07-29,7,21
187,2018-08-05,4,20
188,2018-08-12,5,14
189,2018-08-19,4,20
190,2018-08-26,4,19
191,2018-09-02,7,23
192,2018-09-09,6,26
193,2018-09-16,7,30
194,2018-09-23,7,24
195,2018-09-30,4,27
196,2018-10-07,4,24
197,2018-10-14,6,23
198,2018-10-21,4,23
199,2018-10-28,7,29
200,2018-11-04,6,29
201,2018-11-11,6,30
202,2018-11-18,15,20
203,2018-11-25,22,26
204,2018-12-02,12,29
205,2018-12-09,10,22
206,2018-12-16,10,23
207,2018-12-23,9,19
208,2018-12-30,7,19
209,2019-01-06,9,25
210,2019-01-13,9,20
211,2019-01-20,7,18
212,2019-01-27,4,21
213,2019-02-03,6,28
214,2019-02-10,6,21
215,2019-02-17,8,24
216,2019-02-24,7,23
217,2019-03-03,7,29
218,2019-03-10,4,23
219,2019-03-17,6,21
220,2019-03-24,13,21
221,2019-03-31,10,21
222,2019-04-07,9,22
223,2019-04-14,9,21
224,2019-04-21,8,23
225,2019-04-28,8,26
226,2019-05-05,8,19
227,2019-05-12,13,22
228,2019-05-19,7,25
229,2019-05-26,8,19
230,2019-06-02,9,20
231,2019-06-09,12,13
232,2019-06-16,25,18
233,2019-06-23,24,13
234,2019-06-30,7,15
235,2019-07-07,9,15
236,2019-07-14,9,20
237,2019-07-21,8,18
238,2019-07-28,7,16
239,2019-08-04,7,15
240,2019-08-11,7,14
241,2019-08-18,10,17
242,2019-08-25,10,12
243,2019-09-01,9,26
244,2019-09-08,5,33
245,2019-09-15,7,23
246,2019-09-22,4,24
247,2019-09-29,6,22
248,2019-10-06,7,27
249,2019-10-13,5,24
250,2019-10-20,3,24
251,2019-10-27,5,32
252,2019-11-03,6,26
253,2019-11-10,5,26
254,2019-11-17,6,26
255,2019-11-24,4,26
256,2019-12-01,7,27
257,2019-12-08,5,22
258,2019-12-15,7,26
259,2019-12-22,5,18
260,2019-12-29,8,21
