,date,U2,Alphabet
0,2015-01-04,19,61
1,2015-01-11,10,67
2,2015-01-18,16,69
3,2015-01-25,16,59
4,2015-02-01,22,60
5,2015-02-08,26,65
6,2015-02-15,11,49
7,2015-02-22,12,69
8,2015-03-01,12,50
9,2015-03-08,17,53
10,2015-03-15,19,69
11,2015-03-22,14,48
12,2015-03-29,17,57
13,2015-04-05,19,52
14,2015-04-12,24,57
15,2015-04-19,19,52
16,2015-04-26,21,71
17,2015-05-03,28,56
18,2015-05-10,33,58
19,2015-05-17,24,63
20,2015-05-24,33,78
21,2015-05-31,27,45
22,2015-06-07,15,53
23,2015-06-14,13,45
24,2015-06-21,52,45
25,2015-06-28,54,49
26,2015-07-05,36,46
27,2015-07-12,19,32
28,2015-07-19,16,49
29,2015-07-26,20,46
30,2015-08-02,17,39
31,2015-08-09,23,100
32,2015-08-16,19,55
33,2015-08-23,15,44
34,2015-08-30,21,81
35,2015-09-06,7,96
36,2015-09-13,10,83
37,2015-09-20,11,88
38,2015-09-27,14,78
39,2015-10-04,12,86
40,2015-10-11,14,68
41,2015-10-18,10,84
42,2015-10-25,8,74
43,2015-11-01,14,74
44,2015-11-08,19,86
45,2015-11-15,14,65
46,2015-11-22,16,56
47,2015-11-29,15,64
48,2015-12-06,21,71
49,2015-12-13,16,72
50,2015-12-20,14,50
51,2015-12-27,24,42
52,2016-01-03,4,77
53,2016-01-10,8,48
54,2016-01-17,9,51
55,2016-01-24,0,68
56,2016-01-31,17,70
57,2016-02-07,14,69
58,2016-02-14,11,71
59,2016-02-21,15,68
60,2016-02-28,14,53
61,2016-03-06,21,66
62,2016-03-13,14,60
63,2016-03-20,16,53
64,2016-03-27,14,64
65,2016-04-03,15,63
66,2016-04-10,16,70
67,2016-04-17,7,61
68,2016-04-24,6,60
69,2016-05-01,13,50
70,2016-05-08,8,66
71,2016-05-15,10,64
72,2016-05-22,12,59
73,2016-05-29,18,52
74,2016-06-05,5,52
75,2016-06-12,14,44
76,2016-06-19,7,41
77,2016-06-26,18,49
78,2016-07-03,10,52
79,2016-07-10,6,49
80,2016-07-17,9,46
81,2016-07-24,9,40
82,2016-07-31,11,47
83,2016-08-07,14,39
84,2016-08-14,14,37
85,2016-08-21,7,59
86,2016-08-28,13,80
87,2016-09-04,6,71
88,2016-09-11,10,82
89,2016-09-18,12,81
90,2016-09-25,16,78
91,2016-10-02,13,71
92,2016-10-09,11,67
93,2016-10-16,6,73
94,2016-10-23,9,65
95,2016-10-30,13,65
96,2016-11-06,8,49
97,2016-11-13,12,60
98,2016-11-20,14,48
99,2016-11-27,12,63
100,2016-12-04,9,58
101,2016-12-11,15,50
102,2016-12-18,13,68
103,2016-12-25,18,45
104,2017-01-01,25,61
105,2017-01-08,77,56
106,2017-01-15,40,51
107,2017-01-22,21,62
108,2017-01-29,9,67
