,date,Bruno Mars,Alphabet
0,2015-01-04,31,37
1,2015-01-11,46,41
2,2015-01-18,43,37
3,2015-01-25,33,42
4,2015-02-01,32,55
5,2015-02-08,26,37
6,2015-02-15,28,37
7,2015-02-22,21,61
8,2015-03-01,25,29
9,2015-03-08,18,35
10,2015-03-15,15,34
11,2015-03-22,28,24
12,2015-03-29,30,38
13,2015-04-05,11,42
14,2015-04-12,14,49
15,2015-04-19,12,50
16,2015-04-26,14,26
17,2015-05-03,0,43
18,2015-05-10,24,34
19,2015-05-17,0,19
20,2015-05-24,13,13
21,2015-05-31,29,26
22,2015-06-07,19,26
23,2015-06-14,18,18
24,2015-06-21,10,0
25,2015-06-28,11,25
26,2015-07-05,17,15
27,2015-07-12,0,30
28,2015-07-19,0,28
29,2015-07-26,0,36
30,2015-08-02,0,24
31,2015-08-09,18,64
32,2015-08-16,19,42
33,2015-08-23,16,69
34,2015-08-30,0,57
35,2015-09-06,28,50
36,2015-09-13,30,59
37,2015-09-20,0,30
38,2015-09-27,17,57
39,2015-10-04,15,46
40,2015-10-11,10,55
41,2015-10-18,22,57
42,2015-10-25,7,43
43,2015-11-01,0,50
44,2015-11-08,16,38
45,2015-11-15,18,81
46,2015-11-22,26,26
47,2015-11-29,0,38
48,2015-12-06,9,47
49,2015-12-13,0,37
50,2015-12-20,17,43
51,2015-12-27,14,30
52,2016-01-03,10,20
53,2016-01-10,10,33
54,2016-01-17,0,26
55,2016-01-24,17,21
56,2016-01-31,15,47
57,2016-02-07,95,41
58,2016-02-14,9,38
59,2016-02-21,10,37
60,2016-02-28,5,40
61,2016-03-06,18,64
62,2016-03-13,19,52
63,2016-03-20,7,52
64,2016-03-27,11,34
65,2016-04-03,17,33
66,2016-04-10,6,36
67,2016-04-17,11,37
68,2016-04-24,6,55
69,2016-05-01,15,47
70,2016-05-08,0,31
71,2016-05-15,9,42
72,2016-05-22,0,24
73,2016-05-29,15,22
74,2016-06-05,11,26
75,2016-06-12,0,21
