,date,Coldplay,Alphabet
0,2015-01-04,0,19
1,2015-01-11,3,21
2,2015-01-18,7,19
3,2015-01-25,6,22
4,2015-02-01,0,29
5,2015-02-08,12,19
6,2015-02-15,0,19
7,2015-02-22,10,32
8,2015-03-01,0,15
9,2015-03-08,0,18
10,2015-03-15,6,18
11,2015-03-22,6,12
12,2015-03-29,13,19
13,2015-04-05,0,22
14,2015-04-12,4,25
15,2015-04-19,6,26
16,2015-04-26,0,13
17,2015-05-03,0,22
18,2015-05-10,0,17
19,2015-05-17,0,10
20,2015-05-24,5,7
21,2015-05-31,0,14
22,2015-06-07,0,13
23,2015-06-14,14,9
24,2015-06-21,6,0
25,2015-06-28,0,13
26,2015-07-05,5,8
27,2015-07-12,6,15
28,2015-07-19,0,14
29,2015-07-26,0,19
30,2015-08-02,0,12
31,2015-08-09,7,33
32,2015-08-16,14,21
33,2015-08-23,4,35
34,2015-08-30,0,29
35,2015-09-06,0,26
36,2015-09-13,13,31
37,2015-09-20,0,16
38,2015-09-27,4,30
39,2015-10-04,13,24
40,2015-10-11,10,28
41,2015-10-18,7,29
42,2015-10-25,4,22
43,2015-11-01,3,26
44,2015-11-08,7,20
45,2015-11-15,8,42
46,2015-11-22,5,13
47,2015-11-29,14,19
48,2015-12-06,7,25
49,2015-12-13,5,19
50,2015-12-20,5,22
51,2015-12-27,7,15
52,2016-01-03,10,10
53,2016-01-10,6,17
54,2016-01-17,10,14
55,2016-01-24,9,11
56,2016-01-31,11,24
57,2016-02-07,100,21
58,2016-02-14,0,20
59,2016-02-21,2,19
60,2016-02-28,11,21
61,2016-03-06,4,33
62,2016-03-13,8,27
63,2016-03-20,6,27
64,2016-03-27,9,17
65,2016-04-03,6,17
66,2016-04-10,8,18
67,2016-04-17,3,19
68,2016-04-24,3,29
69,2016-05-01,6,24
70,2016-05-08,3,16
71,2016-05-15,5,22
72,2016-05-22,0,13
73,2016-05-29,6,11
74,2016-06-05,0,13
75,2016-06-12,0,11
76,2016-06-19,0,17
77,2016-06-26,6,8
78,2016-07-03,0,16
79,2016-07-10,6,15
80,2016-07-17,16,5
81,2016-07-24,27,16
82,2016-07-31,10,16
83,2016-08-07,7,25
84,2016-08-14,0,17
85,2016-08-21,0,24
86,2016-08-28,7,25
87,2016-09-04,7,17
88,2016-09-11,7,18
89,2016-09-18,0,24
90,2016-09-25,3,13
91,2016-10-02,2,13
92,2016-10-09,5,9
93,2016-10-16,0,26
94,2016-10-23,4,15
95,2016-10-30,4,22
96,2016-11-06,0,9
97,2016-11-13,3,21
98,2016-11-20,0,16
99,2016-11-27,0,15
100,2016-12-04,3,15
101,2016-12-11,3,22
102,2016-12-18,4,17
103,2016-12-25,4,14
104,2017-01-01,5,18
105,2017-01-08,4,11
106,2017-01-15,0,17
107,2017-01-22,5,17
108,2017-01-29,4,21
109,2017-02-05,6,14
110,2017-02-12,8,23
111,2017-02-19,6,21
112,2017-02-26,3,24
113,2017-03-05,3,14
114,2017-03-12,0,20
115,2017-03-19,0,13
116,2017-03-26,4,16
117,2017-04-02,5,4
118,2017-04-09,9,13
119,2017-04-16,10,17
120,2017-04-23,0,18
121,2017-04-30,0,17
122,2017-05-07,7,23
123,2017-05-14,6,30
124,2017-05-21,9,7
125,2017-05-28,6,11
126,2017-06-04,13,14
127,2017-06-11,0,13
128,2017-06-18,0,5
129,2017-06-25,0,15
130,2017-07-02,10,15
131,2017-07-09,7,11
132,2017-07-16,11,14
133,2017-07-23,4,10
134,2017-07-30,0,10
135,2017-08-06,10,16
136,2017-08-13,5,19
137,2017-08-20,10,16
138,2017-08-27,4,25
139,2017-09-03,5,17
140,2017-09-10,0,22
141,2017-09-17,4,25
142,2017-09-24,5,26
143,2017-10-01,3,14
144,2017-10-08,7,13
145,2017-10-15,2,29
146,2017-10-22,6,24
147,2017-10-29,0,10
148,2017-11-05,4,22
149,2017-11-12,0,22
150,2017-11-19,7,13
151,2017-11-26,4,12
152,2017-12-03,4,14
153,2017-12-10,2,21
154,2017-12-17,0,11
155,2017-12-24,10,15
156,2017-12-31,4,12
157,2018-01-07,0,14
158,2018-01-14,6,18
159,2018-01-21,4,25
160,2018-01-28,7,17
161,2018-02-04,4,27
162,2018-02-11,5,25
163,2018-02-18,6,20
164,2018-02-25,0,17
165,2018-03-04,3,28
166,2018-03-11,0,14
167,2018-03-18,0,22
168,2018-03-25,9,15
169,2018-04-01,0,14
170,2018-04-08,0,23
171,2018-04-15,0,25
172,2018-04-22,3,20
173,2018-04-29,10,18
174,2018-05-06,0,14
175,2018-05-13,2,17
176,2018-05-20,0,15
177,2018-05-27,4,21
178,2018-06-03,4,9
179,2018-06-10,0,12
180,2018-06-17,3,11
181,2018-06-24,0,15
182,2018-07-01,8,4
183,2018-07-08,11,15
184,2018-07-15,7,9
185,2018-07-22,4,11
186,2018-07-29,0,15
187,2018-08-05,0,19
188,2018-08-12,0,15
189,2018-08-19,3,18
190,2018-08-26,3,22
191,2018-09-02,9,21
192,2018-09-09,0,11
193,2018-09-16,0,11
194,2018-09-23,0,9
195,2018-09-30,0,26
196,2018-10-07,4,12
197,2018-10-14,2,24
198,2018-10-21,4,18
199,2018-10-28,2,18
200,2018-11-04,0,15
201,2018-11-11,0,20
202,2018-11-18,3,16
203,2018-11-25,0,17
204,2018-12-02,3,11
205,2018-12-09,0,12
206,2018-12-16,0,14
207,2018-12-23,3,18
208,2018-12-30,4,8
209,2019-01-06,0,18
210,2019-01-13,2,11
211,2019-01-20,0,18
212,2019-01-27,3,17
213,2019-02-03,0,16
214,2019-02-10,0,22
215,2019-02-17,5,15
216,2019-02-24,0,16
217,2019-03-03,3,20
218,2019-03-10,2,16
219,2019-03-17,5,31
220,2019-03-24,5,18
221,2019-03-31,0,16
222,2019-04-07,0,10
223,2019-04-14,4,18
224,2019-04-21,5,12
225,2019-04-28,3,20
226,2019-05-05,0,17
227,2019-05-12,0,21
228,2019-05-19,0,19
229,2019-05-26,0,15
230,2019-06-02,0,12
231,2019-06-09,4,9
232,2019-06-16,7,14
233,2019-06-23,0,9
234,2019-06-30,5,8
235,2019-07-07,0,11
236,2019-07-14,8,10
237,2019-07-21,0,17
238,2019-07-28,3,13
239,2019-08-04,3,15
240,2019-08-11,0,10
241,2019-08-18,0,26
242,2019-08-25,2,18
243,2019-09-01,0,14
244,2019-09-08,0,25
245,2019-09-15,0,21
246,2019-09-22,2,15
247,2019-09-29,0,25
248,2019-10-06,2,27
249,2019-10-13,5,23
250,2019-10-20,5,28
251,2019-10-27,4,18
252,2019-11-03,3,20
253,2019-11-10,3,22
254,2019-11-17,0,23
255,2019-11-24,3,4
256,2019-12-01,0,17
257,2019-12-08,0,19
258,2019-12-15,0,11
259,2019-12-22,0,2
260,2019-12-29,4,16
