,date,Metallica,Alphabet
0,2015-01-04,12,32
1,2015-01-11,7,36
2,2015-01-18,21,32
3,2015-01-25,17,36
4,2015-02-01,0,48
5,2015-02-08,14,32
6,2015-02-15,14,33
7,2015-02-22,19,54
8,2015-03-01,16,26
9,2015-03-08,22,31
10,2015-03-15,25,30
11,2015-03-22,0,20
12,2015-03-29,13,33
13,2015-04-05,20,36
14,2015-04-12,5,42
15,2015-04-19,0,44
16,2015-04-26,30,23
17,2015-05-03,21,37
18,2015-05-10,0,29
19,2015-05-17,11,17
20,2015-05-24,17,11
21,2015-05-31,11,23
22,2015-06-07,24,22
23,2015-06-14,0,15
24,2015-06-21,18,0
25,2015-06-28,12,22
26,2015-07-05,20,13
27,2015-07-12,9,26
28,2015-07-19,13,24
29,2015-07-26,15,31
30,2015-08-02,0,21
31,2015-08-09,8,56
32,2015-08-16,9,36
33,2015-08-23,17,60
34,2015-08-30,9,50
35,2015-09-06,11,44
36,2015-09-13,7,52
37,2015-09-20,0,26
38,2015-09-27,10,50
39,2015-10-04,18,40
40,2015-10-11,22,48
41,2015-10-18,23,49
42,2015-10-25,13,38
43,2015-11-01,14,44
44,2015-11-08,23,33
45,2015-11-15,10,71
46,2015-11-22,18,22
47,2015-11-29,9,33
48,2015-12-06,8,41
49,2015-12-13,18,32
50,2015-12-20,30,37
51,2015-12-27,37,26
52,2016-01-03,5,18
53,2016-01-10,12,29
54,2016-01-17,10,23
55,2016-01-24,18,18
56,2016-01-31,25,41
57,2016-02-07,19,36
58,2016-02-14,14,33
59,2016-02-21,22,32
60,2016-02-28,17,35
61,2016-03-06,10,56
62,2016-03-13,15,45
63,2016-03-20,25,45
64,2016-03-27,15,29
65,2016-04-03,12,29
66,2016-04-10,21,31
67,2016-04-17,19,32
68,2016-04-24,42,48
69,2016-05-01,24,41
70,2016-05-08,20,27
71,2016-05-15,0,37
72,2016-05-22,5,21
73,2016-05-29,16,19
74,2016-06-05,10,23
75,2016-06-12,11,18
76,2016-06-19,7,29
77,2016-06-26,28,14
78,2016-07-03,11,26
79,2016-07-10,14,25
80,2016-07-17,12,9
81,2016-07-24,22,27
82,2016-07-31,11,27
83,2016-08-07,9,43
84,2016-08-14,26,29
85,2016-08-21,15,40
86,2016-08-28,19,42
87,2016-09-04,0,29
88,2016-09-11,17,30
89,2016-09-18,20,41
90,2016-09-25,17,22
91,2016-10-02,15,21
92,2016-10-09,18,15
93,2016-10-16,26,44
94,2016-10-23,15,25
95,2016-10-30,30,38
96,2016-11-06,17,15
97,2016-11-13,48,36
98,2016-11-20,33,27
99,2016-11-27,39,25
100,2016-12-04,44,24
101,2016-12-11,16,37
102,2016-12-18,25,29
103,2016-12-25,20,24
104,2017-01-01,22,31
105,2017-01-08,29,19
106,2017-01-15,31,29
107,2017-01-22,17,29
108,2017-01-29,10,35
109,2017-02-05,20,24
110,2017-02-12,100,39
111,2017-02-19,29,36
112,2017-02-26,21,40
113,2017-03-05,15,24
114,2017-03-12,16,35
115,2017-03-19,18,22
116,2017-03-26,8,28
117,2017-04-02,14,7
118,2017-04-09,0,22
119,2017-04-16,19,29
120,2017-04-23,16,30
121,2017-04-30,10,29
122,2017-05-07,43,39
123,2017-05-14,35,51
