,date,The Rolling Stones,Alphabet
0,2015-01-04,27,45
1,2015-01-11,0,50
2,2015-01-18,0,44
3,2015-01-25,23,50
4,2015-02-01,7,67
5,2015-02-08,14,45
6,2015-02-15,17,45
7,2015-02-22,19,74
8,2015-03-01,7,35
9,2015-03-08,16,43
10,2015-03-15,9,42
11,2015-03-22,13,28
12,2015-03-29,51,46
13,2015-04-05,49,51
14,2015-04-12,17,59
15,2015-04-19,43,61
16,2015-04-26,29,32
17,2015-05-03,35,52
18,2015-05-10,15,41
19,2015-05-17,16,23
20,2015-05-24,43,16
21,2015-05-31,44,32
22,2015-06-07,36,31
23,2015-06-14,100,21
24,2015-06-21,68,0
25,2015-06-28,37,31
26,2015-07-05,18,18
27,2015-07-12,17,36
28,2015-07-19,0,34
29,2015-07-26,15,44
30,2015-08-02,9,29
31,2015-08-09,0,77
32,2015-08-16,12,50
33,2015-08-23,0,83
34,2015-08-30,8,69
35,2015-09-06,0,61
36,2015-09-13,0,72
37,2015-09-20,0,37
38,2015-09-27,18,69
39,2015-10-04,9,56
40,2015-10-11,17,66
41,2015-10-18,0,69
42,2015-10-25,0,52
43,2015-11-01,19,61
44,2015-11-08,33,46
45,2015-11-15,0,98
46,2015-11-22,0,31
47,2015-11-29,8,46
48,2015-12-06,8,58
49,2015-12-13,10,45
50,2015-12-20,16,52
51,2015-12-27,14,36
52,2016-01-03,31,24
53,2016-01-10,9,40
54,2016-01-17,0,32
55,2016-01-24,0,25
56,2016-01-31,18,57
57,2016-02-07,11,50
58,2016-02-14,22,46
59,2016-02-21,0,45
60,2016-02-28,0,48
61,2016-03-06,10,78
62,2016-03-13,8,63
63,2016-03-20,12,63
64,2016-03-27,16,41
65,2016-04-03,10,40
66,2016-04-10,35,43
67,2016-04-17,18,44
68,2016-04-24,0,67
69,2016-05-01,16,57
70,2016-05-08,13,38
71,2016-05-15,18,51
72,2016-05-22,8,30
73,2016-05-29,11,27
74,2016-06-05,13,32
75,2016-06-12,10,25
76,2016-06-19,11,41
77,2016-06-26,18,19
78,2016-07-03,0,36
79,2016-07-10,7,35
80,2016-07-17,0,13
81,2016-07-24,7,37
