,date,The Rolling Stones,Pink,U2,Bruno Mars,Alphabet
0,2015-01-04,0,0,0,29,53
1,2015-01-11,0,0,0,32,49
2,2015-01-18,0,0,0,0,50
3,2015-01-25,0,0,0,39,40
4,2015-02-01,0,0,0,46,42
5,2015-02-08,0,0,0,22,63
6,2015-02-15,0,0,0,29,52
7,2015-02-22,0,0,0,21,37
8,2015-03-01,0,0,0,37,35
9,2015-03-08,0,0,0,17,42
10,2015-03-15,0,0,0,23,16
11,2015-03-22,0,0,0,34,28
12,2015-03-29,0,0,0,0,25
13,2015-04-05,0,0,0,0,69
14,2015-04-12,0,0,0,29,65
15,2015-04-19,0,0,0,34,44
16,2015-04-26,0,0,0,33,53
17,2015-05-03,0,0,0,0,0
18,2015-05-10,0,0,0,12,40
19,2015-05-17,0,0,0,0,62
20,2015-05-24,0,0,0,29,27
21,2015-05-31,0,0,0,0,41
22,2015-06-07,0,0,0,17,39
23,2015-06-14,0,0,0,45,17
24,2015-06-21,0,0,0,0,53
25,2015-06-28,0,0,0,0,40
26,2015-07-05,0,0,0,0,54
27,2015-07-12,0,0,0,0,34
28,2015-07-19,0,0,0,53,38
29,2015-07-26,0,0,0,0,31
30,2015-08-02,0,0,0,0,19
31,2015-08-09,0,0,0,31,39
32,2015-08-16,0,0,0,43,61
33,2015-08-23,0,0,0,16,77
34,2015-08-30,0,0,0,29,61
35,2015-09-06,0,0,0,0,58
36,2015-09-13,0,0,0,21,66
37,2015-09-20,0,0,0,15,62
38,2015-09-27,0,0,0,0,29
39,2015-10-04,0,0,0,37,68
40,2015-10-11,0,0,0,19,61
41,2015-10-18,0,0,0,0,43
42,2015-10-25,0,0,0,14,51
43,2015-11-01,0,0,0,12,43
44,2015-11-08,0,0,0,0,65
45,2015-11-15,0,0,0,26,87
46,2015-11-22,0,0,0,15,19
47,2015-11-29,0,0,0,18,45
48,2015-12-06,0,0,0,0,60
49,2015-12-13,0,0,0,11,26
50,2015-12-20,0,0,0,40,27
51,2015-12-27,0,0,0,63,76
52,2016-01-03,0,0,0,19,20
53,2016-01-10,0,0,0,0,50
54,2016-01-17,0,0,0,44,31
55,2016-01-24,0,0,0,59,28
56,2016-01-31,0,0,0,0,62
57,2016-02-07,0,0,0,100,31
58,2016-02-14,0,0,0,48,35
59,2016-02-21,0,0,0,10,15
60,2016-02-28,0,0,0,10,41
61,2016-03-06,0,0,0,15,27
62,2016-03-13,0,0,0,36,31
63,2016-03-20,0,0,0,0,44
64,2016-03-27,0,0,0,0,63
65,2016-04-03,0,0,0,26,76
66,2016-04-10,0,0,0,39,35
67,2016-04-17,0,0,0,17,38
68,2016-04-24,0,0,0,10,51
69,2016-05-01,0,0,0,12,86
70,2016-05-08,0,0,0,25,44
71,2016-05-15,0,0,0,23,43
72,2016-05-22,0,0,0,0,34
73,2016-05-29,0,0,0,21,45
74,2016-06-05,0,0,0,13,48
75,2016-06-12,0,0,0,0,36
76,2016-06-19,0,0,0,21,57
77,2016-06-26,0,0,0,18,11
78,2016-07-03,0,0,0,0,44
79,2016-07-10,0,0,0,0,21
80,2016-07-17,0,0,0,13,28
81,2016-07-24,0,0,0,28,22
82,2016-07-31,0,0,0,17,74
83,2016-08-07,0,0,0,0,52
84,2016-08-14,0,0,0,23,17
85,2016-08-21,0,0,0,20,52
86,2016-08-28,0,0,0,35,58
87,2016-09-04,0,28,0,0,56
88,2016-09-11,0,0,0,0,26
89,2016-09-18,0,0,0,0,45
90,2016-09-25,0,11,0,0,40
91,2016-10-02,0,0,0,0,46
92,2016-10-09,0,0,0,0,30
93,2016-10-16,0,0,0,0,54
94,2016-10-23,0,0,0,0,27
95,2016-10-30,0,0,0,0,23
96,2016-11-06,0,10,0,0,28
97,2016-11-13,0,19,0,0,58
98,2016-11-20,0,0,0,0,46
99,2016-11-27,0,28,0,0,49
100,2016-12-04,0,9,0,0,68
101,2016-12-11,0,19,0,0,46
102,2016-12-18,0,33,0,0,40
103,2016-12-25,0,0,0,0,18
104,2017-01-01,0,0,0,0,60
105,2017-01-08,0,0,0,0,44
106,2017-01-15,0,16,0,0,28
107,2017-01-22,0,16,0,0,68
108,2017-01-29,0,0,0,0,93
109,2017-02-05,0,0,0,0,24
110,2017-02-12,0,13,0,0,54
111,2017-02-19,0,0,0,0,60
112,2017-02-26,0,0,0,0,52
113,2017-03-05,0,11,0,0,29
114,2017-03-12,0,0,0,0,26
115,2017-03-19,0,13,0,0,46
116,2017-03-26,0,0,0,0,46
117,2017-04-02,0,0,0,0,42
118,2017-04-09,0,0,0,0,35
