,date,Ed Sheeran,Guns N' Roses,Coldplay,Metallica,Alphabet
0,2015-01-04,29,0,0,4,20
1,2015-01-11,28,0,0,5,22
2,2015-01-18,32,0,0,8,23
3,2015-01-25,32,0,0,5,23
4,2015-02-01,32,0,0,6,22
5,2015-02-08,74,0,0,6,27
6,2015-02-15,43,0,0,7,23
7,2015-02-22,37,0,0,7,22
8,2015-03-01,38,0,0,8,24
9,2015-03-08,29,0,0,7,23
10,2015-03-15,24,0,0,7,18
11,2015-03-22,26,0,0,13,21
12,2015-03-29,19,0,0,8,20
13,2015-04-05,23,0,0,8,20
14,2015-04-12,22,0,0,7,21
15,2015-04-19,16,0,0,8,20
16,2015-04-26,17,0,0,7,21
17,2015-05-03,19,0,0,8,20
18,2015-05-10,20,0,0,6,20
19,2015-05-17,25,0,0,10,21
20,2015-05-24,21,0,0,7,19
21,2015-05-31,24,0,0,7,21
22,2015-06-07,21,0,0,6,17
23,2015-06-14,25,0,0,7,17
24,2015-06-21,27,0,0,6,16
25,2015-06-28,42,0,0,7,15
26,2015-07-05,25,0,0,9,17
27,2015-07-12,22,0,0,7,16
28,2015-07-19,26,0,0,8,20
29,2015-07-26,22,0,0,14,17
30,2015-08-02,25,0,0,23,15
31,2015-08-09,28,0,0,9,44
32,2015-08-16,29,0,0,7,24
33,2015-08-23,25,0,0,7,26
34,2015-08-30,23,0,0,8,28
35,2015-09-06,21,0,0,9,23
36,2015-09-13,41,0,0,8,24
37,2015-09-20,17,0,0,8,25
38,2015-09-27,19,0,0,7,25
39,2015-10-04,15,0,0,7,26
40,2015-10-11,13,0,0,6,27
41,2015-10-18,14,0,0,5,24
42,2015-10-25,14,0,0,7,23
43,2015-11-01,12,0,0,9,25
44,2015-11-08,15,0,0,7,23
45,2015-11-15,12,0,0,7,24
46,2015-11-22,11,0,0,9,21
47,2015-11-29,10,0,0,7,22
48,2015-12-06,10,0,0,6,24
49,2015-12-13,10,0,0,8,23
50,2015-12-20,12,0,0,9,20
51,2015-12-27,10,0,0,8,19
52,2016-01-03,10,0,0,7,18
53,2016-01-10,9,0,0,7,20
54,2016-01-17,10,0,0,8,19
55,2016-01-24,10,0,0,8,21
56,2016-01-31,9,0,0,8,29
57,2016-02-07,9,0,0,14,20
58,2016-02-14,19,0,0,8,21
59,2016-02-21,8,0,0,9,22
60,2016-02-28,7,0,0,7,22
