,date,The Rolling Stones,Pink,U2,Bruno Mars,Alphabet
0,2015-01-04,4,7,7,24,0
1,2015-01-11,7,3,6,36,0
2,2015-01-18,14,6,4,24,0
3,2015-01-25,3,12,0,29,0
4,2015-02-01,5,2,5,29,0
5,2015-02-08,7,3,0,14,0
6,2015-02-15,6,0,8,19,0
7,2015-02-22,6,6,4,21,0
8,2015-03-01,8,5,6,22,0
9,2015-03-08,3,4,7,13,0
10,2015-03-15,11,0,0,15,0
11,2015-03-22,9,4,4,23,0
12,2015-03-29,31,0,6,11,0
13,2015-04-05,42,8,5,10,0
14,2015-04-12,22,10,3,15,0
15,2015-04-19,14,3,2,8,0
16,2015-04-26,13,4,5,15,0
17,2015-05-03,14,2,7,16,0
18,2015-05-10,13,5,14,8,0
19,2015-05-17,12,4,7,15,0
20,2015-05-24,5,4,12,15,0
21,2015-05-31,11,4,5,9,0
22,2015-06-07,20,4,0,17,0
23,2015-06-14,9,8,7,11,0
24,2015-06-21,81,5,6,8,0
25,2015-06-28,67,2,8,6,0
26,2015-07-05,8,9,7,8,0
27,2015-07-12,16,0,6,3,0
28,2015-07-19,5,4,5,16,0
29,2015-07-26,6,5,5,8,0
30,2015-08-02,0,6,8,7,0
31,2015-08-09,9,0,15,5,0
32,2015-08-16,5,8,2,5,0
33,2015-08-23,4,5,5,5,0
34,2015-08-30,5,4,3,12,0
35,2015-09-06,6,3,2,6,0
36,2015-09-13,7,2,5,14,0
37,2015-09-20,8,5,7,10,0
38,2015-09-27,6,5,2,9,0
39,2015-10-04,0,14,5,5,0
40,2015-10-11,6,3,4,12,0
41,2015-10-18,2,2,4,12,0
42,2015-10-25,3,6,4,10,0
43,2015-11-01,3,6,4,9,0
44,2015-11-08,4,0,3,7,0
45,2015-11-15,6,5,3,17,0
46,2015-11-22,5,4,0,14,0
47,2015-11-29,1,5,3,14,0
48,2015-12-06,3,3,4,14,0
49,2015-12-13,5,4,6,18,0
50,2015-12-20,3,4,4,13,0
51,2015-12-27,4,3,4,18,0
52,2016-01-03,3,5,2,6,0
53,2016-01-10,4,5,6,4,0
54,2016-01-17,7,4,3,9,0
55,2016-01-24,6,6,0,8,0
56,2016-01-31,6,3,6,11,0
57,2016-02-07,5,3,3,73,0
