,date,The Rolling Stones,Pink,U2,Bruno Mars,Alphabet
0,2015-01-04,2,0,2,10,14
1,2015-01-11,5,0,7,24,19
2,2015-01-18,1,0,3,13,16
3,2015-01-25,3,0,4,20,12
4,2015-02-01,5,0,3,22,14
5,2015-02-08,2,0,0,18,12
6,2015-02-15,2,0,4,15,13
7,2015-02-22,4,0,0,17,9
8,2015-03-01,1,0,2,10,13
9,2015-03-08,3,0,6,17,12
10,2015-03-15,3,0,3,15,16
11,2015-03-22,3,0,0,13,13
12,2015-03-29,11,0,1,9,13
13,2015-04-05,8,0,3,12,15
14,2015-04-12,7,0,1,10,17
15,2015-04-19,5,0,0,5,14
16,2015-04-26,3,0,2,9,11
17,2015-05-03,4,0,8,8,14
18,2015-05-10,3,0,8,6,12
19,2015-05-17,6,0,5,6,15
20,2015-05-24,5,0,7,7,16
21,2015-05-31,11,0,7,9,9
22,2015-06-07,7,0,5,9,11
23,2015-06-14,8,0,6,3,9
24,2015-06-21,5,0,3,3,13
25,2015-06-28,4,0,4,8,12
26,2015-07-05,4,0,3,0,13
27,2015-07-12,0,0,3,6,12
28,2015-07-19,3,0,3,9,15
29,2015-07-26,5,0,2,6,18
30,2015-08-02,7,0,5,7,14
31,2015-08-09,5,0,1,4,26
32,2015-08-16,0,0,3,4,25
33,2015-08-23,1,0,4,6,16
34,2015-08-30,2,0,4,5,23
35,2015-09-06,5,0,6,5,18
36,2015-09-13,4,0,2,2,20
37,2015-09-20,4,0,2,5,24
38,2015-09-27,4,0,4,2,22
39,2015-10-04,3,0,2,7,19
40,2015-10-11,5,0,2,6,12
41,2015-10-18,3,0,2,5,17
42,2015-10-25,6,0,3,4,21
43,2015-11-01,6,0,5,4,13
44,2015-11-08,8,0,4,7,20
45,2015-11-15,3,0,2,4,22
46,2015-11-22,3,0,3,7,12
47,2015-11-29,4,0,2,5,17
48,2015-12-06,5,0,2,4,15
49,2015-12-13,3,0,4,3,13
50,2015-12-20,4,0,2,6,11
51,2015-12-27,4,0,3,7,9
52,2016-01-03,5,0,4,4,14
53,2016-01-10,4,0,3,4,10
54,2016-01-17,3,0,2,6,16
55,2016-01-24,3,0,3,4,15
56,2016-01-31,2,0,3,8,16
57,2016-02-07,3,0,3,46,12
58,2016-02-14,3,0,2,11,18
59,2016-02-21,5,0,0,5,16
60,2016-02-28,5,0,1,7,13
61,2016-03-06,3,0,2,6,12
62,2016-03-13,4,0,1,6,12
63,2016-03-20,9,0,1,4,12
64,2016-03-27,3,0,2,2,10
65,2016-04-03,3,0,1,4,14
66,2016-04-10,1,0,4,3,14
67,2016-04-17,4,0,1,6,13
68,2016-04-24,2,0,2,4,13
69,2016-05-01,7,0,2,5,10
70,2016-05-08,0,0,0,0,0
71,2016-05-15,0,0,0,0,0
72,2016-05-22,0,0,0,0,0
73,2016-05-29,0,0,0,0,0
74,2016-06-05,0,0,0,0,0
75,2016-06-12,0,0,0,0,0
76,2016-06-19,0,0,0,0,0
77,2016-06-26,0,0,0,0,0
78,2016-07-03,0,0,0,0,0
79,2016-07-10,0,0,0,0,0
80,2016-07-17,0,0,0,0,0
81,2016-07-24,0,0,0,0,0
82,2016-07-31,0,0,0,0,0
83,2016-08-07,0,0,0,0,0
84,2016-08-14,0,0,0,0,0
85,2016-08-21,0,0,0,0,0
86,2016-08-28,0,0,0,0,0
87,2016-09-04,0,0,0,0,0
88,2016-09-11,0,0,0,0,0
89,2016-09-18,0,0,0,0,0
90,2016-09-25,0,0,0,0,0
91,2016-10-02,0,0,0,0,0
92,2016-10-09,0,0,0,0,0
93,2016-10-16,0,0,0,0,0
94,2016-10-23,0,0,0,0,0
95,2016-10-30,0,0,0,0,0
96,2016-11-06,0,0,0,0,0
97,2016-11-13,0,0,0,0,0
98,2016-11-20,0,0,0,0,0
99,2016-11-27,0,0,0,0,0
100,2016-12-04,0,0,0,0,0
101,2016-12-11,0,0,0,0,0
102,2016-12-18,0,0,0,0,0
103,2016-12-25,0,0,0,0,0
104,2017-01-01,0,0,0,0,0
105,2017-01-08,0,0,0,0,0
106,2017-01-15,0,0,0,0,0
107,2017-01-22,0,0,0,0,0
108,2017-01-29,0,0,0,0,0
109,2017-02-05,0,0,0,0,0
110,2017-02-12,0,0,0,0,0
111,2017-02-19,0,0,0,0,0
112,2017-02-26,0,0,0,0,0
113,2017-03-05,0,0,0,0,0
114,2017-03-12,0,0,0,0,0
115,2017-03-19,0,0,0,0,0
116,2017-03-26,0,0,0,0,0
117,2017-04-02,0,0,0,0,0
118,2017-04-09,0,0,0,0,0
119,2017-04-16,0,0,0,0,0
120,2017-04-23,0,0,0,0,0
121,2017-04-30,0,0,0,0,0
122,2017-05-07,0,0,0,0,0
123,2017-05-14,0,0,0,0,0
124,2017-05-21,0,0,0,0,0
125,2017-05-28,0,0,0,0,0
126,2017-06-04,0,0,0,0,0
127,2017-06-11,0,0,0,0,0
128,2017-06-18,0,0,0,0,0
129,2017-06-25,0,0,0,0,0
130,2017-07-02,0,0,0,0,0
131,2017-07-09,0,0,0,0,0
132,2017-07-16,0,0,0,0,0
133,2017-07-23,0,0,0,0,0
134,2017-07-30,0,0,0,0,0
135,2017-08-06,0,0,0,0,0
136,2017-08-13,0,0,0,0,0
137,2017-08-20,0,0,0,0,0
138,2017-08-27,0,0,0,0,0
139,2017-09-03,0,0,0,0,0
140,2017-09-10,0,0,0,0,0
141,2017-09-17,0,0,0,0,0
142,2017-09-24,0,0,0,0,0
143,2017-10-01,0,0,0,0,0
144,2017-10-08,0,0,0,0,0
145,2017-10-15,0,0,0,0,0
146,2017-10-22,0,0,0,0,0
147,2017-10-29,0,0,0,0,0
148,2017-11-05,0,0,0,0,0
149,2017-11-12,0,0,0,0,0
150,2017-11-19,0,0,0,0,0
151,2017-11-26,0,0,0,0,0
152,2017-12-03,0,0,0,0,0
153,2017-12-10,0,0,0,0,0
154,2017-12-17,0,0,0,0,0
155,2017-12-24,0,0,0,0,0
156,2017-12-31,0,0,0,0,0
157,2018-01-07,0,0,0,0,0
158,2018-01-14,0,0,0,0,0
159,2018-01-21,0,0,0,0,0
160,2018-01-28,0,0,0,0,0
161,2018-02-04,0,0,0,0,0
162,2018-02-11,0,0,0,0,0
163,2018-02-18,0,0,0,0,0
164,2018-02-25,0,0,0,0,0
165,2018-03-04,0,0,0,0,0
166,2018-03-11,0,0,0,0,0
167,2018-03-18,0,0,0,0,0
168,2018-03-25,0,0,0,0,0
169,2018-04-01,0,0,0,0,0
170,2018-04-08,0,0,0,0,0
171,2018-04-15,0,0,0,0,0
172,2018-04-22,0,0,0,0,0
173,2018-04-29,0,0,0,0,0
174,2018-05-06,0,0,0,0,0
175,2018-05-13,0,0,0,0,0
176,2018-05-20,0,0,0,0,0
177,2018-05-27,0,0,0,0,0
178,2018-06-03,0,0,0,0,0
179,2018-06-10,0,0,0,0,0
180,2018-06-17,0,0,0,0,0
181,2018-06-24,0,0,0,0,0
182,2018-07-01,0,0,0,0,0
183,2018-07-08,0,0,0,0,0
184,2018-07-15,0,0,0,0,0
185,2018-07-22,0,0,0,0,0
186,2018-07-29,0,0,0,0,0
187,2018-08-05,0,0,0,0,0
188,2018-08-12,0,0,0,0,0
189,2018-08-19,0,0,0,0,0
190,2018-08-26,0,0,0,0,0
191,2018-09-02,0,0,0,0,0
192,2018-09-09,0,0,0,0,0
193,2018-09-16,0,0,0,0,0
194,2018-09-23,0,0,0,0,0
195,2018-09-30,0,0,0,0,0
196,2018-10-07,0,0,0,0,0
197,2018-10-14,0,0,0,0,0
198,2018-10-21,0,0,0,0,0
199,2018-10-28,0,0,0,0,0
200,2018-11-04,0,0,0,0,0
201,2018-11-11,0,0,0,0,0
202,2018-11-18,0,0,0,0,0
203,2018-11-25,0,0,0,0,0
204,2018-12-02,0,0,0,0,0
205,2018-12-09,0,0,0,0,0
206,2018-12-16,0,0,0,0,0
207,2018-12-23,0,0,0,0,0
208,2018-12-30,0,0,0,0,0
209,2019-01-06,4,0,0,3,13
210,2019-01-13,43,0,1,3,14
211,2019-01-20,10,0,3,3,15
212,2019-01-27,4,0,1,5,13
213,2019-02-03,6,0,0,5,15
214,2019-02-10,5,0,3,10,16
215,2019-02-17,5,0,4,8,11
216,2019-02-24,5,0,2,12,10
217,2019-03-03,3,0,2,13,11
218,2019-03-10,4,0,1,9,14
219,2019-03-17,8,0,1,8,13
220,2019-03-24,27,0,1,7,12
221,2019-03-31,27,0,1,8,13
222,2019-04-07,10,0,2,7,15
223,2019-04-14,5,0,1,7,8
224,2019-04-21,7,0,1,4,9
225,2019-04-28,7,0,2,5,14
226,2019-05-05,4,0,3,6,12
227,2019-05-12,15,0,1,4,10
228,2019-05-19,13,0,1,6,12
229,2019-05-26,21,0,1,4,9
230,2019-06-02,14,0,2,4,13
231,2019-06-09,7,0,1,5,10
232,2019-06-16,11,0,2,4,10
233,2019-06-23,12,0,1,5,12
234,2019-06-30,13,0,2,6,9
235,2019-07-07,58,0,2,4,10
236,2019-07-14,100,0,0,4,10
237,2019-07-21,10,0,0,5,11
238,2019-07-28,7,0,1,9,13
239,2019-08-04,7,0,1,5,9
240,2019-08-11,3,0,1,4,18
241,2019-08-18,6,0,2,3,18
242,2019-08-25,6,0,2,1,18
243,2019-09-01,4,0,1,3,14
244,2019-09-08,5,0,2,3,16
245,2019-09-15,3,0,1,4,16
246,2019-09-22,5,0,2,5,15
247,2019-09-29,2,0,1,4,15
248,2019-10-06,1,0,1,3,14
249,2019-10-13,4,0,1,4,11
250,2019-10-20,2,0,1,1,14
251,2019-10-27,2,0,1,2,13
252,2019-11-03,2,0,1,2,17
253,2019-11-10,1,0,1,4,13
254,2019-11-17,2,0,3,3,15
255,2019-11-24,5,0,0,3,9
256,2019-12-01,2,0,1,2,14
257,2019-12-08,2,0,1,3,14
258,2019-12-15,2,0,2,3,13
259,2019-12-22,3,0,1,3,9
260,2019-12-29,3,0,0,3,10
