,date,The Rolling Stones,Pink,U2,Bruno Mars,Alphabet
0,2015-01-04,6,0,10,26,36
1,2015-01-11,7,0,12,29,28
2,2015-01-18,5,0,9,33,33
3,2015-01-25,6,0,10,30,35
4,2015-02-01,7,0,8,35,36
5,2015-02-08,7,0,9,29,45
6,2015-02-15,11,0,8,25,30
7,2015-02-22,8,0,7,26,30
8,2015-03-01,6,0,11,22,32
9,2015-03-08,10,0,12,20,30
10,2015-03-15,12,0,7,20,29
11,2015-03-22,10,0,8,19,29
12,2015-03-29,14,0,9,17,29
13,2015-04-05,11,0,5,12,28
14,2015-04-12,11,0,6,17,35
15,2015-04-19,10,0,11,18,29
16,2015-04-26,9,0,8,13,21
17,2015-05-03,8,0,19,14,28
18,2015-05-10,6,0,17,10,26
19,2015-05-17,14,0,10,17,28
20,2015-05-24,17,0,18,15,37
21,2015-05-31,16,0,11,16,38
22,2015-06-07,17,0,9,6,31
23,2015-06-14,19,0,9,7,32
24,2015-06-21,16,0,8,6,19
25,2015-06-28,15,0,9,16,23
26,2015-07-05,13,0,9,15,26
27,2015-07-12,11,0,7,14,22
28,2015-07-19,7,0,11,14,30
29,2015-07-26,4,0,13,10,25
30,2015-08-02,9,0,9,8,22
31,2015-08-09,6,0,7,11,63
32,2015-08-16,5,0,5,10,31
33,2015-08-23,7,0,10,10,37
34,2015-08-30,10,0,3,19,52
35,2015-09-06,11,0,9,11,39
36,2015-09-13,6,0,7,11,45
37,2015-09-20,4,0,7,10,39
38,2015-09-27,4,0,7,9,41
39,2015-10-04,5,0,9,16,50
40,2015-10-11,3,0,8,6,35
41,2015-10-18,8,0,6,9,34
42,2015-10-25,9,0,10,11,37
43,2015-11-01,6,0,4,7,43
44,2015-11-08,9,0,11,10,38
45,2015-11-15,9,0,12,8,41
46,2015-11-22,10,0,9,14,33
47,2015-11-29,7,0,8,9,36
48,2015-12-06,9,0,14,3,37
49,2015-12-13,7,0,11,9,36
50,2015-12-20,8,0,2,6,25
51,2015-12-27,11,0,1,11,26
52,2016-01-03,6,0,7,8,28
53,2016-01-10,11,0,5,10,27
54,2016-01-17,9,0,6,7,27
55,2016-01-24,3,0,6,10,29
56,2016-01-31,8,0,4,16,35
57,2016-02-07,8,0,6,85,28
58,2016-02-14,8,0,5,27,35
59,2016-02-21,7,0,7,15,35
60,2016-02-28,6,0,5,7,36
61,2016-03-06,6,0,3,9,33
62,2016-03-13,10,0,8,7,25
63,2016-03-20,12,0,6,9,28
64,2016-03-27,11,0,7,10,29
65,2016-04-03,7,0,6,8,32
66,2016-04-10,8,0,5,8,33
67,2016-04-17,4,0,6,7,29
68,2016-04-24,7,0,4,7,26
69,2016-05-01,12,0,4,8,26
70,2016-05-08,11,0,4,8,27
71,2016-05-15,7,0,8,7,31
72,2016-05-22,8,0,4,11,29
73,2016-05-29,7,0,3,10,30
74,2016-06-05,7,0,5,9,25
75,2016-06-12,5,0,5,5,22
76,2016-06-19,9,0,5,7,23
77,2016-06-26,6,0,0,6,25
78,2016-07-03,10,0,2,8,20
79,2016-07-10,10,0,2,8,21
80,2016-07-17,9,0,7,7,21
81,2016-07-24,6,0,4,6,28
82,2016-07-31,9,0,3,4,31
83,2016-08-07,5,0,5,7,21
84,2016-08-14,9,0,3,7,25
85,2016-08-21,5,0,5,6,25
86,2016-08-28,5,0,5,5,46
87,2016-09-04,0,0,0,0,0
88,2016-09-11,0,0,0,0,0
89,2016-09-18,0,0,0,0,0
90,2016-09-25,0,0,0,0,0
91,2016-10-02,0,0,0,0,0
92,2016-10-09,0,0,0,0,0
93,2016-10-16,0,0,0,0,0
94,2016-10-23,0,0,0,0,0
95,2016-10-30,0,0,0,0,0
96,2016-11-06,0,0,0,0,0
97,2016-11-13,0,0,0,0,0
98,2016-11-20,0,0,0,0,0
99,2016-11-27,0,0,0,0,0
100,2016-12-04,0,0,0,0,0
101,2016-12-11,0,0,0,0,0
102,2016-12-18,0,0,0,0,0
103,2016-12-25,0,0,0,0,0
104,2017-01-01,0,0,0,0,0
105,2017-01-08,0,0,0,0,0
106,2017-01-15,0,0,0,0,0
107,2017-01-22,0,0,0,0,0
108,2017-01-29,0,0,0,0,0
109,2017-02-05,0,0,0,0,0
110,2017-02-12,0,0,0,0,0
111,2017-02-19,0,0,0,0,0
112,2017-02-26,0,0,0,0,0
113,2017-03-05,0,0,0,0,0
114,2017-03-12,0,0,0,0,0
115,2017-03-19,0,0,0,0,0
116,2017-03-26,0,0,0,0,0
117,2017-04-02,0,0,0,0,0
118,2017-04-09,0,0,0,0,0
119,2017-04-16,0,0,0,0,0
120,2017-04-23,0,0,0,0,0
