,date,The Rolling Stones,Pink,U2,Bruno Mars,Alphabet
0,2015-01-04,25,0,12,25,29
1,2015-01-11,16,0,12,27,41
2,2015-01-18,15,0,24,42,41
3,2015-01-25,10,0,7,27,46
4,2015-02-01,11,11,14,44,22
5,2015-02-08,33,15,34,31,45
6,2015-02-15,10,29,0,33,29
7,2015-02-22,12,6,6,28,58
8,2015-03-01,15,7,20,38,44
9,2015-03-08,8,15,0,11,48
10,2015-03-15,6,12,0,14,33
11,2015-03-22,9,16,13,24,36
12,2015-03-29,31,12,14,19,27
13,2015-04-05,25,6,0,8,31
14,2015-04-12,19,10,14,9,36
15,2015-04-19,13,15,8,9,27
16,2015-04-26,21,0,8,6,22
17,2015-05-03,9,0,0,16,29
18,2015-05-10,23,6,21,12,17
19,2015-05-17,16,14,22,14,44
20,2015-05-24,13,0,38,31,51
21,2015-05-31,29,0,13,12,42
22,2015-06-07,34,7,15,0,26
23,2015-06-14,21,0,10,31,47
24,2015-06-21,0,0,21,11,32
25,2015-06-28,16,0,11,16,40
26,2015-07-05,19,13,23,9,35
27,2015-07-12,16,0,59,8,29
28,2015-07-19,16,5,15,0,39
29,2015-07-26,16,9,8,11,29
30,2015-08-02,33,6,18,10,27
31,2015-08-09,24,0,26,10,37
32,2015-08-16,8,0,15,6,40
33,2015-08-23,7,6,7,18,51
34,2015-08-30,16,14,8,11,52
35,2015-09-06,15,22,12,22,27
36,2015-09-13,25,0,6,9,29
37,2015-09-20,15,8,5,0,53
38,2015-09-27,9,8,10,16,44
39,2015-10-04,0,13,22,0,25
40,2015-10-11,14,6,28,13,39
41,2015-10-18,6,0,5,7,49
42,2015-10-25,9,0,18,11,47
43,2015-11-01,0,6,6,0,36
44,2015-11-08,10,8,13,9,39
45,2015-11-15,15,9,0,0,42
46,2015-11-22,18,0,0,24,32
47,2015-11-29,8,12,0,0,16
48,2015-12-06,17,6,22,0,45
49,2015-12-13,21,10,18,20,42
50,2015-12-20,17,0,16,0,15
51,2015-12-27,15,0,7,10,24
52,2016-01-03,14,0,6,0,28
53,2016-01-10,17,10,0,0,29
54,2016-01-17,13,9,0,0,32
55,2016-01-24,8,0,20,13,53
56,2016-01-31,6,9,20,12,60
57,2016-02-07,0,5,5,82,30
58,2016-02-14,20,7,12,0,39
59,2016-02-21,13,10,0,7,42
60,2016-02-28,15,0,9,15,41
61,2016-03-06,9,8,13,10,38
62,2016-03-13,11,5,11,14,36
63,2016-03-20,23,10,7,11,40
64,2016-03-27,14,0,9,6,36
65,2016-04-03,22,10,7,12,36
66,2016-04-10,18,9,15,8,46
67,2016-04-17,6,15,14,25,11
68,2016-04-24,8,16,7,13,40
69,2016-05-01,18,9,5,0,21
70,2016-05-08,25,11,6,12,33
71,2016-05-15,15,16,7,5,24
72,2016-05-22,0,34,10,13,33
73,2016-05-29,7,16,8,8,32
74,2016-06-05,7,10,11,13,40
75,2016-06-12,7,0,0,9,39
76,2016-06-19,13,16,0,0,38
77,2016-06-26,10,17,0,6,37
78,2016-07-03,26,18,10,13,20
79,2016-07-10,10,0,10,0,25
80,2016-07-17,21,0,0,6,19
81,2016-07-24,8,5,10,0,33
82,2016-07-31,23,10,8,13,34
83,2016-08-07,16,0,8,0,24
84,2016-08-14,16,19,5,0,26
85,2016-08-21,24,5,4,11,21
86,2016-08-28,14,10,8,17,41
87,2016-09-04,12,13,17,8,47
88,2016-09-11,16,16,6,0,42
89,2016-09-18,8,19,7,7,37
90,2016-09-25,20,8,9,6,47
91,2016-10-02,15,0,0,23,34
92,2016-10-09,8,11,9,28,36
93,2016-10-16,15,26,0,26,23
94,2016-10-23,7,7,7,16,31
95,2016-10-30,0,0,14,22,43
96,2016-11-06,7,9,5,21,31
97,2016-11-13,24,0,7,31,30
98,2016-11-20,13,0,5,52,30
99,2016-11-27,24,10,7,30,31
100,2016-12-04,17,0,18,20,25
101,2016-12-11,0,37,7,43,42
102,2016-12-18,9,0,11,18,26
103,2016-12-25,8,18,16,29,61
104,2017-01-01,34,10,6,27,32
105,2017-01-08,16,14,46,25,43
106,2017-01-15,14,8,28,17,35
107,2017-01-22,8,19,10,11,45
108,2017-01-29,12,8,13,14,34
109,2017-02-05,13,7,9,28,38
110,2017-02-12,14,8,0,100,57
111,2017-02-19,12,4,5,35,27
112,2017-02-26,13,4,8,31,43
113,2017-03-05,14,11,14,21,46
114,2017-03-12,7,0,9,35,35
115,2017-03-19,6,8,7,21,29
116,2017-03-26,7,10,16,27,29
117,2017-04-02,9,11,0,29,27
118,2017-04-09,10,15,13,32,29
119,2017-04-16,19,6,16,20,26
120,2017-04-23,16,8,5,16,53
121,2017-04-30,13,10,11,21,27
122,2017-05-07,12,13,18,29,37
123,2017-05-14,7,15,26,24,36
124,2017-05-21,9,14,9,24,46
125,2017-05-28,13,16,12,25,48
126,2017-06-04,0,9,27,20,29
127,2017-06-11,7,6,23,22,32
128,2017-06-18,15,15,16,22,24
129,2017-06-25,22,0,47,49,32
130,2017-07-02,25,11,31,21,26
131,2017-07-09,10,8,20,11,12
132,2017-07-16,9,21,0,14,22
133,2017-07-23,30,9,5,15,21
134,2017-07-30,6,7,7,14,15
135,2017-08-06,13,11,16,27,34
136,2017-08-13,7,7,10,18,32
137,2017-08-20,19,24,9,14,23
138,2017-08-27,18,48,0,21,31
139,2017-09-03,15,12,27,25,7
140,2017-09-10,19,11,8,16,46
141,2017-09-17,10,19,5,41,58
142,2017-09-24,7,16,5,23,33
143,2017-10-01,13,27,8,42,31
144,2017-10-08,14,46,6,26,42
145,2017-10-15,12,37,9,16,39
146,2017-10-22,21,9,17,16,55
147,2017-10-29,12,14,16,19,32
148,2017-11-05,18,41,0,8,41
149,2017-11-12,13,38,14,17,44
150,2017-11-19,19,32,7,11,48
151,2017-11-26,7,16,8,21,37
152,2017-12-03,7,22,15,16,34
153,2017-12-10,18,9,14,8,38
154,2017-12-17,10,10,6,8,48
155,2017-12-24,19,15,9,22,26
156,2017-12-31,11,19,21,27,24
157,2018-01-07,6,13,8,24,40
158,2018-01-14,5,21,6,19,25
159,2018-01-21,10,26,16,47,30
160,2018-01-28,0,47,26,82,44
161,2018-02-04,11,72,8,40,43
162,2018-02-11,10,10,18,17,31
163,2018-02-18,0,29,0,12,12
164,2018-02-25,9,26,0,28,34
165,2018-03-04,12,23,10,13,30
166,2018-03-11,23,24,6,23,27
167,2018-03-18,10,27,10,28,55
168,2018-03-25,6,29,8,0,28
169,2018-04-01,4,25,8,10,36
170,2018-04-08,17,25,0,19,24
171,2018-04-15,12,28,0,14,36
172,2018-04-22,11,44,6,12,30
173,2018-04-29,9,32,12,29,39
174,2018-05-06,0,20,9,19,40
175,2018-05-13,21,21,7,19,28
176,2018-05-20,18,11,6,21,42
177,2018-05-27,19,9,14,0,33
178,2018-06-03,9,25,9,0,40
179,2018-06-10,11,11,16,6,40
180,2018-06-17,11,19,38,7,22
181,2018-06-24,7,4,21,12,26
182,2018-07-01,12,7,15,8,16
183,2018-07-08,9,12,10,15,42
184,2018-07-15,0,0,9,15,39
185,2018-07-22,8,13,9,0,29
186,2018-07-29,16,24,4,10,24
187,2018-08-05,0,18,18,6,36
188,2018-08-12,19,18,11,9,32
189,2018-08-19,0,7,4,6,19
190,2018-08-26,6,12,0,10,30
191,2018-09-02,10,14,0,0,32
192,2018-09-09,6,0,6,13,38
193,2018-09-16,13,0,4,6,43
194,2018-09-23,20,9,0,6,34
195,2018-09-30,0,0,10,24,36
196,2018-10-07,0,8,0,15,40
197,2018-10-14,23,7,0,13,41
198,2018-10-21,12,10,5,0,42
199,2018-10-28,33,0,7,16,31
200,2018-11-04,0,13,0,17,41
201,2018-11-11,11,12,0,10,27
202,2018-11-18,44,9,9,0,23
203,2018-11-25,37,20,7,8,36
204,2018-12-02,29,5,14,13,47
205,2018-12-09,11,10,5,16,26
206,2018-12-16,11,12,18,7,34
207,2018-12-23,23,0,0,10,31
208,2018-12-30,13,0,11,11,33
209,2019-01-06,11,9,6,11,29
210,2019-01-13,10,7,14,0,42
211,2019-01-20,16,13,9,10,33
212,2019-01-27,13,9,0,0,58
213,2019-02-03,9,30,5,13,44
214,2019-02-10,26,16,18,0,39
215,2019-02-17,15,11,0,14,32
216,2019-02-24,12,14,15,22,40
217,2019-03-03,12,24,5,8,31
218,2019-03-10,14,9,0,4,36
219,2019-03-17,16,25,5,11,38
220,2019-03-24,44,25,7,11,41
221,2019-03-31,19,16,6,0,40
222,2019-04-07,17,11,11,9,32
223,2019-04-14,0,12,0,12,13
224,2019-04-21,5,20,21,0,42
225,2019-04-28,11,7,0,4,24
226,2019-05-05,14,28,0,5,29
227,2019-05-12,37,18,0,0,34
228,2019-05-19,17,21,8,8,60
229,2019-05-26,8,29,7,11,34
230,2019-06-02,13,20,6,8,40
231,2019-06-09,12,21,19,19,30
232,2019-06-16,30,28,6,9,35
233,2019-06-23,29,19,6,9,23
234,2019-06-30,35,21,0,9,12
235,2019-07-07,41,16,8,0,22
236,2019-07-14,26,12,0,14,24
237,2019-07-21,9,27,6,11,26
238,2019-07-28,16,0,15,12,30
239,2019-08-04,16,25,0,7,5
240,2019-08-11,14,29,5,4,35
241,2019-08-18,17,16,5,0,23
242,2019-08-25,16,15,5,8,27
243,2019-09-01,14,15,11,3,36
244,2019-09-08,12,22,4,9,36
245,2019-09-15,9,10,12,0,38
246,2019-09-22,19,15,0,5,33
247,2019-09-29,13,21,6,8,34
248,2019-10-06,12,17,14,6,46
249,2019-10-13,10,21,9,13,35
250,2019-10-20,6,12,8,18,39
251,2019-10-27,12,17,0,0,29
252,2019-11-03,12,24,0,4,39
253,2019-11-10,12,36,0,9,36
254,2019-11-17,12,6,0,7,32
255,2019-11-24,16,22,0,0,42
256,2019-12-01,22,13,10,5,25
257,2019-12-08,9,21,0,8,46
258,2019-12-15,14,0,0,0,32
259,2019-12-22,14,8,12,8,26
260,2019-12-29,17,9,0,5,39
