,date,The Rolling Stones,Pink,U2,Bruno Mars,Alphabet
0,2015-01-04,4,4,6,0,0
1,2015-01-11,5,2,6,0,0
2,2015-01-18,6,4,9,0,0
3,2015-01-25,6,5,5,0,0
4,2015-02-01,6,5,6,0,0
5,2015-02-08,4,5,10,0,0
6,2015-02-15,9,5,6,0,0
7,2015-02-22,6,6,7,0,0
8,2015-03-01,5,6,9,0,0
9,2015-03-08,7,7,6,0,0
10,2015-03-15,16,4,5,0,0
11,2015-03-22,9,9,6,0,0
12,2015-03-29,43,4,6,0,0
13,2015-04-05,44,3,7,0,0
14,2015-04-12,35,11,6,0,0
15,2015-04-19,17,5,3,0,0
16,2015-04-26,12,6,8,0,0
17,2015-05-03,8,3,9,0,0
18,2015-05-10,11,6,18,0,0
19,2015-05-17,10,5,8,0,0
20,2015-05-24,20,3,12,0,0
21,2015-05-31,24,5,13,0,0
22,2015-06-07,18,6,8,0,0
23,2015-06-14,19,5,6,0,0
24,2015-06-21,19,4,12,0,0
25,2015-06-28,24,5,12,0,0
26,2015-07-05,91,5,8,0,0
27,2015-07-12,14,4,8,0,0
28,2015-07-19,10,4,8,0,0
29,2015-07-26,9,3,9,0,0
30,2015-08-02,7,5,7,0,0
31,2015-08-09,8,4,5,0,0
32,2015-08-16,9,4,5,0,0
33,2015-08-23,6,4,4,0,0
34,2015-08-30,7,3,5,0,0
35,2015-09-06,7,8,3,0,0
36,2015-09-13,5,4,5,0,0
37,2015-09-20,7,3,6,0,0
38,2015-09-27,9,4,5,0,0
39,2015-10-04,5,5,6,0,0
40,2015-10-11,6,5,5,0,0
41,2015-10-18,7,6,5,0,0
42,2015-10-25,8,5,5,0,0
43,2015-11-01,7,5,6,0,0
44,2015-11-08,5,6,7,0,0
45,2015-11-15,7,6,6,0,0
46,2015-11-22,5,5,7,0,0
47,2015-11-29,7,6,4,0,0
48,2015-12-06,6,3,9,0,0
49,2015-12-13,8,4,8,0,0
50,2015-12-20,9,6,5,0,0
51,2015-12-27,8,5,8,0,0
52,2016-01-03,5,5,6,0,0
53,2016-01-10,8,5,3,0,0
54,2016-01-17,8,7,3,0,0
55,2016-01-24,6,5,3,0,0
56,2016-01-31,7,6,5,0,0
57,2016-02-07,8,6,4,0,0
58,2016-02-14,9,6,5,0,0
59,2016-02-21,7,3,4,0,0
60,2016-02-28,7,5,3,0,0
61,2016-03-06,5,5,3,0,0
62,2016-03-13,6,5,3,0,0
63,2016-03-20,9,6,4,0,0
64,2016-03-27,6,6,4,0,0
65,2016-04-03,7,5,5,0,0
66,2016-04-10,6,6,4,0,0
67,2016-04-17,7,4,4,0,0
68,2016-04-24,6,7,5,0,0
69,2016-05-01,7,7,5,0,0
70,2016-05-08,5,9,3,0,0
71,2016-05-15,8,11,5,0,0
72,2016-05-22,8,15,4,0,0
73,2016-05-29,7,9,4,0,0
74,2016-06-05,8,9,5,0,0
75,2016-06-12,7,10,3,0,0
76,2016-06-19,6,8,4,0,0
77,2016-06-26,8,8,4,0,0
78,2016-07-03,6,6,1,0,0
79,2016-07-10,6,7,4,0,0
80,2016-07-17,7,8,3,0,0
81,2016-07-24,5,9,4,0,0
82,2016-07-31,7,7,3,0,0
83,2016-08-07,6,6,4,0,0
84,2016-08-14,4,6,4,0,0
85,2016-08-21,5,7,5,0,0
86,2016-08-28,6,6,4,0,0
87,2016-09-04,7,0,4,5,27
88,2016-09-11,6,0,4,7,30
89,2016-09-18,7,0,4,4,25
90,2016-09-25,6,0,3,4,26
91,2016-10-02,8,0,3,14,24
92,2016-10-09,8,0,3,13,29
93,2016-10-16,6,0,4,23,22
94,2016-10-23,7,0,4,14,23
95,2016-10-30,5,0,2,14,25
96,2016-11-06,6,0,3,12,19
97,2016-11-13,8,0,3,25,21
98,2016-11-20,7,0,3,51,20
99,2016-11-27,11,0,3,19,22
100,2016-12-04,11,0,4,21,22
101,2016-12-11,6,0,5,43,23
102,2016-12-18,7,0,3,28,23
103,2016-12-25,9,0,5,24,16
104,2017-01-01,5,0,5,20,19
105,2017-01-08,6,0,28,18,24
106,2017-01-15,7,0,17,20,22
107,2017-01-22,7,0,10,16,22
108,2017-01-29,7,0,6,18,24
109,2017-02-05,5,0,6,22,23
110,2017-02-12,6,0,8,100,21
111,2017-02-19,6,0,6,34,24
112,2017-02-26,6,0,4,34,24
113,2017-03-05,8,0,6,32,19
114,2017-03-12,6,0,8,30,21
115,2017-03-19,6,0,5,28,21
116,2017-03-26,6,0,7,26,23
117,2017-04-02,5,0,6,28,18
118,2017-04-09,7,0,7,25,22
119,2017-04-16,10,0,6,22,23
120,2017-04-23,6,0,5,28,18
121,2017-04-30,8,0,6,24,22
122,2017-05-07,8,0,7,29,22
123,2017-05-14,5,0,9,30,21
124,2017-05-21,7,0,13,43,19
125,2017-05-28,7,0,13,30,22
126,2017-06-04,7,0,42,23,20
127,2017-06-11,6,0,28,26,19
128,2017-06-18,7,0,12,21,14
129,2017-06-25,7,0,20,49,16
130,2017-07-02,7,0,17,33,18
131,2017-07-09,6,0,9,28,18
132,2017-07-16,7,0,8,25,15
133,2017-07-23,6,0,8,21,16
134,2017-07-30,8,0,9,26,18
135,2017-08-06,7,0,9,52,17
136,2017-08-13,5,0,7,56,17
137,2017-08-20,6,0,9,24,21
138,2017-08-27,5,0,31,18,22
139,2017-09-03,5,0,62,13,24
140,2017-09-10,8,0,9,15,28
141,2017-09-17,8,0,6,13,28
142,2017-09-24,6,0,5,10,24
143,2017-10-01,6,0,5,12,24
144,2017-10-08,4,0,4,14,25
145,2017-10-15,6,0,5,12,27
146,2017-10-22,6,0,5,11,26
147,2017-10-29,5,0,6,10,24
148,2017-11-05,7,0,5,11,27
149,2017-11-12,6,0,5,10,26
150,2017-11-19,6,0,5,9,19
151,2017-11-26,5,0,7,23,24
152,2017-12-03,5,0,11,15,23
153,2017-12-10,4,0,4,11,19
154,2017-12-17,6,0,7,12,25
155,2017-12-24,6,0,6,12,17
156,2017-12-31,6,0,5,27,19
157,2018-01-07,5,0,4,17,25
158,2018-01-14,5,0,6,14,23
159,2018-01-21,5,0,4,27,26
160,2018-01-28,8,0,13,71,27
161,2018-02-04,4,0,5,44,27
162,2018-02-11,5,0,6,55,24
163,2018-02-18,4,0,4,25,26
164,2018-02-25,6,0,4,19,23
165,2018-03-04,7,0,5,18,23
166,2018-03-11,7,0,4,22,21
167,2018-03-18,5,0,5,22,26
168,2018-03-25,6,0,5,19,19
169,2018-04-01,5,0,4,13,19
170,2018-04-08,7,0,4,14,24
171,2018-04-15,7,0,3,16,24
172,2018-04-22,3,0,4,11,20
173,2018-04-29,7,0,8,11,21
174,2018-05-06,6,15,5,12,21
175,2018-05-13,8,11,6,12,20
176,2018-05-20,7,9,7,13,17
177,2018-05-27,8,9,5,12,23
178,2018-06-03,5,9,6,11,19
179,2018-06-10,8,7,5,10,16
180,2018-06-17,6,10,6,10,18
181,2018-06-24,7,10,6,11,19
182,2018-07-01,8,8,6,11,15
183,2018-07-08,7,10,4,12,16
184,2018-07-15,7,9,4,10,18
185,2018-07-22,7,10,5,14,18
186,2018-07-29,7,8,4,13,18
187,2018-08-05,6,10,4,13,17
188,2018-08-12,6,5,2,20,16
189,2018-08-19,7,7,4,15,17
190,2018-08-26,6,8,3,13,25
191,2018-09-02,7,6,5,12,24
192,2018-09-09,6,7,3,38,23
193,2018-09-16,7,6,4,41,28
194,2018-09-23,6,4,2,11,27
195,2018-09-30,7,4,3,7,24
196,2018-10-07,6,7,4,11,27
197,2018-10-14,6,5,3,9,23
198,2018-10-21,5,8,3,10,27
199,2018-10-28,3,8,3,9,27
200,2018-11-04,6,8,3,8,22
201,2018-11-11,7,8,3,10,26
202,2018-11-18,12,9,3,8,22
203,2018-11-25,15,6,2,10,25
204,2018-12-02,10,9,3,8,25
205,2018-12-09,7,6,3,7,24
206,2018-12-16,11,7,4,9,23
207,2018-12-23,7,7,4,8,16
208,2018-12-30,8,8,4,9,16
209,2019-01-06,6,8,4,7,24
210,2019-01-13,6,11,3,7,21
211,2019-01-20,6,11,3,9,21
212,2019-01-27,8,7,4,7,19
213,2019-02-03,8,11,3,11,23
214,2019-02-10,9,11,5,15,23
215,2019-02-17,6,11,5,13,24
216,2019-02-24,5,12,3,13,22
217,2019-03-03,8,14,2,16,23
218,2019-03-10,6,9,3,12,23
219,2019-03-17,5,17,3,10,21
220,2019-03-24,0,0,0,0,0
221,2019-03-31,10,11,4,9,17
222,2019-04-07,7,11,3,7,20
223,2019-04-14,9,13,4,8,23
224,2019-04-21,0,0,0,0,0
225,2019-04-28,7,25,3,8,21
226,2019-05-05,0,0,0,0,0
227,2019-05-12,7,10,5,8,21
228,2019-05-19,6,12,3,7,21
229,2019-05-26,0,0,0,0,0
230,2019-06-02,9,16,3,9,24
231,2019-06-09,9,16,1,6,16
232,2019-06-16,17,17,3,7,20
233,2019-06-23,14,13,4,6,18
234,2019-06-30,11,8,3,8,16
235,2019-07-07,9,7,3,8,16
236,2019-07-14,7,10,6,7,18
237,2019-07-21,7,15,5,7,19
238,2019-07-28,9,15,3,7,17
239,2019-08-04,8,15,4,6,19
240,2019-08-11,7,17,3,9,18
