,date,Ed Sheeran,Guns N' Roses,Coldplay,Metallica,Alphabet
0,2015-01-04,35,0,0,13,19
1,2015-01-11,30,0,0,20,8
2,2015-01-18,32,0,0,16,32
3,2015-01-25,50,12,0,10,0
4,2015-02-01,44,6,0,21,28
5,2015-02-08,65,0,0,16,20
6,2015-02-15,28,11,0,0,29
7,2015-02-22,40,0,0,9,8
8,2015-03-01,49,27,0,0,36
9,2015-03-08,35,0,0,15,0
10,2015-03-15,14,0,0,0,23
11,2015-03-22,33,10,0,0,33
12,2015-03-29,22,8,0,13,15
13,2015-04-05,21,14,0,0,20
14,2015-04-12,25,18,0,27,40
15,2015-04-19,16,0,0,24,22
16,2015-04-26,22,10,0,0,48
17,2015-05-03,0,0,0,16,20
18,2015-05-10,25,0,0,0,23
19,2015-05-17,25,9,0,8,23
20,2015-05-24,0,11,0,30,21
21,2015-05-31,35,14,0,0,28
22,2015-06-07,19,0,0,22,28
23,2015-06-14,36,0,0,13,14
24,2015-06-21,0,0,0,10,14
25,2015-06-28,30,0,0,0,29
26,2015-07-05,25,0,0,15,24
27,2015-07-12,13,0,0,12,22
28,2015-07-19,12,0,0,0,0
29,2015-07-26,29,0,0,11,19
30,2015-08-02,26,6,0,0,33
31,2015-08-09,33,18,0,8,60
32,2015-08-16,32,9,0,0,25
33,2015-08-23,12,0,0,14,20
34,2015-08-30,36,0,0,7,26
35,2015-09-06,0,0,0,10,25
36,2015-09-13,17,20,0,14,32
37,2015-09-20,9,0,0,0,30
38,2015-09-27,30,0,0,6,33
39,2015-10-04,26,0,0,19,29
40,2015-10-11,12,0,0,9,22
41,2015-10-18,8,0,0,0,27
42,2015-10-25,15,5,0,0,29
43,2015-11-01,11,0,0,0,26
44,2015-11-08,25,0,0,0,19
45,2015-11-15,8,5,0,10,37
46,2015-11-22,18,0,0,0,30
47,2015-11-29,21,17,0,11,32
48,2015-12-06,9,0,0,14,42
49,2015-12-13,15,0,0,6,20
50,2015-12-20,17,0,0,8,13
51,2015-12-27,22,28,0,0,26
52,2016-01-03,0,26,0,29,0
53,2016-01-10,0,11,0,7,23
54,2016-01-17,6,9,0,0,33
55,2016-01-24,10,14,0,9,11
56,2016-01-31,10,0,0,11,48
57,2016-02-07,9,7,0,27,27
58,2016-02-14,38,16,0,12,22
59,2016-02-21,8,16,0,0,14
60,2016-02-28,19,0,0,12,21
61,2016-03-06,18,16,0,0,29
62,2016-03-13,11,11,0,5,22
63,2016-03-20,6,6,0,16,22
64,2016-03-27,20,19,0,12,27
65,2016-04-03,14,19,0,10,18
66,2016-04-10,6,17,0,13,21
67,2016-04-17,0,7,0,21,20
68,2016-04-24,0,0,0,13,30
69,2016-05-01,21,19,0,22,17
70,2016-05-08,9,11,0,18,15
71,2016-05-15,0,6,0,0,13
72,2016-05-22,0,7,0,10,21
73,2016-05-29,8,0,0,15,24
74,2016-06-05,0,13,0,16,0
75,2016-06-12,13,0,0,9,16
76,2016-06-19,6,11,0,11,17
77,2016-06-26,0,13,0,16,18
78,2016-07-03,11,13,0,11,23
79,2016-07-10,12,39,0,11,21
80,2016-07-17,0,10,0,0,6
81,2016-07-24,0,11,0,12,22
82,2016-07-31,0,0,0,12,24
83,2016-08-07,0,7,0,13,16
84,2016-08-14,12,0,0,17,15
85,2016-08-21,0,10,0,11,20
86,2016-08-28,8,13,0,23,40
87,2016-09-04,0,5,14,15,35
88,2016-09-11,5,0,15,9,36
89,2016-09-18,5,0,7,25,53
90,2016-09-25,0,9,0,10,37
91,2016-10-02,6,0,11,10,17
92,2016-10-09,6,0,0,0,34
93,2016-10-16,6,5,0,16,22
94,2016-10-23,7,10,9,6,29
95,2016-10-30,18,9,0,14,13
96,2016-11-06,0,11,0,17,20
97,2016-11-13,0,12,7,42,33
98,2016-11-20,7,7,0,32,31
99,2016-11-27,7,0,0,23,35
100,2016-12-04,19,17,7,12,24
101,2016-12-11,6,13,0,18,27
102,2016-12-18,0,0,11,20,19
103,2016-12-25,0,5,0,11,24
104,2017-01-01,18,7,20,0,26
105,2017-01-08,20,5,9,12,10
106,2017-01-15,26,4,0,15,23
107,2017-01-22,19,15,8,24,28
108,2017-01-29,16,0,0,0,24
109,2017-02-05,0,4,0,15,31
110,2017-02-12,35,0,6,100,22
111,2017-02-19,23,8,0,34,22
112,2017-02-26,26,9,6,28,32
113,2017-03-05,59,10,15,17,30
114,2017-03-12,62,0,0,15,32
115,2017-03-19,28,9,5,16,25
116,2017-03-26,32,9,6,15,19
117,2017-04-02,32,0,0,23,30
118,2017-04-09,31,4,6,20,30
119,2017-04-16,15,0,0,11,11
120,2017-04-23,24,9,0,17,29
121,2017-04-30,13,23,22,5,24
122,2017-05-07,18,6,7,28,24
123,2017-05-14,17,0,7,21,31
124,2017-05-21,13,13,0,8,26
125,2017-05-28,16,5,6,22,22
126,2017-06-04,24,0,0,27,24
127,2017-06-11,35,8,10,27,13
128,2017-06-18,18,0,14,13,15
129,2017-06-25,15,0,9,13,14
130,2017-07-02,19,0,5,12,19
131,2017-07-09,12,0,14,15,16
132,2017-07-16,70,13,0,8,23
133,2017-07-23,22,8,0,20,14
134,2017-07-30,24,10,9,16,15
135,2017-08-06,20,22,7,24,9
136,2017-08-13,20,0,12,12,30
137,2017-08-20,18,19,5,0,26
138,2017-08-27,12,26,10,9,30
139,2017-09-03,17,16,0,0,23
140,2017-09-10,9,0,0,14,23
141,2017-09-17,12,0,6,10,28
142,2017-09-24,9,13,12,0,20
143,2017-10-01,21,7,0,15,22
144,2017-10-08,37,0,0,7,45
145,2017-10-15,30,9,5,17,15
146,2017-10-22,30,0,0,10,47
147,2017-10-29,27,4,15,15,35
148,2017-11-05,15,17,4,11,24
149,2017-11-12,28,6,6,14,29
150,2017-11-19,20,0,0,20,22
151,2017-11-26,35,4,7,8,28
152,2017-12-03,27,0,11,19,33
153,2017-12-10,64,0,9,11,23
154,2017-12-17,54,0,5,0,55
155,2017-12-24,61,8,0,6,28
156,2017-12-31,46,4,7,7,31
157,2018-01-07,49,0,7,14,20
158,2018-01-14,30,5,0,10,28
159,2018-01-21,46,0,10,12,15
160,2018-01-28,46,10,10,13,27
161,2018-02-04,39,0,7,8,35
162,2018-02-11,31,0,9,8,24
163,2018-02-18,32,0,0,0,23
164,2018-02-25,36,10,7,55,22
165,2018-03-04,19,0,4,22,35
166,2018-03-11,20,0,0,19,15
167,2018-03-18,14,5,0,16,17
168,2018-03-25,15,0,8,24,21
169,2018-04-01,29,7,9,8,35
170,2018-04-08,20,0,0,20,0
171,2018-04-15,23,16,7,19,29
172,2018-04-22,23,5,12,18,34
173,2018-04-29,0,0,0,10,26
174,2018-05-06,36,0,0,5,0
175,2018-05-13,7,6,0,28,0
176,2018-05-20,18,0,7,4,0
177,2018-05-27,25,0,0,9,0
178,2018-06-03,25,0,0,14,0
179,2018-06-10,0,7,0,9,0
180,2018-06-17,8,16,9,7,0
181,2018-06-24,18,8,0,0,0
182,2018-07-01,17,0,0,0,0
183,2018-07-08,10,7,0,20,0
184,2018-07-15,18,0,0,8,0
