,date,The Rolling Stones,Pink,U2,Bruno Mars,Alphabet
0,2015-01-04,20,0,0,30,30
1,2015-01-11,26,0,23,36,13
2,2015-01-18,21,0,0,55,52
3,2015-01-25,14,25,0,26,0
4,2015-02-01,0,11,20,46,46
5,2015-02-08,12,13,20,18,33
6,2015-02-15,35,0,11,0,48
7,2015-02-22,20,13,21,21,12
8,2015-03-01,24,0,0,13,59
9,2015-03-08,31,0,22,53,0
10,2015-03-15,12,14,12,26,37
11,2015-03-22,33,25,22,37,53
12,2015-03-29,21,24,0,54,24
13,2015-04-05,13,0,23,33,33
14,2015-04-12,40,55,14,25,65
15,2015-04-19,16,35,19,32,35
16,2015-04-26,18,12,0,23,79
17,2015-05-03,0,0,25,47,33
18,2015-05-10,0,17,0,36,38
19,2015-05-17,0,0,0,32,38
20,2015-05-24,0,24,41,0,34
21,2015-05-31,17,12,14,36,46
22,2015-06-07,0,0,0,60,46
23,2015-06-14,26,0,0,10,23
24,2015-06-21,0,21,24,57,23
25,2015-06-28,0,15,19,26,47
26,2015-07-05,0,30,0,0,39
27,2015-07-12,13,38,0,14,36
28,2015-07-19,0,34,0,40,0
29,2015-07-26,0,0,10,0,30
30,2015-08-02,0,0,0,16,54
31,2015-08-09,11,0,0,32,98
32,2015-08-16,0,0,0,19,41
33,2015-08-23,13,0,0,14,33
34,2015-08-30,0,16,19,36,42
35,2015-09-06,18,31,21,17,40
36,2015-09-13,0,0,12,9,52
37,2015-09-20,20,18,18,33,50
38,2015-09-27,0,17,0,16,54
39,2015-10-04,43,0,0,0,48
40,2015-10-11,11,18,29,52,36
41,2015-10-18,18,0,10,0,44
42,2015-10-25,0,0,0,11,47
43,2015-11-01,13,16,15,18,43
44,2015-11-08,32,0,12,0,31
45,2015-11-15,10,0,0,13,60
46,2015-11-22,0,0,10,0,49
47,2015-11-29,19,21,0,0,52
48,2015-12-06,14,0,28,22,70
49,2015-12-13,0,0,23,0,33
50,2015-12-20,0,0,31,17,21
51,2015-12-27,23,14,0,37,43
52,2016-01-03,11,0,17,0,0
53,2016-01-10,0,0,0,0,38
54,2016-01-17,9,0,14,18,54
55,2016-01-24,13,0,18,28,18
56,2016-01-31,28,25,15,16,79
57,2016-02-07,0,10,14,100,44
58,2016-02-14,0,9,24,20,36
59,2016-02-21,18,13,11,15,23
60,2016-02-28,24,14,26,0,35
61,2016-03-06,23,16,0,21,47
62,2016-03-13,0,0,0,0,36
63,2016-03-20,28,14,16,12,36
64,2016-03-27,32,16,15,12,45
65,2016-04-03,32,0,0,10,30
66,2016-04-10,13,0,0,0,34
67,2016-04-17,0,0,0,0,32
68,2016-04-24,24,20,0,23,50
69,2016-05-01,9,15,32,20,28
70,2016-05-08,23,16,0,12,24
71,2016-05-15,0,34,0,0,21
72,2016-05-22,48,18,13,41,34
73,2016-05-29,0,18,0,16,39
74,2016-06-05,20,22,0,0,0
75,2016-06-12,0,17,12,0,26
76,2016-06-19,0,0,0,11,28
77,2016-06-26,0,23,21,0,30
78,2016-07-03,16,0,0,17,37
79,2016-07-10,0,0,0,0,34
80,2016-07-17,0,13,0,0,10
81,2016-07-24,0,33,14,0,35
82,2016-07-31,37,9,10,10,39
83,2016-08-07,11,12,0,0,27
84,2016-08-14,0,14,0,17,25
85,2016-08-21,19,0,18,0,33
86,2016-08-28,0,28,11,23,65
87,2016-09-04,0,16,0,0,57
88,2016-09-11,16,0,0,0,59
89,2016-09-18,0,0,0,9,86
90,2016-09-25,13,32,0,0,60
91,2016-10-02,0,0,0,0,28
92,2016-10-09,18,0,11,14,55
93,2016-10-16,13,13,0,34,36
94,2016-10-23,17,0,0,20,48
95,2016-10-30,15,0,0,13,22
96,2016-11-06,12,0,0,18,33
97,2016-11-13,17,0,0,34,54
98,2016-11-20,19,8,0,70,50
99,2016-11-27,0,0,0,13,58
100,2016-12-04,14,17,0,26,40
101,2016-12-11,0,16,24,83,44
102,2016-12-18,11,0,16,9,30
103,2016-12-25,0,16,0,34,39
104,2017-01-01,16,22,0,15,43
105,2017-01-08,0,0,61,0,17
106,2017-01-15,0,0,28,15,38
107,2017-01-22,22,0,20,21,46
108,2017-01-29,0,32,19,9,40
109,2017-02-05,0,21,0,34,50
110,2017-02-12,7,17,23,92,36
111,2017-02-19,9,7,8,14,36
112,2017-02-26,0,0,24,24,53
113,2017-03-05,16,0,20,43,50
114,2017-03-12,9,0,0,33,52
115,2017-03-19,0,0,0,39,40
116,2017-03-26,18,13,15,24,31
117,2017-04-02,12,16,0,45,49
118,2017-04-09,11,16,15,16,49
119,2017-04-16,0,20,14,8,19
120,2017-04-23,0,11,14,22,48
121,2017-04-30,0,0,0,15,40
122,2017-05-07,8,0,61,37,40
123,2017-05-14,10,0,33,30,51
124,2017-05-21,0,0,24,19,42
125,2017-05-28,0,0,0,35,36
126,2017-06-04,0,0,49,20,39
127,2017-06-11,0,15,0,14,22
128,2017-06-18,12,15,12,26,25
129,2017-06-25,0,12,26,30,23
130,2017-07-02,0,0,21,9,31
131,2017-07-09,20,11,19,27,26
132,2017-07-16,32,11,0,42,37
133,2017-07-23,16,18,15,23,24
134,2017-07-30,17,0,0,41,25
135,2017-08-06,11,0,0,18,14
136,2017-08-13,18,0,13,26,49
137,2017-08-20,11,14,0,14,42
138,2017-08-27,11,48,0,0,49
139,2017-09-03,15,20,0,9,38
140,2017-09-10,0,18,0,16,38
141,2017-09-17,9,16,26,27,46
142,2017-09-24,13,15,0,9,33
143,2017-10-01,0,47,0,18,36
144,2017-10-08,13,84,10,12,73
145,2017-10-15,0,65,0,11,25
146,2017-10-22,12,62,40,20,78
147,2017-10-29,7,25,0,16,58
148,2017-11-05,0,31,35,42,40
149,2017-11-12,0,19,20,11,47
150,2017-11-19,0,17,21,23,35
151,2017-11-26,0,15,0,33,46
152,2017-12-03,18,13,36,26,54
153,2017-12-10,15,26,0,9,38
154,2017-12-17,19,13,33,22,90
155,2017-12-24,17,34,0,0,46
156,2017-12-31,10,9,18,47,50
157,2018-01-07,12,13,0,28,33
158,2018-01-14,14,19,16,17,46
159,2018-01-21,18,31,17,57,25
160,2018-01-28,15,40,23,56,44
161,2018-02-04,13,67,0,39,58
162,2018-02-11,8,13,23,40,40
163,2018-02-18,11,37,9,31,38
164,2018-02-25,16,41,0,15,36
165,2018-03-04,0,47,10,13,57
166,2018-03-11,0,41,11,35,25
167,2018-03-18,0,25,29,23,28
168,2018-03-25,0,36,9,0,35
169,2018-04-01,13,25,0,22,58
170,2018-04-08,30,22,0,9,0
171,2018-04-15,47,25,19,30,47
172,2018-04-22,8,8,0,13,55
173,2018-04-29,20,49,28,14,43
174,2018-05-06,8,40,13,18,0
175,2018-05-13,10,35,10,15,0
176,2018-05-20,0,28,0,8,0
177,2018-05-27,0,0,12,0,0
178,2018-06-03,15,11,0,10,0
179,2018-06-10,0,0,0,18,0
180,2018-06-17,0,13,11,14,0
181,2018-06-24,14,20,0,0,0
182,2018-07-01,13,13,0,13,0
183,2018-07-08,10,0,0,9,0
184,2018-07-15,17,21,0,15,0
185,2018-07-22,18,47,0,15,0
186,2018-07-29,32,27,0,17,0
187,2018-08-05,21,29,8,0,0
188,2018-08-12,29,13,0,42,0
189,2018-08-19,15,15,0,12,0
190,2018-08-26,0,19,12,36,0
191,2018-09-02,13,12,17,15,0
192,2018-09-09,27,9,26,29,0
193,2018-09-16,14,12,0,7,0
194,2018-09-23,0,7,7,20,0
195,2018-09-30,7,7,11,7,0
196,2018-10-07,22,10,0,24,0
197,2018-10-14,0,0,0,16,0
198,2018-10-21,9,18,0,9,0
199,2018-10-28,8,11,15,0,0
200,2018-11-04,0,9,9,14,0
201,2018-11-11,0,21,0,23,0
202,2018-11-18,28,12,0,8,0
203,2018-11-25,43,10,20,6,0
204,2018-12-02,13,24,18,9,0
205,2018-12-09,0,11,0,0,0
206,2018-12-16,9,30,11,21,0
207,2018-12-23,0,27,0,21,0
208,2018-12-30,19,19,0,0,0
209,2019-01-06,10,30,10,19,0
210,2019-01-13,11,36,17,9,0
211,2019-01-20,33,26,0,0,0
212,2019-01-27,0,16,0,19,0
213,2019-02-03,0,21,0,8,0
214,2019-02-10,12,12,14,26,0
215,2019-02-17,0,10,6,10,0
216,2019-02-24,11,22,0,17,0
217,2019-03-03,13,30,13,33,0
218,2019-03-10,0,13,0,26,0
219,2019-03-17,0,36,0,13,0
220,2019-03-24,0,35,0,15,0
221,2019-03-31,23,40,0,11,0
222,2019-04-07,26,23,7,0,0
223,2019-04-14,33,19,15,0,0
224,2019-04-21,15,13,0,0,0
225,2019-04-28,26,11,12,0,0
226,2019-05-05,0,0,0,15,0
227,2019-05-12,20,31,0,0,0
228,2019-05-19,0,34,0,0,0
229,2019-05-26,0,47,0,13,0
230,2019-06-02,16,28,0,11,0
231,2019-06-09,0,27,17,0,0
232,2019-06-16,0,59,17,0,0
233,2019-06-23,23,28,0,0,0
234,2019-06-30,14,18,0,28,0
235,2019-07-07,18,9,7,6,0
236,2019-07-14,0,21,0,7,0
237,2019-07-21,10,14,0,10,0
238,2019-07-28,30,15,9,8,0
239,2019-08-04,0,25,0,8,0
240,2019-08-11,26,32,8,11,0
241,2019-08-18,24,20,0,0,0
242,2019-08-25,18,28,0,14,0
243,2019-09-01,18,23,8,0,0
244,2019-09-08,6,10,0,0,0
245,2019-09-15,10,23,0,0,0
246,2019-09-22,16,20,0,0,0
247,2019-09-29,9,9,0,7,0
248,2019-10-06,0,34,0,19,0
249,2019-10-13,0,14,8,8,0
250,2019-10-20,0,7,0,0,0
251,2019-10-27,0,0,12,0,0
252,2019-11-03,8,34,0,15,0
253,2019-11-10,7,61,0,24,0
254,2019-11-17,15,19,0,0,0
255,2019-11-24,14,27,0,10,0
256,2019-12-01,0,30,7,0,0
257,2019-12-08,28,29,0,10,0
258,2019-12-15,0,7,0,0,0
259,2019-12-22,21,14,0,9,0
260,2019-12-29,16,20,0,14,0
