,date,The Rolling Stones,Pink,U2,Bruno Mars,Alphabet
0,2015-01-04,5,3,6,18,21
1,2015-01-11,5,3,6,31,25
2,2015-01-18,5,3,7,25,28
3,2015-01-25,6,2,4,24,19
4,2015-02-01,3,2,5,24,17
5,2015-02-08,7,4,7,26,23
6,2015-02-15,7,3,6,19,22
7,2015-02-22,4,5,5,20,21
8,2015-03-01,7,4,3,14,20
9,2015-03-08,8,3,8,19,20
10,2015-03-15,28,5,7,14,17
11,2015-03-22,16,3,5,18,20
12,2015-03-29,34,5,5,13,19
13,2015-04-05,39,7,4,15,16
14,2015-04-12,29,7,7,12,14
15,2015-04-19,12,4,5,10,20
16,2015-04-26,11,5,6,11,20
17,2015-05-03,10,5,10,13,16
18,2015-05-10,11,4,12,11,19
19,2015-05-17,14,4,9,10,16
20,2015-05-24,22,3,14,10,15
21,2015-05-31,21,4,8,10,14
22,2015-06-07,44,4,6,11,14
23,2015-06-14,100,3,8,7,14
24,2015-06-21,16,2,8,10,14
25,2015-06-28,15,2,5,8,17
26,2015-07-05,12,6,5,7,18
27,2015-07-12,7,3,7,5,13
28,2015-07-19,10,4,11,12,15
29,2015-07-26,7,6,5,6,12
30,2015-08-02,10,3,4,4,19
31,2015-08-09,4,5,5,7,36
32,2015-08-16,6,3,5,8,29
33,2015-08-23,5,2,2,4,26
34,2015-08-30,5,3,4,8,23
35,2015-09-06,6,6,3,7,24
36,2015-09-13,5,5,3,8,26
37,2015-09-20,3,4,0,7,25
38,2015-09-27,6,3,3,5,25
39,2015-10-04,4,3,5,9,20
40,2015-10-11,5,4,3,7,23
41,2015-10-18,8,1,1,4,26
42,2015-10-25,6,3,4,7,22
43,2015-11-01,8,5,4,6,27
44,2015-11-08,4,5,5,5,20
45,2015-11-15,4,9,5,6,18
46,2015-11-22,4,1,5,4,20
47,2015-11-29,4,5,4,5,21
48,2015-12-06,4,1,8,5,23
49,2015-12-13,7,5,6,4,18
50,2015-12-20,5,4,4,14,16
51,2015-12-27,7,4,3,6,14
52,2016-01-03,4,2,4,6,18
53,2016-01-10,7,2,3,5,20
54,2016-01-17,5,3,3,6,17
55,2016-01-24,3,3,1,6,20
56,2016-01-31,5,4,4,10,23
