,date,The Rolling Stones,Pink,U2,Bruno Mars,Alphabet
0,2015-01-04,7,6,11,32,37
1,2015-01-11,7,7,10,42,37
2,2015-01-18,6,7,10,38,34
3,2015-01-25,8,7,11,47,41
4,2015-02-01,7,7,9,50,37
5,2015-02-08,7,6,10,36,31
6,2015-02-15,9,7,9,35,33
7,2015-02-22,6,6,8,35,33
8,2015-03-01,7,6,10,30,37
9,2015-03-08,9,6,9,31,36
10,2015-03-15,12,6,11,29,38
11,2015-03-22,9,8,8,31,34
12,2015-03-29,31,7,8,30,33
13,2015-04-05,28,6,10,21,32
14,2015-04-12,22,13,7,23,33
15,2015-04-19,13,6,9,20,31
16,2015-04-26,11,5,7,22,34
17,2015-05-03,10,6,16,18,33
18,2015-05-10,12,6,19,21,38
19,2015-05-17,14,5,14,22,31
20,2015-05-24,19,6,20,19,30
21,2015-05-31,37,5,14,20,30
22,2015-06-07,35,4,12,20,30
23,2015-06-14,12,5,8,17,28
24,2015-06-21,12,6,10,18,28
25,2015-06-28,13,4,11,17,28
26,2015-07-05,11,4,8,17,28
27,2015-07-12,8,6,10,16,25
28,2015-07-19,9,5,11,18,25
29,2015-07-26,8,5,10,15,29
30,2015-08-02,7,7,8,16,25
31,2015-08-09,8,7,8,14,56
32,2015-08-16,7,7,7,13,39
33,2015-08-23,8,7,8,13,49
34,2015-08-30,6,7,8,16,54
35,2015-09-06,7,10,7,15,44
36,2015-09-13,7,8,6,12,43
37,2015-09-20,8,6,7,13,46
38,2015-09-27,8,7,7,12,43
39,2015-10-04,7,6,6,15,42
40,2015-10-11,6,6,5,12,38
41,2015-10-18,8,6,7,13,42
42,2015-10-25,8,6,7,14,37
43,2015-11-01,8,4,7,11,37
44,2015-11-08,7,5,9,12,36
45,2015-11-15,8,6,8,12,35
46,2015-11-22,6,6,7,15,30
47,2015-11-29,7,7,4,10,34
48,2015-12-06,8,5,13,10,33
49,2015-12-13,6,6,9,11,30
50,2015-12-20,11,5,8,12,27
51,2015-12-27,9,7,9,13,26
52,2016-01-03,6,5,5,12,30
53,2016-01-10,14,6,6,12,29
54,2016-01-17,7,5,6,12,32
55,2016-01-24,7,5,5,11,32
56,2016-01-31,7,6,7,17,40
57,2016-02-07,9,7,8,94,33
58,2016-02-14,10,6,8,31,35
59,2016-02-21,9,6,6,16,36
60,2016-02-28,8,7,5,13,31
61,2016-03-06,8,9,5,12,28
62,2016-03-13,10,5,6,13,24
63,2016-03-20,10,4,6,14,32
64,2016-03-27,9,5,5,10,31
65,2016-04-03,8,5,5,10,34
66,2016-04-10,7,7,7,11,36
67,2016-04-17,0,0,0,0,0
68,2016-04-24,0,0,0,0,0
69,2016-05-01,0,0,0,0,0
70,2016-05-08,0,0,0,0,0
71,2016-05-15,0,0,0,0,0
72,2016-05-22,0,0,0,0,0
73,2016-05-29,0,0,0,0,0
74,2016-06-05,0,0,0,0,0
75,2016-06-12,0,0,0,0,0
76,2016-06-19,0,0,0,0,0
77,2016-06-26,0,0,0,0,0
78,2016-07-03,0,0,0,0,0
79,2016-07-10,0,0,0,0,0
80,2016-07-17,0,0,0,0,0
81,2016-07-24,0,0,0,0,0
82,2016-07-31,0,0,0,0,0
83,2016-08-07,0,0,0,0,0
84,2016-08-14,0,0,0,0,0
85,2016-08-21,0,0,0,0,0
86,2016-08-28,0,0,0,0,0
87,2016-09-04,0,0,0,0,0
88,2016-09-11,0,0,0,0,0
89,2016-09-18,0,0,0,0,0
90,2016-09-25,0,0,0,0,0
91,2016-10-02,0,0,0,0,0
92,2016-10-09,0,0,0,0,0
93,2016-10-16,0,0,0,0,0
94,2016-10-23,0,0,0,0,0
95,2016-10-30,0,0,0,0,0
96,2016-11-06,0,0,0,0,0
97,2016-11-13,0,0,0,0,0
98,2016-11-20,0,0,0,0,0
99,2016-11-27,0,0,0,0,0
100,2016-12-04,0,0,0,0,0
101,2016-12-11,0,0,0,0,0
102,2016-12-18,0,0,0,0,0
103,2016-12-25,0,0,0,0,0
104,2017-01-01,0,0,0,0,0
105,2017-01-08,0,0,0,0,0
106,2017-01-15,0,0,0,0,0
107,2017-01-22,0,0,0,0,0
108,2017-01-29,0,0,0,0,0
109,2017-02-05,0,0,0,0,0
110,2017-02-12,0,0,0,0,0
111,2017-02-19,0,0,0,0,0
112,2017-02-26,0,0,0,0,0
113,2017-03-05,0,0,0,0,0
114,2017-03-12,0,0,0,0,0
115,2017-03-19,0,0,0,0,0
116,2017-03-26,0,0,0,0,0
117,2017-04-02,0,0,0,0,0
118,2017-04-09,0,0,0,0,0
119,2017-04-16,0,0,0,0,0
120,2017-04-23,0,0,0,0,0
