,date,The Rolling Stones,Pink,U2,Bruno Mars,Alphabet
0,2015-01-04,6,2,0,0,24
1,2015-01-11,5,0,0,0,36
2,2015-01-18,5,12,0,0,35
3,2015-01-25,7,9,0,0,44
4,2015-02-01,0,7,0,0,37
5,2015-02-08,4,6,0,0,31
6,2015-02-15,4,7,0,0,36
7,2015-02-22,9,8,0,0,38
8,2015-03-01,7,4,0,0,40
9,2015-03-08,7,4,0,0,39
10,2015-03-15,6,9,0,0,20
11,2015-03-22,3,10,0,0,22
12,2015-03-29,10,11,0,0,33
13,2015-04-05,12,8,0,0,39
14,2015-04-12,8,17,0,0,30
15,2015-04-19,9,10,0,0,34
16,2015-04-26,8,12,0,0,35
17,2015-05-03,4,7,0,0,34
18,2015-05-10,14,7,0,0,32
19,2015-05-17,13,6,0,0,35
20,2015-05-24,10,5,0,0,32
21,2015-05-31,8,3,0,0,26
22,2015-06-07,8,7,0,0,23
23,2015-06-14,0,4,0,0,21
24,2015-06-21,16,3,0,0,30
25,2015-06-28,5,9,0,0,24
26,2015-07-05,7,3,0,0,28
27,2015-07-12,9,7,0,0,25
28,2015-07-19,9,3,0,0,18
29,2015-07-26,5,5,0,0,23
30,2015-08-02,0,13,0,0,21
31,2015-08-09,4,6,0,0,61
32,2015-08-16,15,10,0,0,30
33,2015-08-23,7,6,0,0,36
34,2015-08-30,8,4,0,0,52
35,2015-09-06,3,11,0,0,47
36,2015-09-13,0,7,0,0,33
37,2015-09-20,0,5,0,0,30
38,2015-09-27,8,5,0,0,46
39,2015-10-04,4,4,0,0,39
40,2015-10-11,11,3,0,0,27
41,2015-10-18,6,3,0,0,35
42,2015-10-25,5,0,0,0,40
43,2015-11-01,0,5,0,0,38
44,2015-11-08,2,10,0,0,38
45,2015-11-15,6,7,0,0,41
46,2015-11-22,6,7,0,0,35
47,2015-11-29,3,8,0,0,40
48,2015-12-06,4,3,0,0,35
49,2015-12-13,0,0,0,0,34
50,2015-12-20,3,8,0,0,30
51,2015-12-27,4,0,0,0,32
52,2016-01-03,7,5,0,0,29
53,2016-01-10,8,9,0,0,33
54,2016-01-17,5,5,0,0,29
55,2016-01-24,4,6,0,0,32
56,2016-01-31,9,11,0,0,28
57,2016-02-07,3,8,0,0,35
58,2016-02-14,4,4,0,0,26
59,2016-02-21,10,2,0,0,37
60,2016-02-28,0,6,0,0,33
61,2016-03-06,7,8,0,0,31
62,2016-03-13,10,3,0,0,30
63,2016-03-20,6,6,0,0,28
64,2016-03-27,6,7,0,0,29
65,2016-04-03,6,3,0,0,21
66,2016-04-10,4,9,0,0,32
67,2016-04-17,4,8,0,0,28
68,2016-04-24,5,5,0,0,26
69,2016-05-01,11,16,0,0,21
70,2016-05-08,4,13,0,0,25
71,2016-05-15,7,13,0,0,28
72,2016-05-22,5,21,0,0,27
73,2016-05-29,4,16,0,0,27
74,2016-06-05,0,15,0,0,32
75,2016-06-12,6,13,0,0,21
76,2016-06-19,4,11,0,0,24
77,2016-06-26,6,10,0,0,28
78,2016-07-03,0,12,0,0,25
79,2016-07-10,2,11,0,0,29
80,2016-07-17,6,10,0,0,27
81,2016-07-24,10,10,0,0,26
82,2016-07-31,3,14,0,0,26
83,2016-08-07,5,10,0,0,28
84,2016-08-14,2,8,0,0,28
85,2016-08-21,7,10,0,0,45
86,2016-08-28,4,9,0,0,30
87,2016-09-04,5,7,7,7,35
88,2016-09-11,7,5,5,0,27
89,2016-09-18,4,4,6,4,32
90,2016-09-25,7,8,8,0,26
91,2016-10-02,8,6,4,17,27
92,2016-10-09,7,7,0,8,29
93,2016-10-16,15,11,6,28,30
94,2016-10-23,6,7,3,13,30
95,2016-10-30,7,8,3,15,28
96,2016-11-06,10,5,8,14,30
97,2016-11-13,5,9,6,17,31
98,2016-11-20,8,6,11,35,26
99,2016-11-27,4,8,4,18,32
100,2016-12-04,12,5,9,19,33
101,2016-12-11,5,4,5,48,25
102,2016-12-18,5,5,6,28,32
103,2016-12-25,10,14,7,17,22
104,2017-01-01,3,7,8,15,30
105,2017-01-08,9,5,29,18,30
106,2017-01-15,14,9,19,19,31
107,2017-01-22,7,7,8,15,25
108,2017-01-29,7,3,7,16,33
109,2017-02-05,6,7,10,20,31
110,2017-02-12,5,7,11,72,27
111,2017-02-19,5,0,9,18,28
112,2017-02-26,5,5,7,20,28
113,2017-03-05,5,9,9,32,31
114,2017-03-12,6,5,8,23,26
115,2017-03-19,5,4,8,27,27
116,2017-03-26,5,8,8,18,28
117,2017-04-02,7,4,10,21,31
118,2017-04-09,3,9,10,20,25
119,2017-04-16,6,6,8,19,29
120,2017-04-23,3,4,10,18,33
121,2017-04-30,4,8,12,18,29
122,2017-05-07,7,10,20,20,34
123,2017-05-14,4,5,23,16,30
124,2017-05-21,5,4,23,27,32
125,2017-05-28,9,8,10,22,30
126,2017-06-04,9,7,12,15,27
127,2017-06-11,7,4,12,21,32
128,2017-06-18,7,2,16,21,27
129,2017-06-25,7,6,10,31,17
130,2017-07-02,8,3,11,22,20
131,2017-07-09,0,3,7,22,24
132,2017-07-16,2,6,9,19,22
133,2017-07-23,6,6,7,13,24
134,2017-07-30,4,3,8,15,28
135,2017-08-06,7,11,7,11,24
